policy,group,n_cells,score_delta,ci_low,ci_high,bootstrap_valid,bootstrap_win_probability,pair,task
global_budget_matched_fixed,all,56,0.00582482886677741,0.0010497961660527206,0.010580662045058075,10000,0.9923,,
per_task_budget_matched_fixed,countries,7,0.0773819581577253,0.06146008270027549,0.09354872540206925,10000,1.0,,
per_task_budget_matched_fixed,tipsheets,7,0.07741116339254069,0.06538115563866281,0.08949457135698173,10000,1.0,,
per_task_budget_matched_fixed,hotpotqa,7,-0.02824958400005281,-0.0403451665844573,-0.016241520397129776,10000,0.0,,
per_task_budget_matched_fixed,qasper,7,-0.010136661612060411,-0.017922094282738478,-0.0022789273633414997,10000,0.0059,,
per_task_budget_matched_fixed,musique,7,-0.012612495440265142,-0.02269414201234336,-0.0022860065850712316,10000,0.0073,,
per_task_budget_matched_fixed,multifieldqa_en,7,-0.03146118658625426,-0.04997042376313395,-0.013239212685728275,10000,0.0002,,
per_task_budget_matched_fixed,twowikimqa,7,-0.012732552437415457,-0.026422524736920753,0.0009604432079151834,10000,0.038,,
per_task_budget_matched_fixed,tmath,7,0.0010164185579215113,-0.0014177150763302288,0.0034935439252620462,10000,0.7971,,
per_task_budget_matched_fixed,8-task macro,56,0.0075771325040174245,0.0030867253288971276,0.012042974814622364,10000,0.9992,,
per_cell_budget_matched_fixed,pair1_llama31_same/countries,1,0.02168384757817219,0.0,0.04460480947271524,10000,0.9749,pair1_llama31_same,countries
per_cell_budget_matched_fixed,pair1_llama31_same/tipsheets,1,0.18334571700044364,0.1444467598928659,0.22295937796923518,10000,1.0,pair1_llama31_same,tipsheets
per_cell_budget_matched_fixed,pair1_llama31_same/hotpotqa,1,-0.01222591364601029,-0.04630011076754396,0.02177594128202803,10000,0.2283,pair1_llama31_same,hotpotqa
per_cell_budget_matched_fixed,pair1_llama31_same/qasper,1,-0.0011959499933390295,-0.0188643041627811,0.017005062508326216,10000,0.4578,pair1_llama31_same,qasper
per_cell_budget_matched_fixed,pair1_llama31_same/musique,1,-0.0345146745597859,-0.06618832410028529,-0.0027942364229423416,10000,0.0169,pair1_llama31_same,musique
per_cell_budget_matched_fixed,pair1_llama31_same/multifieldqa_en,1,0.006666666666666667,-0.02852494420762161,0.04,10000,0.6404,pair1_llama31_same,multifieldqa_en
per_cell_budget_matched_fixed,pair1_llama31_same/twowikimqa,1,0.012644627374043801,-0.008161156843510951,0.033450411591598554,10000,0.8772,pair1_llama31_same,twowikimqa
