policy,group,n_cells,n_samples,brekv_score,brekv_budget,fixed_score,fixed_budget,score_delta,budget_delta,lower_ratio,upper_ratio,interpolation_weight,pair,task
global_budget_matched_fixed,all,56,19950,0.4008529411904763,0.3215171662440478,0.3950281123236988,0.32151716624404775,0.00582482886677741,5.551115123125783e-17,0.25,0.3000000000000003,0.9383396845658127,,
per_task_budget_matched_fixed,countries,7,1400,0.4135714285714286,0.34835077642857143,0.3361894704137033,0.34835077642857143,0.0773819581577253,0.0,0.3,0.35000000000000003,0.4809322654169225,,
per_task_budget_matched_fixed,tipsheets,7,3500,0.7128571428571429,0.3055608182857143,0.6354459794646022,0.3055608182857143,0.07741116339254069,0.0,0.25,0.3,0.6162437125044306,,
per_task_budget_matched_fixed,hotpotqa,7,3500,0.45999999999999996,0.3085061645714285,0.4882495840000528,0.3085061645714285,-0.02824958400005281,0.0,0.25,0.3,0.6754178636374139,,
per_task_budget_matched_fixed,qasper,7,3500,0.2434285714285714,0.35425463885714287,0.25356523304063183,0.35425463885714287,-0.010136661612060411,0.0,0.3,0.35000000000000003,0.6245071736866235,,
per_task_budget_matched_fixed,musique,7,3500,0.2591428571428572,0.2882168708571428,0.2717553525831223,0.2882168708571428,-0.012612495440265142,0.0,0.25,0.3,0.2571526004547554,,
per_task_budget_matched_fixed,multifieldqa_en,7,1050,0.43523809523809526,0.33456682476190475,0.4666992818243495,0.3345668247619048,-0.03146118658625426,-5.551115123125783e-17,0.3,0.35000000000000003,0.21673185111192722,,
per_task_budget_matched_fixed,twowikimqa,7,1400,0.3514285714285714,0.3321202585714286,0.3641611238659869,0.3321202585714286,-0.012732552437415457,0.0,0.3,0.35000000000000003,0.16596121930742158,,
per_task_budget_matched_fixed,tmath,7,2100,0.3311568628571428,0.3005609776190477,0.3301404442992214,0.30056097761904776,0.0010164185579215113,-5.551115123125783e-17,0.25,0.3,0.5113884208538236,,
per_cell_budget_matched_fixed,pair1_llama31_same/countries,1,200,0.615,0.2943774550000002,0.5933161524218278,0.2943774550000001,0.02168384757817219,5.551115123125783e-17,0.25,0.3,0.4158076210913905,pair1_llama31_same,countries
