pair,task,context_length_group,n,context_chars_mean,context_words_mean,hop_count_mean,hop_count_available_n,evidence_count_mean,evidence_count_available_n,metadata_id_mismatch_n,unsolved_rate,oracle_needed_budget_solved_mean,oracle_needed_budget_capped_mean,brekv_budget_mean,brekv_score_mean,spearman_solved_only
pair1_llama31_same,hotpotqa,short,169,221.44378698224853,36.603550295857985,NA,0,2.1183431952662723,169,0,0.20118343195266272,0.25492988888888896,0.3268063727810651,0.279172976331361,0.5266272189349113,0.02474261027959897
pair1_llama31_same,hotpotqa,medium,164,336.0914634146341,55.1280487804878,NA,0,2.2865853658536586,164,0,0.1951219512195122,0.22514386363636366,0.3007160548780488,0.2763059634146341,0.5426829268292683,0.16097523578863238
pair1_llama31_same,hotpotqa,long,167,504.76646706586826,81.91017964071857,NA,0,2.8922155688622753,167,0,0.23952095808383234,0.20601848818897642,0.30334631736526935,0.2708365269461078,0.6107784431137725,0.15209694763171008
pair1_llama31_same,musique,short,167,738.3952095808384,122.2814371257485,2.1377245508982035,167,2.1377245508982035,167,0,0.31137724550898205,0.27351826086956527,0.3791269101796406,0.279449868263473,0.3473053892215569,-0.0082158213159549
pair1_llama31_same,musique,medium,166,1296.1626506024097,215.49397590361446,2.7048192771084336,166,2.7048192771084336,166,0,0.3493975903614458,0.24651119444444458,0.37431469879518037,0.26904824096385543,0.37349397590361444,-0.017363550860291153
pair1_llama31_same,musique,long,167,2218.11377245509,362.0179640718563,3.2335329341317367,167,3.2335329341317367,167,0,0.5808383233532934,0.26792732857142854,0.46806083832335305,0.275108748502994,0.19161676646706588,-0.08432491139061826
pair1_llama31_same,multifieldqa_en,short,50,11849.58,1825.64,NA,0,NA,0,0,0.36,0.20231553125,0.34997118000000005,0.31853704000000016,0.52,0.4435477388508562
pair1_llama31_same,multifieldqa_en,medium,51,29582.941176470587,4662.509803921569,NA,0,NA,0,0,0.29411764705882354,0.19538977777777777,0.318066431372549,0.33881898039215685,0.5098039215686274,0.4345195967553627
pair1_llama31_same,multifieldqa_en,long,49,46245.448979591834,7266.877551020408,NA,0,NA,0,0,0.3673469387755102,0.18438590322580645,0.34164946938775503,0.34895146938775506,0.46938775510204084,-0.06081436050510376
pair6_llama32_abliterated_deepseek3b,hotpotqa,short,169,221.44378698224853,36.603550295857985,NA,0,2.1183431952662723,169,0,0.22485207100591717,0.25775421374045804,0.33781611834319536,0.26668139053254436,0.42011834319526625,0.08331019865670262
