pair,task,sample_key,idx,id,solved,oracle_ratio,oracle_needed_budget,capped_oracle_needed_budget,unsolved_cap_budget,brekv_budget,brekv_score
pair1_llama31_same,countries,0,0,NA,True,0.2,0.228027,0.228027,0.606445,0.294922,1.0
pair1_llama31_same,countries,1,1,NA,True,0.2,0.227808,0.227808,0.606884,0.302989,1.0
pair1_llama31_same,countries,2,2,NA,True,0.2,0.231151,0.231151,0.615575,0.291171,1.0
pair1_llama31_same,countries,3,3,NA,True,0.2,0.222064,0.222064,0.618371,0.302083,1.0
pair1_llama31_same,countries,4,4,NA,True,0.25,0.28125,0.28125,0.609375,0.293347,1.0
pair1_llama31_same,countries,5,5,NA,False,NA,NA,0.609375,0.609375,0.290827,0.0
pair1_llama31_same,countries,6,6,NA,False,NA,NA,0.609375,0.609375,0.294355,0.0
pair1_llama31_same,countries,7,7,NA,True,0.1,0.207386,0.207386,0.618371,0.295928,1.0
pair1_llama31_same,countries,8,8,NA,True,0.2,0.219216,0.219216,0.609608,0.298507,1.0
pair1_llama31_same,countries,9,9,NA,False,NA,NA,0.609375,0.609375,0.293851,0.0
pair1_llama31_same,countries,10,10,NA,True,0.2,0.227808,0.227808,0.606884,0.283514,1.0
pair1_llama31_same,countries,11,11,NA,True,0.2,0.227808,0.227808,0.606884,0.296649,1.0
pair1_llama31_same,countries,12,12,NA,True,0.2,0.222451,0.222451,0.617599,0.296875,1.0
pair1_llama31_same,countries,13,13,NA,True,0.3,0.315417,0.315417,0.6125,0.299167,1.0
pair1_llama31_same,countries,14,14,NA,False,NA,NA,0.6125,0.6125,0.288942,0.0
pair1_llama31_same,countries,15,15,NA,False,NA,NA,0.609375,0.609375,0.290827,0.0
pair1_llama31_same,countries,16,16,NA,False,NA,NA,0.609375,0.609375,0.288306,0.0
pair1_llama31_same,countries,17,17,NA,True,0.2,0.227808,0.227808,0.606884,0.293478,1.0
pair1_llama31_same,countries,18,18,NA,False,NA,NA,0.6125,0.6125,0.297596,0.0
pair1_llama31_same,countries,19,19,NA,True,0.2,0.225,0.225,0.6125,0.293269,1.0
pair1_llama31_same,countries,20,20,NA,False,NA,NA,0.6125,0.6125,0.29375,0.0
pair1_llama31_same,countries,21,21,NA,True,0.2,0.228027,0.228027,0.606445,0.294922,1.0
pair1_llama31_same,countries,22,22,NA,False,NA,NA,0.606445,0.606445,0.297363,0.0
pair1_llama31_same,countries,23,23,NA,True,0.25,0.269712,0.269712,0.6125,0.295673,1.0
pair1_llama31_same,countries,24,24,NA,False,NA,NA,0.606445,0.606445,0.294922,0.0
pair1_llama31_same,countries,25,25,NA,False,NA,NA,0.617958,0.617958,0.296215,0.0
pair1_llama31_same,countries,26,26,NA,True,0.2,0.231151,0.231151,0.615575,0.293651,1.0
pair1_llama31_same,countries,27,27,NA,False,NA,NA,0.615575,0.615575,0.291171,0.0
pair1_llama31_same,countries,28,28,NA,True,0.2,0.225,0.225,0.6125,0.298077,1.0
pair1_llama31_same,countries,29,29,NA,True,0.25,0.269712,0.269712,0.6125,0.299038,1.0
pair1_llama31_same,countries,30,30,NA,False,NA,NA,0.6125,0.6125,0.296154,0.0
pair1_llama31_same,countries,31,31,NA,True,0.2,0.222064,0.222064,0.618371,0.280777,1.0
pair1_llama31_same,countries,32,32,NA,True,0.25,0.277282,0.277282,0.615575,0.294147,1.0
pair1_llama31_same,countries,33,33,NA,True,0.2,0.231151,0.231151,0.615575,0.291667,1.0
pair1_llama31_same,countries,34,34,NA,True,0.2,0.228027,0.228027,0.606445,0.29248,1.0
pair1_llama31_same,countries,35,35,NA,True,0.25,0.266098,0.266098,0.618371,0.294981,1.0
pair1_llama31_same,countries,36,36,NA,True,0.2,0.230699,0.230699,0.615349,0.295956,1.0
pair1_llama31_same,countries,37,37,NA,True,0.2,0.230699,0.230699,0.615349,0.301011,1.0
pair1_llama31_same,countries,38,38,NA,True,0.2,0.228027,0.228027,0.606445,0.297852,1.0
pair1_llama31_same,countries,39,39,NA,True,0.2,0.231151,0.231151,0.615575,0.291667,1.0
pair1_llama31_same,countries,40,40,NA,False,NA,NA,0.606445,0.606445,0.293457,0.0
pair1_llama31_same,countries,41,41,NA,False,NA,NA,0.609375,0.609375,0.290323,0.0
pair1_llama31_same,countries,42,42,NA,True,0.25,0.277282,0.277282,0.615575,0.291667,0.0
pair1_llama31_same,countries,43,43,NA,True,0.2,0.228027,0.228027,0.606445,0.290039,1.0
pair1_llama31_same,countries,44,44,NA,True,0.5,0.508173,0.508173,0.6125,0.280769,0.0
pair1_llama31_same,countries,45,45,NA,False,NA,NA,0.615575,0.615575,0.294147,0.0
pair1_llama31_same,countries,46,46,NA,True,0.1,0.207386,0.207386,0.618371,0.293087,1.0
pair1_llama31_same,countries,47,47,NA,False,NA,NA,0.614477,0.614477,0.265625,1.0
pair1_llama31_same,countries,48,48,NA,True,0.25,0.28125,0.28125,0.609375,0.288306,1.0
pair1_llama31_same,countries,49,49,NA,False,NA,NA,0.609608,0.609608,0.295709,0.0
pair1_llama31_same,countries,50,50,NA,False,NA,NA,0.6125,0.6125,0.295192,0.0
pair1_llama31_same,countries,51,51,NA,False,NA,NA,0.618371,0.618371,0.297348,0.0
pair1_llama31_same,countries,52,52,NA,False,NA,NA,0.609375,0.609375,0.292843,0.0
pair1_llama31_same,countries,53,53,NA,True,0.2,0.231151,0.231151,0.615575,0.291667,0.0
pair1_llama31_same,countries,54,54,NA,True,0.2,0.227808,0.227808,0.606884,0.305707,1.0
pair1_llama31_same,countries,55,55,NA,False,NA,NA,0.615575,0.615575,0.289683,0.0
pair1_llama31_same,countries,56,56,NA,True,0.25,0.273438,0.273438,0.606445,0.297852,1.0
pair1_llama31_same,countries,57,57,NA,True,0.2,0.228027,0.228027,0.606445,0.295898,1.0
pair1_llama31_same,countries,58,58,NA,True,0.25,0.266098,0.266098,0.618371,0.29072,1.0
pair1_llama31_same,countries,59,59,NA,False,NA,NA,0.609375,0.609375,0.289819,0.0
pair1_llama31_same,countries,60,60,NA,False,NA,NA,0.609375,0.609375,0.288306,0.0
pair1_llama31_same,countries,61,61,NA,False,NA,NA,0.6125,0.6125,0.294712,0.0
pair1_llama31_same,countries,62,62,NA,True,0.25,0.280357,0.280357,0.6125,0.289286,1.0
pair1_llama31_same,countries,63,63,NA,False,NA,NA,0.606445,0.606445,0.29834,0.0
pair1_llama31_same,countries,64,64,NA,True,0.25,0.273438,0.273438,0.606445,0.296387,1.0
pair1_llama31_same,countries,65,65,NA,False,NA,NA,0.606445,0.606445,0.296875,0.0
pair1_llama31_same,countries,66,66,NA,True,0.2,0.230699,0.230699,0.615349,0.300092,1.0
pair1_llama31_same,countries,67,67,NA,True,0.2,0.219216,0.219216,0.609608,0.295709,1.0
pair1_llama31_same,countries,68,68,NA,False,NA,NA,0.615349,0.615349,0.303309,0.0
pair1_llama31_same,countries,69,69,NA,False,NA,NA,0.606445,0.606445,0.29248,0.0
pair1_llama31_same,countries,70,70,NA,True,0.2,0.228027,0.228027,0.606445,0.29834,1.0
pair1_llama31_same,countries,71,71,NA,True,0.2,0.230699,0.230699,0.615349,0.301011,1.0
pair1_llama31_same,countries,72,72,NA,False,NA,NA,0.609375,0.609375,0.291835,0.0
pair1_llama31_same,countries,73,73,NA,False,NA,NA,0.615575,0.615575,0.281746,0.0
pair1_llama31_same,countries,74,74,NA,True,0.2,0.227808,0.227808,0.606884,0.304348,1.0
pair1_llama31_same,countries,75,75,NA,False,NA,NA,0.609375,0.609375,0.281754,0.0
pair1_llama31_same,countries,76,76,NA,False,NA,NA,0.609375,0.609375,0.290323,0.0
pair1_llama31_same,countries,77,77,NA,False,NA,NA,0.609375,0.609375,0.290323,0.0
pair1_llama31_same,countries,78,78,NA,True,0.25,0.269712,0.269712,0.6125,0.300962,1.0
pair1_llama31_same,countries,79,79,NA,True,0.2,0.230699,0.230699,0.615349,0.300092,1.0
pair1_llama31_same,countries,80,80,NA,False,NA,NA,0.618371,0.618371,0.299242,0.0
pair1_llama31_same,countries,81,81,NA,True,0.2,0.222064,0.222064,0.618371,0.298295,1.0
pair1_llama31_same,countries,82,82,NA,True,0.2,0.230699,0.230699,0.615349,0.30193,1.0
pair1_llama31_same,countries,83,83,NA,True,0.25,0.277052,0.277052,0.609608,0.299907,1.0
pair1_llama31_same,countries,84,84,NA,False,NA,NA,0.615349,0.615349,0.296875,0.0
pair1_llama31_same,countries,85,85,NA,True,0.3,0.324811,0.324811,0.618371,0.293561,0.0
pair1_llama31_same,countries,86,86,NA,True,0.25,0.266098,0.266098,0.618371,0.29072,1.0
pair1_llama31_same,countries,87,87,NA,True,0.2,0.222064,0.222064,0.618371,0.293087,1.0
pair1_llama31_same,countries,88,88,NA,False,NA,NA,0.606445,0.606445,0.294434,0.0
pair1_llama31_same,countries,89,89,NA,True,0.1,0.207386,0.207386,0.618371,0.296875,1.0
pair1_llama31_same,countries,90,90,NA,True,0.2,0.230699,0.230699,0.615349,0.297335,1.0
pair1_llama31_same,countries,91,91,NA,True,0.2,0.222271,0.222271,0.617958,0.295335,1.0
pair1_llama31_same,countries,92,92,NA,True,0.1,0.199728,0.199728,0.606884,0.300725,1.0
pair1_llama31_same,countries,93,93,NA,True,0.25,0.273438,0.273438,0.606445,0.296387,1.0
pair1_llama31_same,countries,94,94,NA,True,0.25,0.28125,0.28125,0.609375,0.289315,1.0
pair1_llama31_same,countries,95,95,NA,True,0.25,0.269712,0.269712,0.6125,0.299038,1.0
pair1_llama31_same,countries,96,96,NA,True,0.2,0.227808,0.227808,0.606884,0.303895,1.0
pair1_llama31_same,countries,97,97,NA,False,NA,NA,0.617958,0.617958,0.305458,0.0
pair1_llama31_same,countries,98,98,NA,True,0.25,0.27012,0.27012,0.615154,0.300942,1.0
pair1_llama31_same,countries,99,99,NA,True,0.2,0.231151,0.231151,0.615575,0.295139,1.0
pair1_llama31_same,countries,100,100,NA,False,NA,NA,0.615575,0.615575,0.292163,0.0
pair1_llama31_same,countries,101,101,NA,True,0.2,0.231151,0.231151,0.615575,0.291171,1.0
pair1_llama31_same,countries,102,102,NA,True,0.2,0.231151,0.231151,0.615575,0.298115,1.0
pair1_llama31_same,countries,103,103,NA,True,0.1,0.197321,0.197321,0.6125,0.288839,1.0
pair1_llama31_same,countries,104,104,NA,True,0.2,0.222064,0.222064,0.618371,0.287405,1.0
pair1_llama31_same,countries,105,105,NA,True,0.2,0.219216,0.219216,0.609608,0.304571,1.0
pair1_llama31_same,countries,106,106,NA,False,NA,NA,0.606445,0.606445,0.291504,0.0
pair1_llama31_same,countries,107,107,NA,True,0.2,0.219216,0.219216,0.609608,0.291978,1.0
pair1_llama31_same,countries,108,108,NA,False,NA,NA,0.615575,0.615575,0.282738,0.0
pair1_llama31_same,countries,109,109,NA,True,0.2,0.219216,0.219216,0.609608,0.300373,1.0
pair1_llama31_same,countries,110,110,NA,True,0.2,0.227808,0.227808,0.606884,0.302536,1.0
pair1_llama31_same,countries,111,111,NA,False,NA,NA,0.6125,0.6125,0.298558,0.0
pair1_llama31_same,countries,112,112,NA,True,0.1,0.204757,0.204757,0.609608,0.298974,1.0
pair1_llama31_same,countries,113,113,NA,True,0.2,0.219216,0.219216,0.609608,0.296642,1.0
pair1_llama31_same,countries,114,114,NA,False,NA,NA,0.609375,0.609375,0.291835,0.0
pair1_llama31_same,countries,115,115,NA,True,0.2,0.225,0.225,0.6125,0.296635,1.0
pair1_llama31_same,countries,116,116,NA,True,0.2,0.231151,0.231151,0.615575,0.293651,1.0
pair1_llama31_same,countries,117,117,NA,False,NA,NA,0.615575,0.615575,0.292163,0.0
pair1_llama31_same,countries,118,118,NA,False,NA,NA,0.6125,0.6125,0.291346,0.0
pair1_llama31_same,countries,119,119,NA,True,0.4,0.412879,0.412879,0.618371,0.290246,0.0
pair1_llama31_same,countries,120,120,NA,True,0.2,0.225,0.225,0.6125,0.29375,1.0
pair1_llama31_same,countries,121,121,NA,True,0.25,0.269712,0.269712,0.6125,0.292308,1.0
pair1_llama31_same,countries,122,122,NA,True,0.1,0.212891,0.212891,0.606445,0.293945,0.0
pair1_llama31_same,countries,123,123,NA,False,NA,NA,0.6125,0.6125,0.296154,0.0
pair1_llama31_same,countries,124,124,NA,False,NA,NA,0.618371,0.618371,0.29072,0.0
pair1_llama31_same,countries,125,125,NA,False,NA,NA,0.6125,0.6125,0.295192,0.0
pair1_llama31_same,countries,126,126,NA,True,0.2,0.228027,0.228027,0.606445,0.296387,1.0
pair1_llama31_same,countries,127,127,NA,True,0.2,0.222064,0.222064,0.618371,0.289299,1.0
pair1_llama31_same,countries,128,128,NA,False,NA,NA,0.615575,0.615575,0.297619,0.0
pair1_llama31_same,countries,129,129,NA,False,NA,NA,0.617958,0.617958,0.297975,0.0
pair1_llama31_same,countries,130,130,NA,True,0.2,0.222064,0.222064,0.618371,0.29214,1.0
pair1_llama31_same,countries,131,131,NA,True,0.1,0.210096,0.210096,0.6125,0.291827,1.0
pair1_llama31_same,countries,132,132,NA,True,0.2,0.219216,0.219216,0.609608,0.295709,1.0
pair1_llama31_same,countries,133,133,NA,True,0.25,0.28125,0.28125,0.609375,0.28881,1.0
pair1_llama31_same,countries,134,134,NA,True,0.25,0.28125,0.28125,0.609375,0.293347,1.0
pair1_llama31_same,countries,135,135,NA,False,NA,NA,0.609608,0.609608,0.296642,0.0
pair1_llama31_same,countries,136,136,NA,False,NA,NA,0.609608,0.609608,0.284049,0.0
pair1_llama31_same,countries,137,137,NA,True,0.25,0.280357,0.280357,0.6125,0.299554,1.0
pair1_llama31_same,countries,138,138,NA,True,0.2,0.225,0.225,0.6125,0.294231,1.0
pair1_llama31_same,countries,139,139,NA,True,0.2,0.222271,0.222271,0.617958,0.301496,1.0
pair1_llama31_same,countries,140,140,NA,True,0.2,0.231151,0.231151,0.615575,0.290675,1.0
pair1_llama31_same,countries,141,141,NA,True,0.2,0.225,0.225,0.6125,0.293269,1.0
pair1_llama31_same,countries,142,142,NA,True,0.3,0.320429,0.320429,0.609608,0.297108,1.0
pair1_llama31_same,countries,143,143,NA,False,NA,NA,0.618371,0.618371,0.295928,0.0
pair1_llama31_same,countries,144,144,NA,True,0.2,0.228027,0.228027,0.606445,0.291992,1.0
pair1_llama31_same,countries,145,145,NA,False,NA,NA,0.609608,0.609608,0.30084,0.0
pair1_llama31_same,countries,146,146,NA,True,0.2,0.227808,0.227808,0.606884,0.274457,1.0
pair1_llama31_same,countries,147,147,NA,False,NA,NA,0.609375,0.609375,0.291835,0.0
pair1_llama31_same,countries,148,148,NA,True,0.2,0.228027,0.228027,0.606445,0.291504,1.0
pair1_llama31_same,countries,149,149,NA,False,NA,NA,0.615575,0.615575,0.294147,0.0
pair1_llama31_same,countries,150,150,NA,False,NA,NA,0.609375,0.609375,0.290827,0.0
pair1_llama31_same,countries,151,151,NA,True,0.2,0.219216,0.219216,0.609608,0.292444,1.0
pair1_llama31_same,countries,152,152,NA,False,NA,NA,0.618371,0.618371,0.293561,0.0
pair1_llama31_same,countries,153,153,NA,True,0.2,0.228027,0.228027,0.606445,0.28125,1.0
pair1_llama31_same,countries,154,154,NA,True,0.2,0.222271,0.222271,0.617958,0.297535,1.0
pair1_llama31_same,countries,155,155,NA,False,NA,NA,0.6125,0.6125,0.296154,0.0
pair1_llama31_same,countries,156,156,NA,True,0.3,0.317782,0.317782,0.617958,0.306338,1.0
pair1_llama31_same,countries,157,157,NA,False,NA,NA,0.615575,0.615575,0.293651,0.0
pair1_llama31_same,countries,158,158,NA,True,0.2,0.219216,0.219216,0.609608,0.299907,1.0
pair1_llama31_same,countries,159,159,NA,True,0.2,0.225,0.225,0.6125,0.295673,1.0
pair1_llama31_same,countries,160,160,NA,False,NA,NA,0.6125,0.6125,0.299038,0.0
pair1_llama31_same,countries,161,161,NA,False,NA,NA,0.606445,0.606445,0.293457,0.0
pair1_llama31_same,countries,162,162,NA,True,0.2,0.222064,0.222064,0.618371,0.28267,1.0
pair1_llama31_same,countries,163,163,NA,True,0.25,0.273438,0.273438,0.606445,0.297363,1.0
pair1_llama31_same,countries,164,164,NA,True,0.2,0.219216,0.219216,0.609608,0.29944,1.0
pair1_llama31_same,countries,165,165,NA,False,NA,NA,0.615575,0.615575,0.297123,0.0
pair1_llama31_same,countries,166,166,NA,True,0.25,0.266098,0.266098,0.618371,0.291193,1.0
pair1_llama31_same,countries,167,167,NA,True,0.2,0.222064,0.222064,0.618371,0.294034,1.0
pair1_llama31_same,countries,168,168,NA,True,0.2,0.219216,0.219216,0.609608,0.297108,1.0
pair1_llama31_same,countries,169,169,NA,False,NA,NA,0.615575,0.615575,0.291171,0.0
pair1_llama31_same,countries,170,170,NA,False,NA,NA,0.618371,0.618371,0.300189,1.0
pair1_llama31_same,countries,171,171,NA,True,0.2,0.230699,0.230699,0.615349,0.299173,1.0
pair1_llama31_same,countries,172,172,NA,True,0.3,0.318848,0.318848,0.606445,0.292969,1.0
pair1_llama31_same,countries,173,173,NA,True,0.25,0.266098,0.266098,0.618371,0.295928,1.0
pair1_llama31_same,countries,174,174,NA,True,0.2,0.227808,0.227808,0.606884,0.30163,1.0
pair1_llama31_same,countries,175,175,NA,False,NA,NA,0.617599,0.617599,0.300987,0.0
pair1_llama31_same,countries,176,176,NA,True,0.2,0.225,0.225,0.6125,0.293269,1.0
pair1_llama31_same,countries,177,177,NA,False,NA,NA,0.606445,0.606445,0.292969,0.0
pair1_llama31_same,countries,178,178,NA,True,0.2,0.225,0.225,0.6125,0.3,1.0
pair1_llama31_same,countries,179,179,NA,True,0.2,0.227808,0.227808,0.606884,0.303895,1.0
pair1_llama31_same,countries,180,180,NA,False,NA,NA,0.618371,0.618371,0.296402,0.0
pair1_llama31_same,countries,181,181,NA,True,0.2,0.219216,0.219216,0.609608,0.298041,1.0
pair1_llama31_same,countries,182,182,NA,True,0.25,0.277282,0.277282,0.615575,0.290675,1.0
pair1_llama31_same,countries,183,183,NA,False,NA,NA,0.6125,0.6125,0.294231,0.0
pair1_llama31_same,countries,184,184,NA,True,0.2,0.231151,0.231151,0.615575,0.292163,1.0
pair1_llama31_same,countries,185,185,NA,True,0.2,0.227808,0.227808,0.606884,0.293931,1.0
pair1_llama31_same,countries,186,186,NA,False,NA,NA,0.6125,0.6125,0.285268,0.0
pair1_llama31_same,countries,187,187,NA,True,0.2,0.225,0.225,0.6125,0.284615,1.0
pair1_llama31_same,countries,188,188,NA,True,0.25,0.269712,0.269712,0.6125,0.298558,1.0
pair1_llama31_same,countries,189,189,NA,True,0.2,0.228027,0.228027,0.606445,0.291992,1.0
