scope,group,n,n_solved,n_unsolved,unsolved_rate,oracle_needed_budget_solved_mean,oracle_needed_budget_capped_mean,brekv_budget_mean,brekv_score_mean
cell,pair1_llama31_same/countries,200,127,73,0.365,0.24291636220472443,0.37773999999999996,0.2943774550000002,0.615
cell,pair1_llama31_same/tipsheets,500,486,14,0.028,0.2490850761316875,0.25928211800000034,0.278143484,0.712
cell,pair1_llama31_same/hotpotqa,500,394,106,0.212,0.22918495685279155,0.31041309000000006,0.2754482219999999,0.56
cell,pair1_llama31_same/qasper,500,207,293,0.586,0.21773665700483094,0.4490716360000009,0.35253970199999995,0.31
cell,pair1_llama31_same/musique,500,293,207,0.414,0.2622277201365186,0.407233188,0.27454659399999964,0.304
cell,pair1_llama31_same/multifieldqa_en,150,99,51,0.34,0.1941827474747475,0.3364051399999999,0.33536828,0.5
cell,pair1_llama31_same/twowikimqa,200,109,91,0.455,0.17301127522935783,0.37297686000000013,0.3396907650000001,0.43
cell,pair1_llama31_same/tmath,300,0,300,1.0,NA,0.612510206666667,0.2648429900000001,0.35593849666666655
cell,pair2_llama32_same/countries,200,122,78,0.39,0.24494927049180323,0.38882795499999995,0.27457085,0.53
cell,pair2_llama32_same/tipsheets,500,420,80,0.16,0.2724016071428575,0.32705232999999984,0.23684930000000012,0.42
cell,pair2_llama32_same/hotpotqa,500,388,112,0.224,0.2379692938144333,0.32223968800000014,0.25603113600000005,0.498
cell,pair2_llama32_same/qasper,500,197,303,0.606,0.2410513908629442,0.4672337339999996,0.4067565699999998,0.316
cell,pair2_llama32_same/musique,500,227,273,0.546,0.27122001762114556,0.4585594259999997,0.26483521600000004,0.232
cell,pair2_llama32_same/multifieldqa_en,150,95,55,0.36666666666666664,0.20218472631578943,0.35328403333333314,0.4014879733333332,0.5066666666666667
cell,pair2_llama32_same/twowikimqa,200,105,95,0.475,0.17944176190476183,0.3859926499999997,0.40148981499999997,0.415
cell,pair2_llama32_same/tmath,300,0,300,1.0,NA,0.6142958833333334,0.25761217333333336,0.3497881966666668
cell,pair3_qwen25_7b_same/countries,200,76,124,0.62,0.45407206578947384,0.5529077850000003,0.38494854499999986,0.23
cell,pair3_qwen25_7b_same/tipsheets,500,492,8,0.016,0.19819146747967495,0.2048650040000001,0.37128636200000026,0.87
cell,pair3_qwen25_7b_same/hotpotqa,500,391,109,0.218,0.2716554373401535,0.3463541479999996,0.36186102599999986,0.49
cell,pair3_qwen25_7b_same/qasper,500,211,289,0.578,0.24022349289099526,0.4564351779999998,0.35022945199999994,0.236
cell,pair3_qwen25_7b_same/musique,500,256,244,0.488,0.2915735742187498,0.44906062999999985,0.3209176740000004,0.234
