policy,pair,task,selected_ratio,score,actual_budget,total_bytes,a_to_b_bytes,b_to_a_bytes,per_task_best_score,relative_per_task_best_regret
B-ReKV,pair1_llama31_same,countries,NA,0.615,0.294377455,4636937.5,2539265.5,2097672.0,0.585,-0.05128205128205133
B-ReKV,pair1_llama31_same,tipsheets,NA,0.712,0.278143484,6367518.8,4269846.8,2097672.0,0.902,0.21064301552106435
B-ReKV,pair1_llama31_same,qasper,NA,0.31,0.352539702,229706638.4,227608966.4,2097672.0,0.316,0.018987341772151917
B-ReKV,pair1_llama31_same,multifieldqa_en,NA,0.5,0.33536828,315769776.6666667,313672104.6666667,2097672.0,0.5133333333333333,0.025974025974025927
B-ReKV,pair1_llama31_same,twowikimqa,NA,0.43,0.339690765,326118450.0,324020778.0,2097672.0,0.415,-0.036144578313253045
B-ReKV,pair1_llama31_same,tmath,NA,0.35593849666666666,0.26484299,9819781.666666666,7722109.666666667,2097672.0,0.3608801166666667,0.013693245406935096
B-ReKV,pair2_llama32_same,countries,NA,0.53,0.27457085000000003,3448169.5,2071457.5,1376712.0,0.58,0.08620689655172403
B-ReKV,pair2_llama32_same,tipsheets,NA,0.42,0.23684930000000004,4557994.4,3181282.4,1376712.0,0.714,0.4117647058823529
B-ReKV,pair2_llama32_same,hotpotqa,NA,0.498,0.25603113599999994,5504053.0,4127341.0,1376712.0,0.682,0.26979472140762467
B-ReKV,pair2_llama32_same,qasper,NA,0.316,0.40675657,235000552.6,233623840.6,1376712.0,0.324,0.024691358024691377
B-ReKV,pair2_llama32_same,musique,NA,0.232,0.26483521600000004,12946496.0,11569784.0,1376712.0,0.342,0.32163742690058483
B-ReKV,pair2_llama32_same,multifieldqa_en,NA,0.5066666666666667,0.40148797333333336,335974562.6666667,334597850.6666667,1376712.0,0.52,0.02564102564102559
B-ReKV,pair2_llama32_same,twowikimqa,NA,0.415,0.401489815,342368437.5,340991725.5,1376712.0,0.4,-0.037499999999999895
B-ReKV,pair2_llama32_same,tmath,NA,0.34978819666666666,0.2576121733333333,7959215.0,6582503.0,1376712.0,0.3601894133333333,0.02887707489903643
B-ReKV,pair3_qwen25_7b_same,countries,NA,0.23,0.38494854500000003,2930821.86,1324733.86,1606088.0,0.365,0.3698630136986301
B-ReKV,pair3_qwen25_7b_same,tipsheets,NA,0.87,0.37128636200000004,4012745.016,2406657.016,1606088.0,0.934,0.06852248394004289
B-ReKV,pair3_qwen25_7b_same,hotpotqa,NA,0.49,0.36186102600000003,4487988.216,2881900.216,1606088.0,0.652,0.2484662576687117
B-ReKV,pair3_qwen25_7b_same,qasper,NA,0.236,0.35022945200000005,102768007.008,101161919.008,1606088.0,0.336,0.2976190476190477
