scope,group,n,n_solved,solve_rate,spearman,oracle_needed_budget,brekv_budget,easy_fraction,medium_fraction,hard_fraction,unsolved_fraction,under_fraction_solved,over_fraction_solved
macro,all,18950,10420,0.549868073878628,0.035076956823725275,0.28312380451055663,0.31968443187335094,0.41403693931398416,0.06427440633245382,0.07155672823218998,0.45013192612137204,0.3331094049904031,0.6663147792706334
task,countries,1400,788,0.5628571428571428,0.598419993380677,0.35879789213197966,0.34835077642857143,0.325,0.14714285714285713,0.09071428571428572,0.43714285714285717,0.4885786802030457,0.5088832487309645
task,tipsheets,3500,3322,0.9491428571428572,-0.010045446433489733,0.27669053040337144,0.3055608182857143,0.7294285714285714,0.12085714285714286,0.09885714285714285,0.05085714285714286,0.3226971703792896,0.6763997591812161
task,hotpotqa,3000,2221,0.7403333333333333,0.19641544215892737,0.29256888788833857,0.31401582166666664,0.5556666666666666,0.085,0.09966666666666667,0.25966666666666666,0.3520936515083296,0.6474561008554706
task,qasper,3500,1292,0.36914285714285716,0.015375458375856065,0.2701719589783282,0.3542546388571428,0.2845714285714286,0.03257142857142857,0.052,0.6308571428571429,0.25696594427244585,0.7430340557275542
task,musique,3000,1471,0.49033333333333334,0.07196775098642848,0.31713138205302516,0.2904952503333333,0.3353333333333333,0.051666666666666666,0.10333333333333333,0.5096666666666667,0.45275322909585314,0.5472467709041469
task,multifieldqa_en,1050,644,0.6133333333333333,0.05996155969192903,0.22415970807453417,0.33456682476190475,0.5342857142857143,0.04,0.039047619047619046,0.38666666666666666,0.18478260869565216,0.8152173913043478
task,twowikimqa,1400,682,0.48714285714285716,-0.023755297919730092,0.20312987683284456,0.3321202585714286,0.4342857142857143,0.016428571428571428,0.03642857142857143,0.5128571428571429,0.16862170087976538,0.8313782991202346
task,tmath,2100,0,0.0,NA,NA,0.3005609776190476,0.0,0.0,0.0,1.0,NA,NA
difficulty,easy,7846,7846,1.0,0.07182562855664335,0.20925378281927098,0.3179592540147846,1.0,0.0,0.0,0.0,0.12197297986235024,0.8775172062197298
difficulty,medium,1218,1218,1.0,0.07018395478553148,0.4208152725779968,0.31971579720853865,0.0,1.0,0.0,0.0,0.9507389162561576,0.047619047619047616
difficulty,hard,1356,1356,1.0,-0.029227537748072532,0.5868671541297935,0.3165639137168142,0.0,0.0,1.0,0.0,1.0,0.0
difficulty,unsolved,8530,0,0.0,NA,NA,0.32176285685814765,0.0,0.0,0.0,1.0,NA,NA
oracle_ratio,0.1,3595,3595,1.0,-0.12476100389090997,0.14273278303198889,0.3119229132127956,1.0,0.0,0.0,0.0,0.00305980528511822,0.9969401947148818
oracle_ratio,0.2,2589,2589,1.0,0.03985805356291783,0.22773463576670533,0.3217498296639629,1.0,0.0,0.0,0.0,0.049053688682889146,0.9501738122827347
oracle_ratio,0.3,1662,1662,1.0,0.06878506073390853,0.324353702166065,0.3251113868832732,1.0,0.0,0.0,0.0,0.4927797833935018,0.5060168471720818
oracle_ratio,0.4,1218,1218,1.0,0.07018395478553148,0.4208152725779968,0.31971579720853865,0.0,1.0,0.0,0.0,0.9507389162561576,0.047619047619047616
oracle_ratio,0.5,662,662,1.0,0.025551304320083523,0.517576990936556,0.3181532220543807,0.0,0.0,1.0,0.0,1.0,0.0
oracle_ratio,0.6,414,414,1.0,0.019429274204521736,0.6139132777777778,0.31752313043478253,0.0,0.0,1.0,0.0,1.0,0.0
oracle_ratio,0.7,280,280,1.0,-0.06079590637393143,0.7106992714285715,0.3113880642857143,0.0,0.0,1.0,0.0,1.0,0.0
