pair,task,n,normal_score,shuffled_score,score_delta,target_budget_multiset_max_error,realized_budget_multiset_max_error,realized_mean_budget_delta
pair1_llama31_same,countries,200,0.615,0.595,0.02,0.0,0.00024799999999997047,2.4949999999912542e-06
pair1_llama31_same,tipsheets,500,0.712,0.522,0.19,0.0,0.00016199999999999548,1.071999999990858e-06
pair1_llama31_same,qasper,500,0.31,0.298,0.012,0.0,7.000000000034756e-06,7.999999995789153e-09
pair1_llama31_same,multifieldqa_en,150,0.5,0.52,-0.02,0.0,8.000000000008e-06,1.6000000002680537e-07
pair1_llama31_same,twowikimqa,200,0.43,0.42,0.01,0.0,6.999999999979245e-06,1.0999999999761201e-07
pair1_llama31_same,tmath,300,0.35593849666666666,0.34862911333333335,0.007309383333333333,0.0,9.500000000001174e-05,3.693333333332216e-06
pair2_llama32_same,countries,200,0.53,0.485,0.045,0.0,0.0002630000000000132,-2.9500000003901405e-07
pair2_llama32_same,tipsheets,500,0.42,0.378,0.042,0.0,0.00015799999999999148,5.115999999971699e-06
pair2_llama32_same,hotpotqa,500,0.498,0.502,-0.004,0.0,0.00015899999999996473,-1.7639999999596867e-06
pair2_llama32_same,qasper,500,0.316,0.304,0.012,0.0,8.000000000008e-06,-5.599999997052407e-08
pair2_llama32_same,musique,500,0.232,0.214,0.018,0.0,0.00011299999999997423,2.2560000000337865e-06
pair2_llama32_same,multifieldqa_en,150,0.5066666666666667,0.52,-0.013333333333333334,0.0,8.000000000008e-06,-1.3333333381826407e-08
pair2_llama32_same,twowikimqa,200,0.415,0.375,0.04,0.0,1.2000000000012001e-05,-7.500000009930119e-08
pair2_llama32_same,tmath,300,0.34978819666666666,0.33488144666666664,0.014906750000000002,0.0,0.000127000000000016,-1.3733333332766051e-06
pair3_qwen25_7b_same,countries,200,0.23,0.06,0.17,0.0,0.0002970000000000472,-6.740000000060586e-06
pair3_qwen25_7b_same,tipsheets,500,0.87,0.916,-0.046,0.0,0.00016700000000002824,4.284000000021049e-06
pair3_qwen25_7b_same,hotpotqa,500,0.49,0.5,-0.01,0.0,0.00016099999999996673,-4.118000000052913e-06
pair3_qwen25_7b_same,qasper,500,0.236,0.292,-0.056,0.0,8.000000000008e-06,1.279999999881376e-07
pair3_qwen25_7b_same,musique,500,0.234,0.27,-0.036,0.0,9.700000000001374e-05,-2.123999999936732e-06
pair3_qwen25_7b_same,multifieldqa_en,150,0.41333333333333333,0.41333333333333333,0.0,0.0,1.0000000000010001e-05,1.9999999933961732e-08
pair3_qwen25_7b_same,twowikimqa,200,0.405,0.435,-0.03,0.0,6.999999999979245e-06,1.150000000227358e-07
pair3_qwen25_7b_same,tmath,300,0.3040080766666666,0.3078364666666667,-0.003828390000000001,0.0,0.00011900000000003574,-1.6999999996603066e-07
pair4_falcon3_7b_same,countries,200,0.25,0.345,-0.095,0.0,0.00045800000000001395,-1.5635000000013832e-05
pair4_falcon3_7b_same,tipsheets,500,0.818,0.68,0.138,0.0,0.00022199999999999998,5.757999999966845e-06
pair4_falcon3_7b_same,hotpotqa,500,0.426,0.444,-0.018,0.0,0.00023899999999998922,-1.0659999999940162e-06
pair4_falcon3_7b_same,qasper,500,0.146,0.188,-0.042,0.0,9.000000000009e-06,9.40000000060337e-08
pair4_falcon3_7b_same,musique,500,0.256,0.272,-0.016,0.0,0.00012000000000000899,1.1659999999413806e-06
pair4_falcon3_7b_same,multifieldqa_en,150,0.26666666666666666,0.30666666666666664,-0.04,0.0,9.000000000009e-06,-6.666666690913203e-09
pair4_falcon3_7b_same,twowikimqa,200,0.31,0.315,-0.005,0.0,1.2999999999985246e-05,-1.3999999998182133e-07
pair4_falcon3_7b_same,tmath,300,0.2966910866666667,0.29347489,0.003216196666666666,0.0,0.000142000000000031,-7.700000000387952e-07
pair5_evolcodellama_toolace,countries,200,0.27,0.31,-0.04,0.0,0.00024000000000001798,4.934999999983702e-06
pair5_evolcodellama_toolace,tipsheets,500,0.824,0.702,0.122,0.0,0.00015999999999999348,5.426000000086084e-06
pair5_evolcodellama_toolace,hotpotqa,500,0.41,0.456,-0.046,0.0,0.00015399999999998748,-3.9919999999527e-06
pair5_evolcodellama_toolace,qasper,500,0.222,0.214,0.008,0.0,8.000000000008e-06,5.4000000082599087e-08
pair5_evolcodellama_toolace,musique,500,0.25,0.244,0.006,0.0,0.00010799999999999699,-1.1359999999571713e-06
pair5_evolcodellama_toolace,multifieldqa_en,150,0.54,0.5333333333333333,0.006666666666666667,0.0,1.0000000000010001e-05,-1.6000000002680537e-07
pair5_evolcodellama_toolace,twowikimqa,200,0.335,0.355,-0.02,0.0,1.2000000000012001e-05,1.1999999999234845e-07
pair5_evolcodellama_toolace,tmath,300,0.3561504766666667,0.3470444200000001,0.009106056666666668,0.0,8.900000000000574e-05,-2.466666667033657e-07
pair6_llama32_abliterated_deepseek3b,countries,200,0.515,0.42,0.095,0.0,0.0004469999999999752,-2.6040000000004948e-05
pair6_llama32_abliterated_deepseek3b,tipsheets,500,0.43,0.4,0.03,0.0,0.00023200000000000998,-1.096000000005981e-06
pair6_llama32_abliterated_deepseek3b,hotpotqa,500,0.484,0.548,-0.064,0.0,0.000246000000000024,-3.4520000000148876e-06
pair6_llama32_abliterated_deepseek3b,qasper,500,0.302,0.296,0.006,0.0,8.999999999981245e-06,2.1199999999943486e-07
pair6_llama32_abliterated_deepseek3b,musique,500,0.314,0.294,0.02,0.0,0.00013699999999999823,6.020000000162007e-07
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,150,0.5066666666666667,0.49333333333333335,0.013333333333333334,0.0,8.999999999981245e-06,6.6666666076464765e-09
pair6_llama32_abliterated_deepseek3b,twowikimqa,200,0.395,0.4,-0.005,0.0,1.4999999999987246e-05,1.3999999998182133e-07
pair6_llama32_abliterated_deepseek3b,tmath,300,0.32609909333333337,0.32271849333333336,0.0033805999999999997,0.0,0.00014999999999998348,8.253333333374524e-06
pair7_qwen25_uncensored_bespoke,countries,200,0.485,0.42,0.065,0.0,0.00028600000000000847,-3.41999999997622e-06
pair7_qwen25_uncensored_bespoke,tipsheets,500,0.916,0.92,-0.004,0.0,0.00016899999999997473,8.77400000004469e-06
pair7_qwen25_uncensored_bespoke,hotpotqa,500,0.352,0.376,-0.024,0.0,0.00019899999999994922,4.9899999999825084e-06
pair7_qwen25_uncensored_bespoke,qasper,500,0.172,0.19,-0.018,0.0,9.000000000036756e-06,1.379999999273629e-07
pair7_qwen25_uncensored_bespoke,musique,500,0.224,0.246,-0.022,0.0,0.00012299999999998423,-7.21999999953038e-07
pair7_qwen25_uncensored_bespoke,multifieldqa_en,150,0.31333333333333335,0.37333333333333335,-0.06,0.0,1.2000000000012001e-05,-3.8666666662967586e-07
pair7_qwen25_uncensored_bespoke,twowikimqa,200,0.17,0.15,0.02,0.0,1.599999999996049e-05,-8.999999995262797e-08
pair7_qwen25_uncensored_bespoke,tmath,300,0.32942261333333334,0.33565446,-0.006231846666666666,0.0,0.00011700000000003374,-1.2300000000187161e-06
