pair,task,baseline_method,n,brekv_score,brekv_actual_budget,matched_baseline_score,score_delta,lower_ratio,upper_ratio,interpolation_weight,lower_actual_budget,upper_actual_budget
pair1_llama31_same,countries,ReKV,200,0.615,0.2943774550000002,0.5933161524218278,0.02168384757817221,0.25,0.3,0.4158076210913905,0.2736311349999994,0.32352516999999986
pair1_llama31_same,countries,ValueNorm/Evict,200,0.615,0.2943774550000002,0.5737628856836291,0.04123711431637089,0.25,0.3,0.4158076210913905,0.2736311349999994,0.32352516999999986
pair1_llama31_same,countries,Random,200,0.615,0.2943774550000002,0.34405499074188073,0.27094500925811926,0.25,0.3,0.4158076210913905,0.2736311349999994,0.32352516999999986
pair1_llama31_same,hotpotqa,ReKV,500,0.56,0.2754482219999999,0.5722259136460103,-0.012225913646010222,0.25,0.3,0.03709856076683813,0.2736553139999998,0.3219835499999998
pair1_llama31_same,hotpotqa,ValueNorm/Evict,500,0.56,0.2754482219999999,0.5233355481876062,0.03666445181239386,0.25,0.3,0.03709856076683813,0.2736553139999998,0.3219835499999998
pair1_llama31_same,hotpotqa,Random,500,0.56,0.2754482219999999,0.36081949061827967,0.19918050938172038,0.25,0.3,0.03709856076683813,0.2736553139999998,0.3219835499999998
pair1_llama31_same,multifieldqa_en,ReKV,150,0.5,0.33536828,0.49333333333333335,0.006666666666666654,0.3,0.35,0.2787416311432424,0.3218667266666666,0.37030424666666656
pair1_llama31_same,multifieldqa_en,ValueNorm/Evict,150,0.5,0.33536828,0.3285249442076216,0.17147505579237837,0.3,0.35,0.2787416311432424,0.3218667266666666,0.37030424666666656
pair1_llama31_same,multifieldqa_en,Random,150,0.5,0.33536828,0.3996746094533513,0.10032539054664869,0.3,0.35,0.2787416311432424,0.3218667266666666,0.37030424666666656
pair1_llama31_same,musique,ReKV,500,0.304,0.27454659399999964,0.3385146745597859,-0.03451467455978591,0.25,0.3,0.023394298172086183,0.2734137259999997,0.32183868800000015
pair1_llama31_same,musique,ValueNorm/Evict,500,0.304,0.27454659399999964,0.2806082517524743,0.023391748247525712,0.25,0.3,0.023394298172086183,0.2734137259999997,0.32183868800000015
pair1_llama31_same,musique,Random,500,0.304,0.27454659399999964,0.14460825175247424,0.15939174824752575,0.25,0.3,0.023394298172086183,0.2734137259999997,0.32183868800000015
pair1_llama31_same,qasper,ReKV,500,0.31,0.35253970199999995,0.31119594999333905,-0.0011959499933390516,0.3,0.35,0.6331645830557929,0.3218737000000005,0.3703066080000003
pair1_llama31_same,qasper,ValueNorm/Evict,500,0.31,0.35253970199999995,0.27479392499000854,0.035206075009991455,0.3,0.35,0.6331645830557929,0.3218737000000005,0.3703066080000003
pair1_llama31_same,qasper,Random,500,0.31,0.35253970199999995,0.23039189998667806,0.07960810001332194,0.3,0.35,0.6331645830557929,0.3218737000000005,0.3703066080000003
pair1_llama31_same,tipsheets,ReKV,500,0.712,0.278143484,0.5286542829995564,0.18334571700044355,0.25,0.3,0.09696422915742477,0.2734495499999996,0.321858474
pair1_llama31_same,tipsheets,ValueNorm/Evict,500,0.712,0.278143484,0.6268482114578713,0.08515178854212868,0.25,0.3,0.09696422915742477,0.2734495499999996,0.321858474
pair1_llama31_same,tipsheets,Random,500,0.712,0.278143484,0.601042139916186,0.11095786008381392,0.25,0.3,0.09696422915742477,0.2734495499999996,0.321858474
pair1_llama31_same,tmath,ReKV,300,0.35593849666666655,0.2648429900000001,0.34912731834733496,0.00681117831933159,0.2,0.25,0.8225579231039882,0.2249636600000001,0.273445753333333
pair1_llama31_same,tmath,ValueNorm/Evict,300,0.35593849666666655,0.2648429900000001,0.3488898145590344,0.007048682107632154,0.2,0.25,0.8225579231039882,0.2249636600000001,0.273445753333333
pair1_llama31_same,tmath,Random,300,0.35593849666666655,0.2648429900000001,0.34135486219627315,0.014583634470393403,0.2,0.25,0.8225579231039882,0.2249636600000001,0.273445753333333
pair1_llama31_same,twowikimqa,ReKV,200,0.43,0.3396907650000001,0.4173553726259562,0.012644627374043815,0.3,0.35,0.36776863129780996,0.32187672000000006,0.3703149049999999
pair1_llama31_same,twowikimqa,ValueNorm/Evict,200,0.43,0.3396907650000001,0.33419421578244524,0.09580578421755476,0.3,0.35,0.36776863129780996,0.32187672000000006,0.3703149049999999
pair1_llama31_same,twowikimqa,Random,200,0.43,0.3396907650000001,0.3081611568435109,0.12183884315648907,0.3,0.35,0.36776863129780996,0.32187672000000006,0.3703149049999999
pair2_llama32_same,countries,ReKV,200,0.53,0.27457085,0.48975054325683876,0.04024945674316127,0.2,0.25,0.9501086513677474,0.22872310999999995,0.27697837
pair2_llama32_same,countries,ValueNorm/Evict,200,0.53,0.27457085,0.4692516297705162,0.06074837022948382,0.2,0.25,0.9501086513677474,0.22872310999999995,0.27697837
pair2_llama32_same,countries,Random,200,0.53,0.27457085,0.47825380279787116,0.05174619720212886,0.2,0.25,0.9501086513677474,0.22872310999999995,0.27697837
pair2_llama32_same,hotpotqa,ReKV,500,0.498,0.25603113600000005,0.501545996058198,-0.003545996058198053,0.2,0.25,0.566999896268369,0.22856981600000012,0.2770024880000001
pair2_llama32_same,hotpotqa,ValueNorm/Evict,500,0.498,0.25603113600000005,0.4654839946059552,0.03251600539404481,0.2,0.25,0.566999896268369,0.22856981600000012,0.2770024880000001
pair2_llama32_same,hotpotqa,Random,500,0.498,0.25603113600000005,0.3212159950208817,0.17678400497911828,0.2,0.25,0.566999896268369,0.22856981600000012,0.2770024880000001
pair2_llama32_same,multifieldqa_en,ReKV,150,0.5066666666666667,0.4014879733333332,0.5255154673609748,-0.018848800694308054,0.35,0.4,0.5863399479268973,0.3732060066666668,0.4214407666666668
pair2_llama32_same,multifieldqa_en,ValueNorm/Evict,150,0.5066666666666667,0.4014879733333332,0.36069586423658856,0.14597080243007815,0.35,0.4,0.5863399479268973,0.3732060066666668,0.4214407666666668
pair2_llama32_same,multifieldqa_en,Random,150,0.5066666666666667,0.4014879733333332,0.35127146388943453,0.15539520277723218,0.35,0.4,0.5863399479268973,0.3732060066666668,0.4214407666666668
pair2_llama32_same,musique,ReKV,500,0.232,0.26483521600000004,0.2260177279108725,0.005982272089127522,0.2,0.25,0.7522159888590619,0.2286281900000001,0.27676200599999984
pair2_llama32_same,musique,ValueNorm/Evict,500,0.232,0.26483521600000004,0.20107977559892623,0.03092022440107378,0.2,0.25,0.7522159888590619,0.2286281900000001,0.27676200599999984
pair2_llama32_same,musique,Random,500,0.232,0.26483521600000004,0.11357534362120811,0.1184246563787919,0.2,0.25,0.7522159888590619,0.2286281900000001,0.27676200599999984
pair2_llama32_same,qasper,ReKV,500,0.316,0.4067565699999998,0.3089576580392619,0.007042341960738108,0.35,0.4,0.6957658039261919,0.37320847399999935,0.42142598599999886
pair2_llama32_same,qasper,ValueNorm/Evict,500,0.316,0.4067565699999998,0.2605237844706715,0.05547621552932852,0.35,0.4,0.6957658039261919,0.37320847399999935,0.42142598599999886
pair2_llama32_same,qasper,Random,500,0.316,0.4067565699999998,0.23608991090208098,0.07991008909791902,0.35,0.4,0.6957658039261919,0.37320847399999935,0.42142598599999886
pair2_llama32_same,tipsheets,ReKV,500,0.42,0.23684930000000012,0.37607915212953724,0.04392084787046274,0.2,0.25,0.1699646720640516,0.22866915800000012,0.2767976420000004
pair2_llama32_same,tipsheets,ValueNorm/Evict,500,0.42,0.23684930000000012,0.3996996467206405,0.020300353279359473,0.2,0.25,0.1699646720640516,0.22866915800000012,0.2767976420000004
pair2_llama32_same,tipsheets,Random,500,0.42,0.23684930000000012,0.3707194347530248,0.04928056524697516,0.2,0.25,0.1699646720640516,0.22866915800000012,0.2767976420000004
pair2_llama32_same,tmath,ReKV,300,0.3497881966666668,0.25761217333333336,0.3400329372291454,0.009755259437521369,0.2,0.25,0.6025229435266686,0.22853519333333358,0.2767939033333334
pair2_llama32_same,tmath,ValueNorm/Evict,300,0.3497881966666668,0.25761217333333336,0.33418301906607806,0.015605177600588716,0.2,0.25,0.6025229435266686,0.22853519333333358,0.2767939033333334
pair2_llama32_same,tmath,Random,300,0.3497881966666668,0.25761217333333336,0.3330528861129133,0.01673531055375349,0.2,0.25,0.6025229435266686,0.22853519333333358,0.2767939033333334
pair2_llama32_same,twowikimqa,ReKV,200,0.415,0.40148981499999997,0.395,0.019999999999999962,0.35,0.4,0.5863683277089803,0.3732166499999998,0.42143406500000025
pair2_llama32_same,twowikimqa,ValueNorm/Evict,200,0.415,0.40148981499999997,0.3008636832770898,0.11413631672291019,0.35,0.4,0.5863683277089803,0.3732166499999998,0.42143406500000025
pair2_llama32_same,twowikimqa,Random,200,0.415,0.40148981499999997,0.3105228914698143,0.10447710853018566,0.35,0.4,0.5863683277089803,0.3732166499999998,0.42143406500000025
pair3_qwen25_7b_same,countries,ReKV,200,0.23,0.38494854499999986,0.08465709424422148,0.14534290575577852,0.35,0.4,0.23901444306359634,0.37341961999999973,0.42165488500000037
pair3_qwen25_7b_same,countries,ValueNorm/Evict,200,0.23,0.38494854499999986,0.10239014443063597,0.12760985556936405,0.35,0.4,0.23901444306359634,0.37341961999999973,0.42165488500000037
pair3_qwen25_7b_same,countries,Random,200,0.23,0.38494854499999986,0.09717043329190789,0.13282956670809212,0.35,0.4,0.23901444306359634,0.37341961999999973,0.42165488500000037
pair3_qwen25_7b_same,hotpotqa,ReKV,500,0.49,0.36186102599999986,0.5000366540286332,-0.010036654028633185,0.3,0.35,0.7672775671438852,0.32497537999999954,0.37304878599999963
pair3_qwen25_7b_same,hotpotqa,ValueNorm/Evict,500,0.49,0.36186102599999986,0.5847785399686475,-0.09477853996864749,0.3,0.35,0.7672775671438852,0.32497537999999954,0.37304878599999963
pair3_qwen25_7b_same,hotpotqa,Random,500,0.49,0.36186102599999986,0.4046403194314964,0.08535968056850357,0.3,0.35,0.7672775671438852,0.32497537999999954,0.37304878599999963
pair3_qwen25_7b_same,multifieldqa_en,ReKV,150,0.41333333333333333,0.33988730000000017,0.4774491602309379,-0.06411582689760459,0.3,0.35,0.3086870173203446,0.3250012266666666,0.37322506666666677
pair3_qwen25_7b_same,multifieldqa_en,ValueNorm/Evict,150,0.41333333333333333,0.33988730000000017,0.32460875321786437,0.08872458011546897,0.3,0.35,0.3086870173203446,0.3250012266666666,0.37322506666666677
pair3_qwen25_7b_same,multifieldqa_en,Random,150,0.41333333333333333,0.33988730000000017,0.3041158268976046,0.10921750643572875,0.3,0.35,0.3086870173203446,0.3250012266666666,0.37322506666666677
pair3_qwen25_7b_same,musique,ReKV,500,0.234,0.3209176740000004,0.28449795209520157,-0.050497952095201554,0.25,0.3,0.9166179070286092,0.2767344580000001,0.32493689399999987
pair3_qwen25_7b_same,musique,ValueNorm/Evict,500,0.234,0.3209176740000004,0.32599765953737325,-0.09199765953737324,0.25,0.3,0.9166179070286092,0.2767344580000001,0.32493689399999987
pair3_qwen25_7b_same,musique,Random,500,0.234,0.3209176740000004,0.17449795209520158,0.05950204790479843,0.25,0.3,0.9166179070286092,0.2767344580000001,0.32493689399999987
pair3_qwen25_7b_same,qasper,ReKV,500,0.236,0.35022945199999994,0.2781864466693242,-0.042186446669324196,0.3,0.35,0.5233058336655225,0.3249975599999999,0.37321389999999943
pair3_qwen25_7b_same,qasper,ValueNorm/Evict,500,0.236,0.35022945199999994,0.28255934000797256,-0.04655934000797257,0.3,0.35,0.5233058336655225,0.3249975599999999,0.37321389999999943
pair3_qwen25_7b_same,qasper,Random,500,0.236,0.35022945199999994,0.2049322333466209,0.031067766653379097,0.3,0.35,0.5233058336655225,0.3249975599999999,0.37321389999999943
pair3_qwen25_7b_same,tipsheets,ReKV,500,0.87,0.37128636200000026,0.9076391405791622,-0.03763914057916218,0.3,0.35,0.9639140579162093,0.32485899799999945,0.3730244579999994
pair3_qwen25_7b_same,tipsheets,ValueNorm/Evict,500,0.87,0.37128636200000026,0.6579791872433077,0.21202081275669227,0.3,0.35,0.9639140579162093,0.32485899799999945,0.3730244579999994
pair3_qwen25_7b_same,tipsheets,Random,500,0.87,0.37128636200000026,0.7329895936216538,0.13701040637834616,0.3,0.35,0.9639140579162093,0.32485899799999945,0.3730244579999994
pair3_qwen25_7b_same,tmath,ReKV,300,0.3040080766666669,0.3630525066666668,0.3086044547737294,-0.004596378107062482,0.3,0.35,0.7869380743152545,0.32515451333333334,0.3733133133333333
pair3_qwen25_7b_same,tmath,ValueNorm/Evict,300,0.3040080766666669,0.3630525066666668,0.3090666113807526,-0.005058534714085683,0.3,0.35,0.7869380743152545,0.32515451333333334,0.3733133133333333
pair3_qwen25_7b_same,tmath,Random,300,0.3040080766666669,0.3630525066666668,0.3090166920378527,-0.005008615371185798,0.3,0.35,0.7869380743152545,0.32515451333333334,0.3733133133333333
pair3_qwen25_7b_same,twowikimqa,ReKV,200,0.405,0.31823836499999986,0.465090110565467,-0.06009011056546698,0.25,0.3,0.8597174447276297,0.2767895300000001,0.32500169000000023
pair3_qwen25_7b_same,twowikimqa,ValueNorm/Evict,200,0.405,0.31823836499999986,0.3378056511054474,0.06719434889455261,0.25,0.3,0.8597174447276297,0.2767895300000001,0.32500169000000023
pair3_qwen25_7b_same,twowikimqa,Random,200,0.405,0.31823836499999986,0.3107014127763619,0.09429858722363815,0.25,0.3,0.8597174447276297,0.2767895300000001,0.32500169000000023
pair4_falcon3_7b_same,countries,ReKV,200,0.25,0.43569405999999977,0.3251660808254205,-0.07516608082542048,0.4,0.5,0.1444388650040044,0.42175353500000073,0.5182685900000006
pair4_falcon3_7b_same,countries,ValueNorm/Evict,200,0.25,0.43569405999999977,0.17722194325020024,0.07277805674979976,0.4,0.5,0.1444388650040044,0.42175353500000073,0.5182685900000006
pair4_falcon3_7b_same,countries,Random,200,0.25,0.43569405999999977,0.09938852622526029,0.1506114737747397,0.4,0.5,0.1444388650040044,0.42175353500000073,0.5182685900000006
pair4_falcon3_7b_same,hotpotqa,ReKV,500,0.426,0.3392620719999996,0.45657458331052,-0.030574583310519987,0.3,0.35,0.2937384252922222,0.32520604799999964,0.37305822799999955
pair4_falcon3_7b_same,hotpotqa,ValueNorm/Evict,500,0.426,0.3392620719999996,0.38762430551753335,0.03837569448246664,0.3,0.35,0.2937384252922222,0.32520604799999964,0.37305822799999955
pair4_falcon3_7b_same,hotpotqa,Random,500,0.426,0.3392620719999996,0.32328729165526,0.10271270834474,0.3,0.35,0.2937384252922222,0.32520604799999964,0.37305822799999955
pair4_falcon3_7b_same,multifieldqa_en,ReKV,150,0.26666666666666666,0.15248373333333334,0.32666666666666666,-0.06,0.1,0.15,0.42186695235044747,0.13214869999999987,0.18035118000000006
pair4_falcon3_7b_same,multifieldqa_en,ValueNorm/Evict,150,0.26666666666666666,0.15248373333333334,0.24354134476068456,0.0231253219059821,0.1,0.15,0.42186695235044747,0.13214869999999987,0.18035118000000006
pair4_falcon3_7b_same,multifieldqa_en,Random,150,0.26666666666666666,0.15248373333333334,0.21406223174501493,0.05260443492165173,0.1,0.15,0.42186695235044747,0.13214869999999987,0.18035118000000006
pair4_falcon3_7b_same,musique,ReKV,500,0.256,0.2592135399999999,0.262304919985425,-0.006304919985424984,0.2,0.25,0.6345287495445305,0.22864814800000036,0.27681837199999976
