scope,group,baseline_method,n_cells,mean_delta,median_delta,wins,losses,ties,mean_brekv_budget
global,all,ReKV,56,0.003586524988461283,0.000538898972205798,28,28,0,0.3215171662440478
global,all,ValueNorm/Evict,56,0.0922647523627019,0.06431242985996379,51,5,0,0.3215171662440478
global,all,Random,56,0.1266804784208003,0.1068473074829572,54,2,0,0.3215171662440478
pair,pair1_llama31_same,ReKV,8,0.02290193734244033,0.006738922492999122,5,3,0,0.3018696865
pair,pair1_llama31_same,ValueNorm/Evict,8,0.061997587505746986,0.03895078306438238,8,0,0,0.3018696865
pair,pair1_llama31_same,Random,8,0.13210388689475405,0.1163983516201515,8,0,0,0.3018696865
pair,pair2_llama32_same,ReKV,8,0.013069422668563108,0.008398800699129738,6,2,0,0.3124541292083333
pair,pair2_llama32_same,ValueNorm/Evict,8,0.05945918319835843,0.043996110461686666,8,0,0,0.3124541292083333
pair,pair2_llama32_same,Random,8,0.09409414184576309,0.09219359881405234,8,0,0,0.3124541292083333
pair,pair3_qwen25_7b_same,ReKV,8,-0.01547745039833458,-0.03991279362424319,1,7,0,0.3513026538333335
pair,pair3_qwen25_7b_same,ValueNorm/Evict,8,0.03214444038849987,0.031067907090233465,4,4,0,0.3513026538333335
pair,pair3_qwen25_7b_same,Random,8,0.08053461831266255,0.08982913389607086,7,1,0,0.3513026538333335
pair,pair4_falcon3_7b_same,ReKV,8,-0.013117323253111591,-0.026273382736704404,2,6,0,0.2717957866249999
pair,pair4_falcon3_7b_same,ValueNorm/Evict,8,0.059776747347889125,0.0534008584989763,8,0,0,0.2717957866249999
pair,pair4_falcon3_7b_same,Random,8,0.09713921651866647,0.09083605686666461,8,0,0,0.2717957866249999
pair,pair5_evolcodellama_toolace,ReKV,8,0.01180866728737966,0.003779723594154988,5,3,0,0.32168630208333326
pair,pair5_evolcodellama_toolace,ValueNorm/Evict,8,0.09488166660455685,0.07191559253668788,8,0,0,0.32168630208333326
pair,pair5_evolcodellama_toolace,Random,8,0.15319751357089312,0.13935486205056097,8,0,0,0.32168630208333326
pair,pair6_llama32_abliterated_deepseek3b,ReKV,8,0.013716618054305824,0.0035147854714690507,6,2,0,0.31806703908333334
pair,pair6_llama32_abliterated_deepseek3b,ValueNorm/Evict,8,0.07610997544537676,0.06768306641530315,7,1,0,0.31806703908333334
pair,pair6_llama32_abliterated_deepseek3b,Random,8,0.09013603435524867,0.08293140756974182,8,0,0,0.31806703908333334
pair,pair7_qwen25_uncensored_bespoke,ReKV,8,-0.007796196782013768,-0.010099926244661286,3,5,0,0.37344456637499995
pair,pair7_qwen25_uncensored_bespoke,ValueNorm/Evict,8,0.2614836660484854,0.15123242051883892,8,0,0,0.37344456637499995
pair,pair7_qwen25_uncensored_bespoke,Random,8,0.23955793744761425,0.1432389180308028,7,1,0,0.37344456637499995
task,countries,ReKV,7,0.04359668208124127,0.04024945674316127,6,1,0,0.34835077642857143
task,countries,ValueNorm/Evict,7,0.13853365769479595,0.07277805674979976,7,0,0,0.34835077642857143
task,countries,Random,7,0.19535223716976755,0.1506114737747397,7,0,0,0.34835077642857143
task,tipsheets,ReKV,7,0.07164643582962589,0.04392084787046274,6,1,0,0.3055608182857143
task,tipsheets,ValueNorm/Evict,7,0.23506220087828106,0.16885947705224225,7,0,0,0.3055608182857143
task,tipsheets,Random,7,0.21995405691751005,0.13701040637834616,7,0,0,0.3055608182857143
task,hotpotqa,ReKV,7,-0.025863001214761223,-0.030574583310519987,0,7,0,0.3085061645714285
task,hotpotqa,ValueNorm/Evict,7,0.049001329996623766,0.03837569448246664,6,1,0,0.3085061645714285
task,hotpotqa,Random,7,0.16970506432026905,0.17678400497911828,7,0,0,0.3085061645714285
task,qasper,ReKV,7,-0.013166489804479804,-0.0011959499933390516,3,4,0,0.35425463885714287
task,qasper,ValueNorm/Evict,7,0.048181504348669336,0.05547621552932852,6,1,0,0.35425463885714287
task,qasper,Random,7,0.07336511118825857,0.07960810001332194,7,0,0,0.35425463885714287
task,musique,ReKV,7,-0.013874854092545784,-0.018704677520014062,2,5,0,0.2882168708571428
task,musique,ValueNorm/Evict,7,0.04482975680014619,0.06842602251548596,6,1,0,0.2882168708571428
task,musique,Random,7,0.13704367795609126,0.15315696501639692,7,0,0,0.2882168708571428
task,multifieldqa_en,ReKV,7,-0.02627420555533763,-0.018848800694308054,3,4,0,0.33456682476190475
task,multifieldqa_en,ValueNorm/Evict,7,0.13837388968595854,0.14597080243007815,7,0,0,0.33456682476190475
task,multifieldqa_en,Random,7,0.11276874764164017,0.10921750643572875,7,0,0,0.33456682476190475
task,twowikimqa,ReKV,7,-0.009985280541578958,-0.0027660944986921954,3,4,0,0.3321202585714286
task,twowikimqa,ValueNorm/Evict,7,0.07852237304473317,0.07393562200523135,7,0,0,0.3321202585714286
task,twowikimqa,Random,7,0.09779130933950933,0.09452790627437269,7,0,0,0.3321202585714286
task,tmath,ReKV,7,0.002612913205526503,0.002688460606447507,5,2,0,0.3005609776190477
task,tmath,ValueNorm/Evict,7,0.005613306452407247,0.00625406392915373,5,2,0,0.3005609776190477
task,tmath,Random,7,0.007463622833356498,0.004851904707551702,5,2,0,0.3005609776190477
