comparison,pair,task,n_pairs,mean_delta,ci_low,ci_high,bootstrap_win_probability,lower_ratio,upper_ratio,interpolation_weight
B-ReKV - ReKV,pair1_llama31_same,countries,200,0.02168384757817219,0.0008419237890860943,0.04460480947271524,0.979,0.25,0.3,0.4158076210913905
B-ReKV - ValueNorm/Evict,pair1_llama31_same,countries,200,0.041237114316370865,0.00831615242182781,0.07539519052728477,0.9934,0.25,0.3,0.4158076210913905
B-ReKV - Random,pair1_llama31_same,countries,200,0.2709450092581192,0.2126288568362914,0.33054981873083444,1.0,0.25,0.3,0.4158076210913905
B-ReKV - ReKV,pair1_llama31_same,tipsheets,500,0.18334571700044364,0.1445700031671842,0.22263071858403571,1.0,0.25,0.3,0.09696422915742477
B-ReKV - ValueNorm/Evict,pair1_llama31_same,tipsheets,500,0.08515178854212874,0.031927502375388155,0.13779428933392482,0.9988,0.25,0.3,0.09696422915742477
B-ReKV - Random,pair1_llama31_same,tipsheets,500,0.11095786008381389,0.060121430833703006,0.16360036087560997,0.9999,0.25,0.3,0.09696422915742477
B-ReKV - ReKV,pair1_llama31_same,hotpotqa,500,-0.01222591364601029,-0.045485797358711874,0.02207087484012442,0.2397,0.25,0.3,0.03709856076683813
B-ReKV - ValueNorm/Evict,pair1_llama31_same,hotpotqa,500,0.03666445181239382,-0.009411600237178195,0.08244186044779281,0.937,0.25,0.3,0.03709856076683813
B-ReKV - Random,pair1_llama31_same,hotpotqa,500,0.1991805093817203,0.1542173310981182,0.24503397006669125,1.0,0.25,0.3,0.03709856076683813
B-ReKV - ReKV,pair1_llama31_same,qasper,500,-0.0011959499933390295,-0.019066823018349346,0.016403784482649775,0.4394,0.3,0.35,0.6331645830557929
B-ReKV - ValueNorm/Evict,pair1_llama31_same,qasper,500,0.035206075009991455,0.0008726697001142136,0.07054604918209788,0.9772,0.3,0.35,0.6331645830557929
B-ReKV - Random,pair1_llama31_same,qasper,500,0.07960810001332194,0.0434070875116567,0.11593974584387988,1.0,0.3,0.35,0.6331645830557929
B-ReKV - ReKV,pair1_llama31_same,musique,500,-0.0345146745597859,-0.06609357719268834,-0.0027474478265981715,0.0164,0.25,0.3,0.023394298172086183
B-ReKV - ValueNorm/Evict,pair1_llama31_same,musique,500,0.023391748247525757,-0.018608251752474242,0.06697065088042821,0.8512,0.25,0.3,0.023394298172086183
B-ReKV - Random,pair1_llama31_same,musique,500,0.15939174824752575,0.1172981710548374,0.20325255217340185,1.0,0.25,0.3,0.023394298172086183
B-ReKV - ReKV,pair1_llama31_same,multifieldqa_en,150,0.006666666666666667,-0.02775850071046848,0.04,0.6397,0.3,0.35,0.2787416311432424
B-ReKV - ValueNorm/Evict,pair1_llama31_same,multifieldqa_en,150,0.1714750557923784,0.09967460945335133,0.24666666666666667,1.0,0.3,0.35,0.2787416311432424
B-ReKV - Random,pair1_llama31_same,multifieldqa_en,150,0.10032539054664869,0.02513377967236041,0.17551700142093696,0.9963,0.3,0.35,0.2787416311432424
B-ReKV - ReKV,pair1_llama31_same,twowikimqa,200,0.012644627374043801,-0.00683884315648905,0.033450411591598554,0.883,0.3,0.35,0.36776863129780996
B-ReKV - ValueNorm/Evict,pair1_llama31_same,twowikimqa,200,0.09580578421755476,0.02580578421755475,0.16419576528311294,0.9956,0.3,0.35,0.36776863129780996
B-ReKV - Random,pair1_llama31_same,twowikimqa,200,0.12183884315648903,0.05419421578244525,0.19028925474808758,0.9999,0.3,0.35,0.36776863129780996
B-ReKV - ReKV,pair1_llama31_same,tmath,300,0.006811178319331838,-0.0007574791901595369,0.014180952505591994,0.9631,0.2,0.25,0.8225579231039882
B-ReKV - ValueNorm/Evict,pair1_llama31_same,tmath,300,0.007048682107632169,-0.0015625348904163797,0.016005281014585815,0.9438,0.2,0.25,0.8225579231039882
B-ReKV - Random,pair1_llama31_same,tmath,300,0.014583634470393493,0.005032970015013686,0.024111992699930886,0.9989,0.2,0.25,0.8225579231039882
B-ReKV - ReKV,pair2_llama32_same,countries,200,0.040249456743161265,0.0017461972021288413,0.08024945674316125,0.984,0.2,0.25,0.9501086513677474
B-ReKV - ValueNorm/Evict,pair2_llama32_same,countries,200,0.06074837022948379,0.02524945674316126,0.10049891348632252,0.9998,0.2,0.25,0.9501086513677474
B-ReKV - Random,pair2_llama32_same,countries,200,0.05174619720212885,0.01099782697264505,0.09425162977051621,0.9924,0.2,0.25,0.9501086513677474
B-ReKV - ReKV,pair2_llama32_same,tipsheets,500,0.043920847870462756,0.008819345884653301,0.07860070655871897,0.9923,0.2,0.25,0.1699646720640516
B-ReKV - ValueNorm/Evict,pair2_llama32_same,tipsheets,500,0.020300353279359484,-0.022341908147366533,0.06392084787046276,0.8246,0.2,0.25,0.1699646720640516
B-ReKV - Random,pair2_llama32_same,tipsheets,500,0.049280565246975175,0.004980211967615693,0.09264028262348759,0.9859,0.2,0.25,0.1699646720640516
B-ReKV - ReKV,pair2_llama32_same,hotpotqa,500,-0.0035459960581980176,-0.03667999585073475,0.03012555294079172,0.414,0.2,0.25,0.566999896268369
B-ReKV - ValueNorm/Evict,pair2_llama32_same,hotpotqa,500,0.03251600539404481,-0.008473997717904115,0.07391800477165504,0.9419,0.2,0.25,0.566999896268369
B-ReKV - Random,pair2_llama32_same,hotpotqa,500,0.17678400497911828,0.13604045763983466,0.21818600435672852,1.0,0.2,0.25,0.566999896268369
B-ReKV - ReKV,pair2_llama32_same,qasper,500,0.00704234196073808,-0.010523784470671456,0.02486774713718093,0.7806,0.35,0.4,0.6957658039261919
B-ReKV - ValueNorm/Evict,pair2_llama32_same,qasper,500,0.05547621552932854,0.022343962666509475,0.0893016207057714,0.9997,0.35,0.4,0.6957658039261919
B-ReKV - Random,pair2_llama32_same,qasper,500,0.07991008909791901,0.04512702588221424,0.11469315231362379,0.9999,0.35,0.4,0.6957658039261919
B-ReKV - ReKV,pair2_llama32_same,musique,500,0.005982272089127505,-0.021072664097523522,0.032973408133691255,0.6647,0.2,0.25,0.7522159888590619
B-ReKV - ValueNorm/Evict,pair2_llama32_same,musique,500,0.030920224401073775,-0.007575343621208102,0.06794681626738251,0.9389,0.2,0.25,0.7522159888590619
B-ReKV - Random,pair2_llama32_same,musique,500,0.11842465637879189,0.08389363253476503,0.1544246563787919,1.0,0.2,0.25,0.7522159888590619
B-ReKV - ReKV,pair2_llama32_same,multifieldqa_en,150,-0.018848800694308034,-0.05333333333333334,0.014484532639025296,0.1302,0.35,0.4,0.5863399479268973
B-ReKV - ValueNorm/Evict,pair2_llama32_same,multifieldqa_en,150,0.14597080243007815,0.07217612079845426,0.22045533506910342,0.9999,0.35,0.4,0.5863399479268973
B-ReKV - Random,pair2_llama32_same,multifieldqa_en,150,0.15539520277723215,0.08136600520731027,0.23378866840243678,1.0,0.35,0.4,0.5863399479268973
B-ReKV - ReKV,pair2_llama32_same,twowikimqa,200,0.02,0.0020681583614550986,0.042068158361455096,0.9859,0.35,0.4,0.5863683277089803
B-ReKV - ValueNorm/Evict,pair2_llama32_same,twowikimqa,200,0.11413631672291019,0.05740895016873059,0.1720681583614551,0.9999,0.35,0.4,0.5863683277089803
B-ReKV - Random,pair2_llama32_same,twowikimqa,200,0.1044771085301857,0.04601385562664461,0.1632726334458204,0.9998,0.35,0.4,0.5863683277089803
B-ReKV - ReKV,pair2_llama32_same,tmath,300,0.009755259437521247,0.0025441679388995527,0.017138189926084225,0.9956,0.2,0.25,0.6025229435266686
B-ReKV - ValueNorm/Evict,pair2_llama32_same,tmath,300,0.015605177600588575,0.006799772012099032,0.02444507947397391,0.9999,0.2,0.25,0.6025229435266686
B-ReKV - Random,pair2_llama32_same,tmath,300,0.01673531055375358,0.008209820076459583,0.02545139001258015,1.0,0.2,0.25,0.6025229435266686
B-ReKV - ReKV,pair3_qwen25_7b_same,countries,200,0.14534290575577852,0.09892812240173247,0.19339218360259872,1.0,0.35,0.4,0.23901444306359634
B-ReKV - ValueNorm/Evict,pair3_qwen25_7b_same,countries,200,0.12760985556936405,0.07880492778468202,0.1790246389234101,1.0,0.35,0.4,0.23901444306359634
B-ReKV - Random,pair3_qwen25_7b_same,countries,200,0.13282956670809212,0.07924435006213817,0.18782956670809214,1.0,0.35,0.4,0.23901444306359634
B-ReKV - ReKV,pair3_qwen25_7b_same,tipsheets,500,-0.037639140579162095,-0.06677488226625532,-0.009637336282057929,0.0034,0.3,0.35,0.9639140579162093
B-ReKV - ValueNorm/Evict,pair3_qwen25_7b_same,tipsheets,500,0.21202081275669227,0.17002081275669226,0.2538061014012937,1.0,0.3,0.35,0.9639140579162093
B-ReKV - Random,pair3_qwen25_7b_same,tipsheets,500,0.13701040637834613,0.09922692203084889,0.17508257826251372,1.0,0.3,0.35,0.9639140579162093
B-ReKV - ReKV,pair3_qwen25_7b_same,hotpotqa,500,-0.010036654028633107,-0.040502098894345334,0.02005078325425898,0.2568,0.3,0.35,0.7672775671438852
B-ReKV - ValueNorm/Evict,pair3_qwen25_7b_same,hotpotqa,500,-0.0947785399686475,-0.14105625062430616,-0.048035384447276654,0.0001,0.3,0.35,0.7672775671438852
B-ReKV - Random,pair3_qwen25_7b_same,hotpotqa,500,0.0853596805685036,0.04234135355418702,0.12870650149273774,1.0,0.3,0.35,0.7672775671438852
B-ReKV - ReKV,pair3_qwen25_7b_same,qasper,500,-0.04218644666932418,-0.06646611667331045,-0.018860164998006867,0.0005,0.3,0.35,0.5233058336655225
B-ReKV - ValueNorm/Evict,pair3_qwen25_7b_same,qasper,500,-0.046559340007972544,-0.08113983500199314,-0.01246378608994393,0.0038,0.3,0.35,0.5233058336655225
B-ReKV - Random,pair3_qwen25_7b_same,qasper,500,0.0310677666533791,-0.0026525633426346317,0.06611437832071014,0.9651,0.3,0.35,0.5233058336655225
B-ReKV - ReKV,pair3_qwen25_7b_same,musique,500,-0.05049795209520158,-0.08149736697954489,-0.020999385628560473,0.0004,0.25,0.3,0.9166179070286092
B-ReKV - ValueNorm/Evict,pair3_qwen25_7b_same,musique,500,-0.09199765953737324,-0.13666882687422727,-0.04816556469884657,0.0,0.25,0.3,0.9166179070286092
B-ReKV - Random,pair3_qwen25_7b_same,musique,500,0.05950204790479842,0.018002340462626762,0.1016688120907412,0.9972,0.25,0.3,0.9166179070286092
B-ReKV - ReKV,pair3_qwen25_7b_same,multifieldqa_en,150,-0.0641158268976046,-0.1220579134488023,-0.006666666666666667,0.0143,0.3,0.35,0.3086870173203446
B-ReKV - ValueNorm/Evict,pair3_qwen25_7b_same,multifieldqa_en,150,0.08872458011546897,0.0015526639705360351,0.17744916023093793,0.9763,0.3,0.35,0.3086870173203446
B-ReKV - Random,pair3_qwen25_7b_same,multifieldqa_en,150,0.10921750643572874,0.02510167953812414,0.19333333333333333,0.9943,0.3,0.35,0.3086870173203446
B-ReKV - ReKV,pair3_qwen25_7b_same,twowikimqa,200,-0.06009011056546704,-0.1057915233418289,-0.01579152334182889,0.0044,0.25,0.3,0.8597174447276297
B-ReKV - ValueNorm/Evict,pair3_qwen25_7b_same,twowikimqa,200,0.0671943488945526,0.009298587223638148,0.12438869778910519,0.9885,0.25,0.3,0.8597174447276297
B-ReKV - Random,pair3_qwen25_7b_same,twowikimqa,200,0.09429858722363814,0.03298361947224481,0.15580680589710103,0.9986,0.25,0.3,0.8597174447276297
B-ReKV - ReKV,pair3_qwen25_7b_same,tmath,300,-0.00459637810706247,-0.010854037181300139,0.001633569698485979,0.08,0.3,0.35,0.7869380743152545
B-ReKV - ValueNorm/Evict,pair3_qwen25_7b_same,tmath,300,-0.005058534714085711,-0.012507866854466369,0.0024595481962415653,0.0943,0.3,0.35,0.7869380743152545
B-ReKV - Random,pair3_qwen25_7b_same,tmath,300,-0.005008615371185891,-0.011820853681351069,0.001976441681917403,0.0785,0.3,0.35,0.7869380743152545
B-ReKV - ReKV,pair4_falcon3_7b_same,countries,200,-0.07516608082542048,-0.12233266380048054,-0.030166080825420466,0.0002,0.4,0.5,0.1444388650040044
B-ReKV - ValueNorm/Evict,pair4_falcon3_7b_same,countries,200,0.07277805674979977,0.022778056749799776,0.12429170851246976,0.9983,0.4,0.5,0.1444388650040044
B-ReKV - Random,pair4_falcon3_7b_same,countries,200,0.1506114737747397,0.09422244539983982,0.20916708512469967,1.0,0.4,0.5,0.1444388650040044
B-ReKV - ReKV,pair4_falcon3_7b_same,tipsheets,500,0.13770285938899687,0.09814460778918176,0.17757434631530292,1.0,0.3,0.35,0.0642565368469707
B-ReKV - ValueNorm/Evict,pair4_falcon3_7b_same,tipsheets,500,0.16885947705224236,0.11917130714925572,0.2193767421738604,1.0,0.3,0.35,0.0642565368469707
B-ReKV - Random,pair4_falcon3_7b_same,tipsheets,500,0.15595988553638473,0.11021691168377262,0.20260285327274163,1.0,0.3,0.35,0.0642565368469707
B-ReKV - ReKV,pair4_falcon3_7b_same,hotpotqa,500,-0.030574583310519998,-0.060349907402337775,-0.0012743981151955523,0.0205,0.3,0.35,0.2937384252922222
B-ReKV - ValueNorm/Evict,pair4_falcon3_7b_same,hotpotqa,500,0.03837569448246667,-0.002686921264611108,0.08015382702313668,0.9679,0.3,0.35,0.2937384252922222
B-ReKV - Random,pair4_falcon3_7b_same,hotpotqa,500,0.10271270834474001,0.058,0.14906574653443164,1.0,0.3,0.35,0.2937384252922222
