pair,dataset,method,score,budget,kv_mb_sent,query_tokens_B,output_tokens,t_receiver_score,t_generate_total,t_total,peak_mem_gb
pair6,hotpotqa,B-ReKV t=0.95 s=0.75 w8,0.6404,0.2716,3.384,50.15,4.97,0.0602,0.2007,0.2988,12.057
pair6,hotpotqa,B-ReKV t=0.95 s=0.85 w8,0.6384,0.3005,3.747,50.15,4.92,0.0665,0.2178,0.327,12.057
pair6,hotpotqa,ReKV-w16 r=0.3,0.6707,0.3249,4.107,50.15,4.71,0.0513,0.183,0.2708,12.057
pair6,hotpotqa,ReKV-w8 r=0.3,0.6465,0.3249,4.107,50.15,4.84,0.0542,0.2075,0.301,12.057
pair6,multifieldqa_en,B-ReKV t=0.95 s=0.75 w8,0.4621,0.2312,179.223,45.28,15.64,0.0765,0.5389,1.2515,15.394
pair6,multifieldqa_en,B-ReKV t=0.95 s=0.85 w8,0.4828,0.2571,199.439,45.28,15.64,0.0793,0.5538,1.2687,15.42
pair6,multifieldqa_en,ReKV-w16 r=0.3,0.4621,0.325,245.706,45.28,15.5,0.0743,0.5417,1.2518,15.468
pair6,multifieldqa_en,ReKV-w8 r=0.3,0.4621,0.325,245.706,45.28,15.88,0.0712,0.5543,1.2615,15.468
pair6,musique,B-ReKV t=0.95 s=0.75 w8,0.3818,0.2506,9.507,51.59,6.08,0.0664,0.2689,0.3871,12.171
pair6,musique,B-ReKV t=0.95 s=0.85 w8,0.3677,0.279,10.581,51.59,6.05,0.0758,0.2997,0.4324,12.172
pair6,musique,ReKV-w16 r=0.3,0.3535,0.325,12.563,51.59,5.81,0.0461,0.2023,0.2901,12.173
pair6,musique,ReKV-w8 r=0.3,0.3596,0.325,12.563,51.59,6.02,0.0614,0.2744,0.3888,12.173
pair7,hotpotqa,B-ReKV t=0.95 s=0.75 w8,0.4141,0.3308,2.509,69.69,21.88,0.0533,1.0503,1.1411,28.481
pair7,hotpotqa,B-ReKV t=0.95 s=0.85 w8,0.4465,0.3691,2.799,69.69,20.91,0.0533,1.0157,1.1067,28.481
pair7,hotpotqa,ReKV-w16 r=0.3,0.3758,0.325,2.486,69.69,23.58,0.0474,1.1383,1.2235,28.482
pair7,hotpotqa,ReKV-w8 r=0.3,0.396,0.325,2.486,69.69,22.21,0.0468,1.0616,1.1459,28.481
pair7,multifieldqa_en,B-ReKV t=0.95 s=0.75 w8,0.3931,0.2093,81.848,64.38,35.99,0.0934,1.6102,2.8885,31.412
pair7,multifieldqa_en,B-ReKV t=0.95 s=0.85 w8,0.3793,0.2321,90.766,64.38,36.82,0.0939,1.7002,2.9793,31.416
pair7,multifieldqa_en,ReKV-w16 r=0.3,0.3862,0.325,127.336,64.38,36.65,0.0876,1.7321,3.0041,31.436
pair7,multifieldqa_en,ReKV-w8 r=0.3,0.3724,0.325,127.336,64.38,37.42,0.0875,1.7707,3.0407,31.436
pair7,musique,B-ReKV t=0.95 s=0.75 w8,0.299,0.292,6.034,70.86,25.37,0.0459,1.0484,1.1673,28.583
pair7,musique,B-ReKV t=0.95 s=0.85 w8,0.3071,0.3255,6.723,70.86,25.68,0.0467,1.0758,1.1955,28.583
pair7,musique,ReKV-w16 r=0.3,0.297,0.3249,6.932,70.86,25.71,0.0393,1.0379,1.1503,28.583
pair7,musique,ReKV-w8 r=0.3,0.2889,0.3249,6.932,70.86,26.18,0.0414,1.095,1.2098,28.583
