pair,dataset,method,score,budget,kv_mb_sent,query_tokens_B,output_tokens,t_receiver_score,t_generate_total,t_total,peak_mem_gb
pair7,hotpotqa,B-ReKV t=0.95 s=0.75 w8,0.4141,0.3308,2.509,69.69,21.88,0.0533,1.0503,1.1411,28.481
pair7,hotpotqa,B-ReKV t=0.95 s=0.85 w8,0.4465,0.3691,2.799,69.69,20.91,0.0533,1.0157,1.1067,28.481
pair7,hotpotqa,ReKV-w16 r=0.3,0.3758,0.325,2.486,69.69,23.58,0.0474,1.1383,1.2235,28.482
pair7,hotpotqa,ReKV-w8 r=0.3,0.396,0.325,2.486,69.69,22.21,0.0468,1.0616,1.1459,28.481
pair7,multifieldqa_en,B-ReKV t=0.95 s=0.75 w8,0.3931,0.2093,81.848,64.38,35.99,0.0934,1.6102,2.8885,31.412
pair7,multifieldqa_en,B-ReKV t=0.95 s=0.85 w8,0.3793,0.2321,90.766,64.38,36.82,0.0939,1.7002,2.9793,31.416
pair7,multifieldqa_en,ReKV-w16 r=0.3,0.3862,0.325,127.336,64.38,36.65,0.0876,1.7321,3.0041,31.436
pair7,multifieldqa_en,ReKV-w8 r=0.3,0.3724,0.325,127.336,64.38,37.42,0.0875,1.7707,3.0407,31.436
pair7,musique,B-ReKV t=0.95 s=0.75 w8,0.299,0.292,6.034,70.86,25.37,0.0459,1.0484,1.1673,28.583
pair7,musique,B-ReKV t=0.95 s=0.85 w8,0.3071,0.3255,6.723,70.86,25.68,0.0467,1.0758,1.1955,28.583
pair7,musique,ReKV-w16 r=0.3,0.297,0.3249,6.932,70.86,25.71,0.0393,1.0379,1.1503,28.583
pair7,musique,ReKV-w8 r=0.3,0.2889,0.3249,6.932,70.86,26.18,0.0414,1.095,1.2098,28.583
