pair,dataset,method,idx,id,score,budget,failure_bucket,run_dir
table1_pair6_llama32_abliterated_deepseek3b,twowikimqa,ReKV-w8 r=0.7,1,3924e4ac5039ce3fadda49604bfcb0f5238af81774616e53,0.0,0.710714,receiver_or_evidence_failure,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w8_r0.7_0625_1617
table1_pair6_llama32_abliterated_deepseek3b,twowikimqa,ReKV-w8 r=0.7,2,2c952e3e1ca394df975103b3135b3c38e0ee16e25d860258,0.0,0.710654,receiver_or_evidence_failure,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w8_r0.7_0625_1617
table1_pair6_llama32_abliterated_deepseek3b,twowikimqa,ReKV-w8 r=0.7,4,4b28d517ce1c1e3cfec9282ca7b212c1cb87c254781d7c86,0.0,0.710701,receiver_or_evidence_failure,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w8_r0.7_0625_1617
table1_pair6_llama32_abliterated_deepseek3b,twowikimqa,ReKV-w8 r=0.7,5,81cd47ec621f2228d8bb4ec351ffd6b23d23107e5b287ffb,0.0,0.710662,receiver_or_evidence_failure,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w8_r0.7_0625_1617
table1_pair6_llama32_abliterated_deepseek3b,twowikimqa,ReKV-w8 r=0.7,6,048e82b64b5651b74d452db7151c2110a718128dfd12a774,0.0,0.710688,receiver_or_evidence_failure,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w8_r0.7_0625_1617
table1_pair6_llama32_abliterated_deepseek3b,twowikimqa,ReKV-w8 r=0.7,7,c8fd8db4d295aef41a9434299a8eeffb9af5e2bbcde4f13a,0.0,0.710723,receiver_or_evidence_failure,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w8_r0.7_0625_1617
table1_pair6_llama32_abliterated_deepseek3b,twowikimqa,ReKV-w8 r=0.7,11,37022dee1597491021c2aa7522276a600eb0dd316f12cbb6,0.0,0.710714,receiver_or_evidence_failure,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w8_r0.7_0625_1617
table1_pair6_llama32_abliterated_deepseek3b,twowikimqa,ReKV-w8 r=0.7,12,90f7f51f0c27f041e730cf8893f79f3f40fcb0aab1820a4d,0.0,0.710631,receiver_or_evidence_failure,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w8_r0.7_0625_1617
table1_pair6_llama32_abliterated_deepseek3b,twowikimqa,ReKV-w8 r=0.7,13,ee29eb2556135405fa19a48b0abdff0aceddef7594169c33,0.0,0.710752,receiver_or_evidence_failure,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w8_r0.7_0625_1617
table1_pair6_llama32_abliterated_deepseek3b,twowikimqa,ReKV-w8 r=0.7,14,2a398d925d3607c94ffb2d0cf9fe2fe6da6e9970ce95578a,0.0,0.71067,receiver_or_evidence_failure,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w8_r0.7_0625_1617
table1_pair6_llama32_abliterated_deepseek3b,twowikimqa,ReKV-w8 r=0.7,15,8d3cf7916a2f8a2762de13a9520b6350e46464fbf7f63dd5,0.0,0.710741,receiver_or_evidence_failure,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w8_r0.7_0625_1617
table1_pair6_llama32_abliterated_deepseek3b,twowikimqa,ReKV-w8 r=0.7,16,5844352bd3fe5898756970abec3099ec694be6ad15c498db,0.0,0.710528,receiver_or_evidence_failure,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w8_r0.7_0625_1617
table1_pair6_llama32_abliterated_deepseek3b,twowikimqa,ReKV-w8 r=0.7,18,cc32d31bbeb3e0d8787e963cf0843ae6b22f33817eb5a587,0.0,0.710463,receiver_or_evidence_failure,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w8_r0.7_0625_1617
table1_pair6_llama32_abliterated_deepseek3b,twowikimqa,ReKV-w8 r=0.7,20,236eb4a8c2ba63d96ed3b6aec9ff7b00fa5e4df1173dd01c,0.0,0.710786,receiver_or_evidence_failure,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w8_r0.7_0625_1617
