pair,dataset,method,n,score_mean,failure_count,failure_rate,run_dir
table1_pair6_llama32_abliterated_deepseek3b,twowikimqa,ReKV-w8 r=0.7,200,0.42,116,0.58,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w8_r0.7_0625_1617
table1_pair6_llama32_abliterated_deepseek3b,twowikimqa,ReKV-w16 r=0.5,200,0.42,116,0.58,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w16_r0.5_0625_1626
table1_pair6_llama32_abliterated_deepseek3b,twowikimqa,ReKV-w16 r=0.3,200,0.41,118,0.59,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w16_r0.3_0625_1621
table1_pair6_llama32_abliterated_deepseek3b,twowikimqa,ReKV-w8 r=0.3,200,0.395,121,0.605,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w8_r0.3_0625_1609
table1_pair6_llama32_abliterated_deepseek3b,twowikimqa,ReKV-w8 r=0.5,200,0.425,115,0.575,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w8_r0.5_0625_1613
table1_pair6_llama32_abliterated_deepseek3b,twowikimqa,ReKV-w16 r=0.7,200,0.42,116,0.58,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w16_r0.7_0625_1630
table1_pair6_llama32_abliterated_deepseek3b,twowikimqa,B-ReKV t=0.95 s=0.75 w8,200,0.4,120,0.6,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/coverage/cov_t0.95_s0.75_w8_0625_1634
table1_pair6_llama32_abliterated_deepseek3b,twowikimqa,B-ReKV t=0.95 s=0.85 w8,200,0.395,121,0.605,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/coverage/cov_t0.95_s0.85_w8_0625_1639
table1_pair6_llama32_abliterated_deepseek3b,twowikimqa,B-ReKV t=0.95 s=0.90 w16,200,0.41,118,0.59,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/coverage/cov_t0.95_s0.90_w16_0625_1643
table1_pair6_llama32_abliterated_deepseek3b,multifieldqa_en,ReKV-w16 r=0.7,150,0.46,81,0.54,snapshots/table1_pair6_llama32_abliterated_deepseek3b/multifieldqa_en/mtc_receiver/recv_w16_r0.7_0625_1551
table1_pair6_llama32_abliterated_deepseek3b,multifieldqa_en,ReKV-w8 r=0.3,150,0.466667,80,0.533333,snapshots/table1_pair6_llama32_abliterated_deepseek3b/multifieldqa_en/mtc_receiver/recv_w8_r0.3_0625_1529
table1_pair6_llama32_abliterated_deepseek3b,multifieldqa_en,ReKV-w16 r=0.5,150,0.486667,77,0.513333,snapshots/table1_pair6_llama32_abliterated_deepseek3b/multifieldqa_en/mtc_receiver/recv_w16_r0.5_0625_1547
table1_pair6_llama32_abliterated_deepseek3b,multifieldqa_en,ReKV-w8 r=0.5,150,0.48,78,0.52,snapshots/table1_pair6_llama32_abliterated_deepseek3b/multifieldqa_en/mtc_receiver/recv_w8_r0.5_0625_1533
table1_pair6_llama32_abliterated_deepseek3b,multifieldqa_en,ReKV-w8 r=0.7,150,0.46,81,0.54,snapshots/table1_pair6_llama32_abliterated_deepseek3b/multifieldqa_en/mtc_receiver/recv_w8_r0.7_0625_1538
table1_pair6_llama32_abliterated_deepseek3b,multifieldqa_en,ReKV-w16 r=0.3,150,0.466667,80,0.533333,snapshots/table1_pair6_llama32_abliterated_deepseek3b/multifieldqa_en/mtc_receiver/recv_w16_r0.3_0625_1542
table1_pair6_llama32_abliterated_deepseek3b,multifieldqa_en,B-ReKV t=0.95 s=0.90 w16,150,0.493333,76,0.506667,snapshots/table1_pair6_llama32_abliterated_deepseek3b/multifieldqa_en/coverage/cov_t0.95_s0.90_w16_0625_1604
table1_pair6_llama32_abliterated_deepseek3b,multifieldqa_en,B-ReKV t=0.95 s=0.85 w8,150,0.486667,77,0.513333,snapshots/table1_pair6_llama32_abliterated_deepseek3b/multifieldqa_en/coverage/cov_t0.95_s0.85_w8_0625_1600
table1_pair6_llama32_abliterated_deepseek3b,multifieldqa_en,B-ReKV t=0.95 s=0.75 w8,150,0.466667,80,0.533333,snapshots/table1_pair6_llama32_abliterated_deepseek3b/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_0625_1556
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,ReKV-w16 r=0.3,500,0.668,166,0.332,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/mtc_receiver/recv_w16_r0.3_0625_1432
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,ReKV-w16 r=0.5,500,0.694,153,0.306,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/mtc_receiver/recv_w16_r0.5_0625_1435
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,ReKV-w8 r=0.5,500,0.702,149,0.298,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/mtc_receiver/recv_w8_r0.5_0625_1426
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,ReKV-w8 r=0.3,500,0.646,177,0.354,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/mtc_receiver/recv_w8_r0.3_0625_1422
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,ReKV-w16 r=0.7,500,0.716,142,0.284,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/mtc_receiver/recv_w16_r0.7_0625_1439
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,ReKV-w8 r=0.7,500,0.718,141,0.282,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/mtc_receiver/recv_w8_r0.7_0625_1429
table1_pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV t=0.98 s=0.75 w16,500,0.7,150,0.3,snapshots/table1_pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.98_s0.75_w16_0702_1649
