pair,pair_dir,task,brekv_score,actual_budget,matched_rekv,delta_rekv,matched_valuenorm,delta_valuenorm,matched_random,delta_random
#1,pair1_llama31_same,countries,0.615,0.2943774550000002,0.5933161524218278,0.02168384757817221,0.5737628856836291,0.04123711431637089,0.34405499074188073,0.27094500925811926
#1,pair1_llama31_same,hotpotqa,0.56,0.2754482219999999,0.5722259136460103,-0.012225913646010222,0.5233355481876062,0.03666445181239386,0.36081949061827967,0.19918050938172038
#1,pair1_llama31_same,multifieldqa_en,0.5,0.33536828,0.49333333333333335,0.006666666666666654,0.3285249442076216,0.17147505579237837,0.3996746094533513,0.10032539054664869
#1,pair1_llama31_same,musique,0.304,0.27454659399999964,0.3385146745597859,-0.03451467455978591,0.2806082517524743,0.023391748247525712,0.14460825175247424,0.15939174824752575
#1,pair1_llama31_same,qasper,0.31,0.35253970199999995,0.31119594999333905,-0.0011959499933390516,0.27479392499000854,0.035206075009991455,0.23039189998667806,0.07960810001332194
#1,pair1_llama31_same,tipsheets,0.712,0.278143484,0.5286542829995564,0.18334571700044355,0.6268482114578713,0.08515178854212868,0.601042139916186,0.11095786008381392
#1,pair1_llama31_same,tmath,0.35593849666666655,0.2648429900000001,0.34912731834733496,0.00681117831933159,0.3488898145590344,0.007048682107632154,0.34135486219627315,0.014583634470393403
#1,pair1_llama31_same,twowikimqa,0.43,0.3396907650000001,0.4173553726259562,0.012644627374043815,0.33419421578244524,0.09580578421755476,0.3081611568435109,0.12183884315648907
#2,pair2_llama32_same,countries,0.53,0.27457085,0.48975054325683876,0.04024945674316127,0.4692516297705162,0.06074837022948382,0.47825380279787116,0.05174619720212886
#2,pair2_llama32_same,hotpotqa,0.498,0.25603113600000005,0.501545996058198,-0.003545996058198053,0.4654839946059552,0.03251600539404481,0.3212159950208817,0.17678400497911828
#2,pair2_llama32_same,multifieldqa_en,0.5066666666666667,0.4014879733333332,0.5255154673609748,-0.018848800694308054,0.36069586423658856,0.14597080243007815,0.35127146388943453,0.15539520277723218
#2,pair2_llama32_same,musique,0.232,0.26483521600000004,0.2260177279108725,0.005982272089127522,0.20107977559892623,0.03092022440107378,0.11357534362120811,0.1184246563787919
