pair,task,method,method_family,window,ratio_or_scale,n,score_mean,budget_mean,query_budget_mean,run_dir
table6_pair6_llama32_abliterated_deepseek3b,hotpotqa_full,B-ReKV t=0.95 s=0.75 w8,B-ReKV,8,0.75,7405,0.678596,0.270899,0.236573,snapshots/table6_pair6_llama32_abliterated_deepseek3b/hotpotqa_full/coverage/cov_t0.95_s0.75_w8_0708_2141
table6_pair6_llama32_abliterated_deepseek3b,hotpotqa_full,B-ReKV t=0.95 s=0.85 w8,B-ReKV,8,0.85,7405,0.694936,0.299588,0.26787,snapshots/table6_pair6_llama32_abliterated_deepseek3b/hotpotqa_full/coverage/cov_t0.95_s0.85_w8_0708_2208
table6_pair6_llama32_abliterated_deepseek3b,hotpotqa_full,B-ReKV t=0.95 s=0.90 w16,B-ReKV,16,0.90,7405,0.715327,0.368502,0.342347,snapshots/table6_pair6_llama32_abliterated_deepseek3b/hotpotqa_full/coverage/cov_t0.95_s0.90_w16_0708_2236
table6_pair6_llama32_abliterated_deepseek3b,hotpotqa_full,ReKV,ReKV,16,0.3,7405,0.69264,0.325025,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/hotpotqa_full/mtc_receiver/recv_w16_r0.3_0708_2022
table6_pair6_llama32_abliterated_deepseek3b,hotpotqa_full,ReKV,ReKV,16,0.5,7405,0.743822,0.517824,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/hotpotqa_full/mtc_receiver/recv_w16_r0.5_0708_2048
table6_pair6_llama32_abliterated_deepseek3b,hotpotqa_full,ReKV,ReKV,16,0.7,7405,0.757866,0.710534,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/hotpotqa_full/mtc_receiver/recv_w16_r0.7_0708_2114
table6_pair6_llama32_abliterated_deepseek3b,hotpotqa_full,ReKV,ReKV,8,0.3,7405,0.700743,0.325025,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/hotpotqa_full/mtc_receiver/recv_w8_r0.3_0708_1900
table6_pair6_llama32_abliterated_deepseek3b,hotpotqa_full,ReKV,ReKV,8,0.5,7405,0.743417,0.517824,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/hotpotqa_full/mtc_receiver/recv_w8_r0.5_0708_1928
table6_pair6_llama32_abliterated_deepseek3b,hotpotqa_full,ReKV,ReKV,8,0.7,7405,0.757731,0.710534,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/hotpotqa_full/mtc_receiver/recv_w8_r0.7_0708_1954
table6_pair6_llama32_abliterated_deepseek3b,musique_full,B-ReKV t=0.95 s=0.75 w8,B-ReKV,8,0.75,2417,0.409599,0.250074,0.222021,snapshots/table6_pair6_llama32_abliterated_deepseek3b/musique_full/coverage/cov_t0.95_s0.75_w8_0709_0400
table6_pair6_llama32_abliterated_deepseek3b,musique_full,B-ReKV t=0.95 s=0.85 w8,B-ReKV,8,0.85,2417,0.407116,0.278337,0.251394,snapshots/table6_pair6_llama32_abliterated_deepseek3b/musique_full/coverage/cov_t0.95_s0.85_w8_0709_0410
table6_pair6_llama32_abliterated_deepseek3b,musique_full,B-ReKV t=0.95 s=0.90 w16,B-ReKV,16,0.90,2417,0.408771,0.358279,0.334434,snapshots/table6_pair6_llama32_abliterated_deepseek3b/musique_full/coverage/cov_t0.95_s0.90_w16_0709_0421
table6_pair6_llama32_abliterated_deepseek3b,musique_full,ReKV,ReKV,16,0.3,2417,0.410012,0.324997,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/musique_full/mtc_receiver/recv_w16_r0.3_0709_0328
table6_pair6_llama32_abliterated_deepseek3b,musique_full,ReKV,ReKV,16,0.5,2417,0.424079,0.517844,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/musique_full/mtc_receiver/recv_w16_r0.5_0709_0339
table6_pair6_llama32_abliterated_deepseek3b,musique_full,ReKV,ReKV,16,0.7,2417,0.434423,0.710675,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/musique_full/mtc_receiver/recv_w16_r0.7_0709_0349
table6_pair6_llama32_abliterated_deepseek3b,musique_full,ReKV,ReKV,8,0.3,2417,0.419115,0.324997,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/musique_full/mtc_receiver/recv_w8_r0.3_0709_0256
table6_pair6_llama32_abliterated_deepseek3b,musique_full,ReKV,ReKV,8,0.5,2417,0.425321,0.517844,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/musique_full/mtc_receiver/recv_w8_r0.5_0709_0307
table6_pair6_llama32_abliterated_deepseek3b,musique_full,ReKV,ReKV,8,0.7,2417,0.43194,0.710675,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/musique_full/mtc_receiver/recv_w8_r0.7_0709_0318
table6_pair6_llama32_abliterated_deepseek3b,qasper_full,B-ReKV t=0.95 s=0.75 w8,B-ReKV,8,0.75,1726,0.319235,0.252175,0.224478,snapshots/table6_pair6_llama32_abliterated_deepseek3b/qasper_full/coverage/cov_t0.95_s0.75_w8_0709_0139
table6_pair6_llama32_abliterated_deepseek3b,qasper_full,B-ReKV t=0.95 s=0.85 w8,B-ReKV,8,0.85,1726,0.322132,0.280995,0.254366,snapshots/table6_pair6_llama32_abliterated_deepseek3b/qasper_full/coverage/cov_t0.95_s0.85_w8_0709_0205
table6_pair6_llama32_abliterated_deepseek3b,qasper_full,B-ReKV t=0.95 s=0.90 w16,B-ReKV,16,0.90,1726,0.338355,0.342906,0.318567,snapshots/table6_pair6_llama32_abliterated_deepseek3b/qasper_full/coverage/cov_t0.95_s0.90_w16_0709_0231
table6_pair6_llama32_abliterated_deepseek3b,qasper_full,ReKV,ReKV,16,0.3,1726,0.334878,0.325001,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/qasper_full/mtc_receiver/recv_w16_r0.3_0709_0021
table6_pair6_llama32_abliterated_deepseek3b,qasper_full,ReKV,ReKV,16,0.5,1726,0.345886,0.517873,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/qasper_full/mtc_receiver/recv_w16_r0.5_0709_0047
table6_pair6_llama32_abliterated_deepseek3b,qasper_full,ReKV,ReKV,16,0.7,1726,0.338934,0.710705,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/qasper_full/mtc_receiver/recv_w16_r0.7_0709_0113
table6_pair6_llama32_abliterated_deepseek3b,qasper_full,ReKV,ReKV,8,0.3,1726,0.327346,0.325001,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/qasper_full/mtc_receiver/recv_w8_r0.3_0708_2305
table6_pair6_llama32_abliterated_deepseek3b,qasper_full,ReKV,ReKV,8,0.5,1726,0.336037,0.517873,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/qasper_full/mtc_receiver/recv_w8_r0.5_0708_2330
table6_pair6_llama32_abliterated_deepseek3b,qasper_full,ReKV,ReKV,8,0.7,1726,0.340672,0.710705,,snapshots/table6_pair6_llama32_abliterated_deepseek3b/qasper_full/mtc_receiver/recv_w8_r0.7_0708_2355
table6_pair6_llama32_abliterated_deepseek3b,repobench,B-ReKV t=0.95 s=0.75 w8,B-ReKV,8,0.75,1000,0.33993,0.106932,0.072698,snapshots/table6_pair6_llama32_abliterated_deepseek3b/repobench/coverage/cov_t0.95_s0.75_w8_0709_0839
