task,method,status,n,score_mean,path
"countries","ReKV normal","done","200","0.6","snapshots/mechanism/pair1_llama31_same/positional_coherence/countries/mtc_receiver/recv_w8_r0.3_normal_0703_2229"
"countries","ReKV-S shiftback","done","200","0.6","snapshots/mechanism/pair1_llama31_same/positional_coherence/countries/mtc_receiver_shift/recv_w8_r0.3_shiftback_0703_2230"
"countries","B-ReKV normal","done","200","0.615","snapshots/mechanism/pair1_llama31_same/positional_coherence/countries/coverage/cov_t0.95_s0.75_w8_normal_0703_2231"
"countries","B-ReKV-S shiftback","missing","","",""
"tipsheets","ReKV normal","done","500","0.868","snapshots/mechanism/pair1_llama31_same/positional_coherence/tipsheets/mtc_receiver/recv_w8_r0.3_normal_0705_1217"
"tipsheets","ReKV-S shiftback","done","500","0.862","snapshots/mechanism/pair1_llama31_same/positional_coherence/tipsheets/mtc_receiver_shift/recv_w8_r0.3_shiftback_0705_1221"
"tipsheets","B-ReKV normal","done","500","0.878","snapshots/mechanism/pair1_llama31_same/positional_coherence/tipsheets/coverage/cov_t0.95_s0.75_w8_normal_0705_1224"
"tipsheets","B-ReKV-S shiftback","missing","","",""
"hotpotqa","ReKV normal","done","500","0.696","snapshots/mechanism/pair1_llama31_same/positional_coherence/hotpotqa/mtc_receiver/recv_w8_r0.3_normal_0705_1227"
"hotpotqa","ReKV-S shiftback","done","500","0.612","snapshots/mechanism/pair1_llama31_same/positional_coherence/hotpotqa/mtc_receiver_shift/recv_w8_r0.3_shiftback_0705_1231"
"hotpotqa","B-ReKV normal","done","500","0.708","snapshots/mechanism/pair1_llama31_same/positional_coherence/hotpotqa/coverage/cov_t0.95_s0.75_w8_normal_0705_1236"
"hotpotqa","B-ReKV-S shiftback","missing","","",""
"qasper","ReKV normal","done","500","0.344","snapshots/mechanism/pair1_llama31_same/positional_coherence/qasper/mtc_receiver/recv_w8_r0.3_normal_0705_1240"
"qasper","ReKV-S shiftback","done","500","0.29","snapshots/mechanism/pair1_llama31_same/positional_coherence/qasper/mtc_receiver_shift/recv_w8_r0.3_shiftback_0705_1258"
"qasper","B-ReKV normal","done","500","0.332","snapshots/mechanism/pair1_llama31_same/positional_coherence/qasper/coverage/cov_t0.95_s0.75_w8_normal_0705_1316"
"qasper","B-ReKV-S shiftback","missing","","",""
"musique","ReKV normal","done","500","0.48","snapshots/mechanism/pair1_llama31_same/positional_coherence/musique/mtc_receiver/recv_w8_r0.3_normal_0705_1333"
"musique","ReKV-S shiftback","done","500","0.344","snapshots/mechanism/pair1_llama31_same/positional_coherence/musique/mtc_receiver_shift/recv_w8_r0.3_shiftback_0705_1339"
"musique","B-ReKV normal","done","500","0.482","snapshots/mechanism/pair1_llama31_same/positional_coherence/musique/coverage/cov_t0.95_s0.75_w8_normal_0705_1345"
"musique","B-ReKV-S shiftback","missing","","",""
"multifieldqa_en","ReKV normal","done","150","0.506667","snapshots/mechanism/pair1_llama31_same/positional_coherence/multifieldqa_en/mtc_receiver/recv_w8_r0.3_normal_0705_1350"
"multifieldqa_en","ReKV-S shiftback","done","150","0.426667","snapshots/mechanism/pair1_llama31_same/positional_coherence/multifieldqa_en/mtc_receiver_shift/recv_w8_r0.3_shiftback_0705_1357"
"multifieldqa_en","B-ReKV normal","done","150","0.52","snapshots/mechanism/pair1_llama31_same/positional_coherence/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_normal_0705_1403"
"multifieldqa_en","B-ReKV-S shiftback","missing","","",""
"twowikimqa","ReKV normal","done","200","0.405","snapshots/mechanism/pair1_llama31_same/positional_coherence/twowikimqa/mtc_receiver/recv_w8_r0.3_normal_0705_1410"
"twowikimqa","ReKV-S shiftback","done","200","0.26","snapshots/mechanism/pair1_llama31_same/positional_coherence/twowikimqa/mtc_receiver_shift/recv_w8_r0.3_shiftback_0705_1416"
"twowikimqa","B-ReKV normal","done","200","0.41","snapshots/mechanism/pair1_llama31_same/positional_coherence/twowikimqa/coverage/cov_t0.95_s0.75_w8_normal_0705_1423"
"twowikimqa","B-ReKV-S shiftback","missing","","",""
"tmath","ReKV normal","done","300","0.340827","snapshots/mechanism/pair1_llama31_same/positional_coherence/tmath/mtc_receiver/recv_w8_r0.3_normal_0705_1430"
"tmath","ReKV-S shiftback","done","300","0.349387","snapshots/mechanism/pair1_llama31_same/positional_coherence/tmath/mtc_receiver_shift/recv_w8_r0.3_shiftback_0705_1525"
"tmath","B-ReKV normal","done","300","0.348095","snapshots/mechanism/pair1_llama31_same/positional_coherence/tmath/coverage/cov_t0.95_s0.75_w8_normal_0705_1630"
"tmath","B-ReKV-S shiftback","missing","","",""
