pair,pair_label,task,task_label,method,score,payload_tokens,payload_bytes,payload_mb,t_total,peak_mem_gb,compute_tokens_proxy,run_dir,method_group
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,HotpotQA,NLD,0.361616,17.359596,63.783838,6.1e-05,1.550486,29.958664,392.139394,snapshots/nld_cost_profile/pair1_llama31_same/hotpotqa/nld/nld_cost_0709_1756,NLD
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,HotpotQA,ReKV-w8 r=0.3,0.694949,1448.529293,5933175.983838,5.6583,0.381009,30.043952,222.064647,snapshots/cost_profile/pair1_llama31_same_all8_full/hotpotqa/mtc_receiver/recv_w8_r0.3_cost_0630_1829,ReKV-w8 r=0.3
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,HotpotQA,B-ReKV t=0.95 s=0.85 w8,0.715152,1530.442424,6268692.169697,5.9783,0.480384,30.043952,222.476768,snapshots/cost_profile/pair1_llama31_same_all8_full/hotpotqa/coverage/cov_t0.95_s0.85_w8_cost_0630_1910,B-ReKV
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,musique,MuSiQue,NLD,0.149495,49.357576,182.963636,0.000174,2.93364,30.012374,717.216161,snapshots/nld_cost_profile/pair1_llama31_same/musique/nld/nld_cost_0709_1810,NLD
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,musique,MuSiQue,ReKV-w8 r=0.3,0.478788,3898.054545,15966431.418182,15.2268,0.593774,30.1694,464.230303,snapshots/cost_profile/pair1_llama31_same_all8_full/musique/mtc_receiver/recv_w8_r0.3_cost_0630_2232,ReKV-w8 r=0.3
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,musique,MuSiQue,B-ReKV t=0.95 s=0.85 w8,0.488889,3681.59798,15079825.325253,14.3812,0.61238,30.169077,463.717172,snapshots/cost_profile/pair1_llama31_same_all8_full/musique/coverage/cov_t0.95_s0.85_w8_cost_0630_2325,B-ReKV
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,multifieldqa_en,MultiFieldQA-en,NLD,0.048276,17.296552,69.606897,6.6e-05,3.44058,31.541676,7210.193104,snapshots/nld_cost_profile/pair1_llama31_same/multifieldqa_en/nld/nld_cost_0709_1835,NLD
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,multifieldqa_en,MultiFieldQA-en,ReKV-w8 r=0.3,0.666667,107485.333333,440259925.333333,419.8646,3.132024,35.559693,10515.0,snapshots/cost_profile/pair1_llama31_same/multifieldqa_en/mtc_receiver/recv_w8_r0.3_cost_0630_1646,ReKV-w8 r=0.3
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,multifieldqa_en,MultiFieldQA-en,B-ReKV t=0.95 s=0.75 w8,0.666667,55491.0,227291136.0,216.7617,2.674556,35.351556,10518.333333,snapshots/cost_profile/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_cost_0630_1648,B-ReKV
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,hotpotqa,HotpotQA,NLD,0.292929,12.840404,48.218182,4.6e-05,0.801204,11.998647,287.89293,snapshots/nld_cost_profile/pair6_llama32_abliterated_deepseek3b/hotpotqa/nld/nld_cost_0709_1844,NLD
