pair,pair_label,task,task_label,method,score,payload_tokens,payload_bytes,payload_mb,t_total,peak_mem_gb,compute_tokens_proxy,run_dir
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,HotpotQA,B-ReKV t=0.95 s=0.75 w8,0.707071,1368.090909,5603700.363636,5.3441,0.463914,30.043951,222.220202,snapshots/cost_profile/pair1_llama31_same_all8_full/hotpotqa/coverage/cov_t0.95_s0.75_w8_cost_0630_1905
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,HotpotQA,B-ReKV t=0.95 s=0.85 w8,0.715152,1530.442424,6268692.169697,5.9783,0.480384,30.043952,222.476768,snapshots/cost_profile/pair1_llama31_same_all8_full/hotpotqa/coverage/cov_t0.95_s0.85_w8_cost_0630_1910
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,HotpotQA,NLD,0.361616,17.359596,63.783838,6.1e-05,1.550486,29.958664,392.139394,snapshots/nld_cost_profile/pair1_llama31_same/hotpotqa/nld/nld_cost_0709_1756
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,HotpotQA,ReKV-w16 r=0.3,0.69899,1448.529293,5933175.983838,5.6583,0.494088,30.043952,222.650506,snapshots/cost_profile/pair1_llama31_same_all8_full/hotpotqa/mtc_receiver/recv_w16_r0.3_cost_0630_1833
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,HotpotQA,ReKV-w8 r=0.3,0.694949,1448.529293,5933175.983838,5.6583,0.381009,30.043952,222.064647,snapshots/cost_profile/pair1_llama31_same_all8_full/hotpotqa/mtc_receiver/recv_w8_r0.3_cost_0630_1829
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,multifieldqa_en,MultiFieldQA-en,B-ReKV t=0.95 s=0.75 w8,0.666667,55491.0,227291136.0,216.7617,2.674556,35.351556,10518.333333,snapshots/cost_profile/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_cost_0630_1648
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,multifieldqa_en,MultiFieldQA-en,B-ReKV t=0.95 s=0.75 w8,0.517241,43720.075862,179077430.731034,170.7815,2.421604,33.596928,7025.717242,snapshots/cost_profile/pair1_llama31_same_all8_full/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_cost_0701_0033
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,multifieldqa_en,MultiFieldQA-en,B-ReKV t=0.95 s=0.85 w8,0.666667,61449.0,251695104.0,240.0352,3.201586,35.36892,10518.333333,snapshots/cost_profile/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.95_s0.85_w8_cost_0630_1649
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,multifieldqa_en,MultiFieldQA-en,B-ReKV t=0.95 s=0.85 w8,0.524138,48580.062069,198983934.234483,189.7659,2.374571,33.618336,7025.951724,snapshots/cost_profile/pair1_llama31_same_all8_full/multifieldqa_en/coverage/cov_t0.95_s0.85_w8_cost_0701_0040
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,multifieldqa_en,MultiFieldQA-en,NLD,0.048276,17.296552,69.606897,6.6e-05,3.44058,31.541676,7210.193104,snapshots/nld_cost_profile/pair1_llama31_same/multifieldqa_en/nld/nld_cost_0709_1835
