pair,pair_label,task,task_label,method,score,payload_tokens,total_communication_bytes,total_communication_mb,selected_kv_bytes,selected_kv_mb,t_total,peak_mem_gb,compute_tokens_proxy,run_dir,method_group,protocol_version
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,HotpotQA,NLD,0.361616,17.359596,63.783838,6.1e-05,,,1.550486,29.958664,392.139394,snapshots/nld_cost_profile/pair1_llama31_same/hotpotqa/nld/nld_cost_0709_1756,NLD,
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,HotpotQA,ReKV-w8 r=0.3,0.72,1460.4,8085960.0,7.7114,5981798.4,5.7047,0.161696,30.050216,223.12,snapshots/query_sketch_cost_v1/pair1_llama31_same/hotpotqa/rekv/rekv_bf16_w8_r0.30_0714_0544,ReKV-w8 r=0.3,query_sketch_bf16_v1
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,HotpotQA,B-ReKV t=0.95 s=0.75 w8,0.62,1235.66,7164526.0,6.8326,5061263.36,4.8268,0.203061,30.049045,225.22,snapshots/query_sketch_cost_v1/pair1_llama31_same/hotpotqa/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0545,B-ReKV,query_sketch_bf16_v1
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,musique,MuSiQue,NLD,0.149495,49.357576,182.963636,0.000174,,,2.93364,30.012374,717.216161,snapshots/nld_cost_profile/pair1_llama31_same/musique/nld/nld_cost_0709_1810,NLD,
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,musique,MuSiQue,ReKV-w8 r=0.3,0.44,3438.9,16197810.0,15.4474,14085734.4,13.4332,0.217922,30.13878,419.9,snapshots/query_sketch_cost_v1/pair1_llama31_same/musique/rekv/rekv_bf16_w8_r0.30_0714_0546,ReKV-w8 r=0.3,query_sketch_bf16_v1
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,musique,MuSiQue,B-ReKV t=0.95 s=0.75 w8,0.42,2874.48,13883688.0,13.2405,11773870.08,11.2284,0.242877,30.134113,420.92,snapshots/query_sketch_cost_v1/pair1_llama31_same/musique/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0547,B-ReKV,query_sketch_bf16_v1
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,multifieldqa_en,MultiFieldQA-en,NLD,0.048276,17.296552,69.606897,6.6e-05,,,3.44058,31.541676,7210.193104,snapshots/nld_cost_profile/pair1_llama31_same/multifieldqa_en/nld/nld_cost_0709_1835,NLD,
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,multifieldqa_en,MultiFieldQA-en,ReKV-w8 r=0.3,0.48,74178.54,306230334.0,292.044,303835299.84,289.7599,0.750488,33.266061,7287.72,snapshots/query_sketch_cost_v1/pair1_llama31_same/multifieldqa_en/rekv/rekv_bf16_w8_r0.30_0714_0549,ReKV-w8 r=0.3,query_sketch_bf16_v1
pair1_llama31_same,S: Llama-3.1-8B; R: Llama-3.1-8B,multifieldqa_en,MultiFieldQA-en,B-ReKV t=0.95 s=0.75 w8,0.44,79025.24,326101804.0,310.9949,323687383.04,308.6923,0.75689,33.306294,7287.42,snapshots/query_sketch_cost_v1/pair1_llama31_same/multifieldqa_en/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0550,B-ReKV,query_sketch_bf16_v1
pair6_llama32_abliterated_deepseek3b,S: Llama-3.2-3B-Abliterated; R: DeepSeek-R1-3B,hotpotqa,HotpotQA,NLD,0.292929,12.840404,48.218182,4.6e-05,,,0.801204,11.998647,287.89293,snapshots/nld_cost_profile/pair6_llama32_abliterated_deepseek3b/hotpotqa/nld/nld_cost_0709_1844,NLD,
