dataset,method,n,score_mean,score_max,nonzero_count,nonzero_rate,avg_budget,run_dir
countries,B-ReKV t=0.95 s=0.75 w8,200,0.0,0.0,0,0.0,0.370688,snapshots/table8_pair9_supernova_deepseek_llama8b/countries/coverage/cov_t0.95_s0.75_w8_0702_2230
countries,B-ReKV t=0.95 s=0.85 w8,200,0.0,0.0,0,0.0,0.382467,snapshots/table8_pair9_supernova_deepseek_llama8b/countries/coverage/cov_t0.95_s0.85_w8_0702_2231
countries,B-ReKV t=0.95 s=0.90 w16,200,0.0,0.0,0,0.0,0.394257,snapshots/table8_pair9_supernova_deepseek_llama8b/countries/coverage/cov_t0.95_s0.90_w16_0702_2232
countries,ReKV-w16 r=0.3,200,0.0,0.0,0,0.0,0.360612,snapshots/table8_pair9_supernova_deepseek_llama8b/countries/mtc_receiver/recv_w16_r0.3_0702_2227
countries,ReKV-w16 r=0.5,200,0.0,0.0,0,0.0,0.514798,snapshots/table8_pair9_supernova_deepseek_llama8b/countries/mtc_receiver/recv_w16_r0.5_0702_2228
countries,ReKV-w16 r=0.7,200,0.0,0.0,0,0.0,0.706131,snapshots/table8_pair9_supernova_deepseek_llama8b/countries/mtc_receiver/recv_w16_r0.7_0702_2229
countries,ReKV-w8 r=0.3,200,0.0,0.0,0,0.0,0.360612,snapshots/table8_pair9_supernova_deepseek_llama8b/countries/mtc_receiver/recv_w8_r0.3_0702_2222
countries,ReKV-w8 r=0.5,200,0.0,0.0,0,0.0,0.514798,snapshots/table8_pair9_supernova_deepseek_llama8b/countries/mtc_receiver/recv_w8_r0.5_0702_2225
countries,ReKV-w8 r=0.7,200,0.0,0.0,0,0.0,0.706131,snapshots/table8_pair9_supernova_deepseek_llama8b/countries/mtc_receiver/recv_w8_r0.7_0702_2226
hotpotqa,B-ReKV t=0.95 s=0.75 w8,500,0.0,0.0,0,0.0,0.269761,snapshots/table8_pair9_supernova_deepseek_llama8b/hotpotqa/coverage/cov_t0.95_s0.75_w8_0702_2337
hotpotqa,B-ReKV t=0.95 s=0.85 w8,500,0.0,0.0,0,0.0,0.298796,snapshots/table8_pair9_supernova_deepseek_llama8b/hotpotqa/coverage/cov_t0.95_s0.85_w8_0702_2345
hotpotqa,B-ReKV t=0.95 s=0.90 w16,500,0.0,0.0,0,0.0,0.360622,snapshots/table8_pair9_supernova_deepseek_llama8b/hotpotqa/coverage/cov_t0.95_s0.90_w16_0702_2352
hotpotqa,ReKV-w16 r=0.3,500,0.0,0.0,0,0.0,0.321798,snapshots/table8_pair9_supernova_deepseek_llama8b/hotpotqa/mtc_receiver/recv_w16_r0.3_0702_2315
hotpotqa,ReKV-w16 r=0.5,500,0.0,0.0,0,0.0,0.515417,snapshots/table8_pair9_supernova_deepseek_llama8b/hotpotqa/mtc_receiver/recv_w16_r0.5_0702_2322
hotpotqa,ReKV-w16 r=0.7,500,0.0,0.0,0,0.0,0.709121,snapshots/table8_pair9_supernova_deepseek_llama8b/hotpotqa/mtc_receiver/recv_w16_r0.7_0702_2330
hotpotqa,ReKV-w8 r=0.3,500,0.0,0.0,0,0.0,0.321798,snapshots/table8_pair9_supernova_deepseek_llama8b/hotpotqa/mtc_receiver/recv_w8_r0.3_0702_2253
hotpotqa,ReKV-w8 r=0.5,500,0.0,0.0,0,0.0,0.515417,snapshots/table8_pair9_supernova_deepseek_llama8b/hotpotqa/mtc_receiver/recv_w8_r0.5_0702_2300
hotpotqa,ReKV-w8 r=0.7,500,0.0,0.0,0,0.0,0.709121,snapshots/table8_pair9_supernova_deepseek_llama8b/hotpotqa/mtc_receiver/recv_w8_r0.7_0702_2308
multifieldqa_en,B-ReKV t=0.95 s=0.75 w8,150,0.02,1.0,3,0.02,0.181758,snapshots/table8_pair9_supernova_deepseek_llama8b/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_0703_0135
multifieldqa_en,B-ReKV t=0.95 s=0.85 w8,150,0.013333,1.0,2,0.013333,0.201277,snapshots/table8_pair9_supernova_deepseek_llama8b/multifieldqa_en/coverage/cov_t0.95_s0.85_w8_0703_0139
multifieldqa_en,B-ReKV t=0.95 s=0.90 w16,150,0.013333,1.0,2,0.013333,0.247153,snapshots/table8_pair9_supernova_deepseek_llama8b/multifieldqa_en/coverage/cov_t0.95_s0.90_w16_0703_0144
multifieldqa_en,ReKV-w16 r=0.3,150,0.013333,1.0,2,0.013333,0.321882,snapshots/table8_pair9_supernova_deepseek_llama8b/multifieldqa_en/mtc_receiver/recv_w16_r0.3_0703_0121
multifieldqa_en,ReKV-w16 r=0.5,150,0.013333,1.0,2,0.013333,0.515637,snapshots/table8_pair9_supernova_deepseek_llama8b/multifieldqa_en/mtc_receiver/recv_w16_r0.5_0703_0126
multifieldqa_en,ReKV-w16 r=0.7,150,0.013333,1.0,2,0.013333,0.709378,snapshots/table8_pair9_supernova_deepseek_llama8b/multifieldqa_en/mtc_receiver/recv_w16_r0.7_0703_0130
multifieldqa_en,ReKV-w8 r=0.3,150,0.02,1.0,3,0.02,0.321882,snapshots/table8_pair9_supernova_deepseek_llama8b/multifieldqa_en/mtc_receiver/recv_w8_r0.3_0703_0108
multifieldqa_en,ReKV-w8 r=0.5,150,0.013333,1.0,2,0.013333,0.515637,snapshots/table8_pair9_supernova_deepseek_llama8b/multifieldqa_en/mtc_receiver/recv_w8_r0.5_0703_0112
multifieldqa_en,ReKV-w8 r=0.7,150,0.013333,1.0,2,0.013333,0.709378,snapshots/table8_pair9_supernova_deepseek_llama8b/multifieldqa_en/mtc_receiver/recv_w8_r0.7_0703_0117
musique,B-ReKV t=0.95 s=0.75 w8,500,0.0,0.0,0,0.0,0.231382,snapshots/table8_pair9_supernova_deepseek_llama8b/musique/coverage/cov_t0.95_s0.75_w8_0703_0045
musique,B-ReKV t=0.95 s=0.85 w8,500,0.0,0.0,0,0.0,0.25761,snapshots/table8_pair9_supernova_deepseek_llama8b/musique/coverage/cov_t0.95_s0.85_w8_0703_0052
musique,B-ReKV t=0.95 s=0.90 w16,500,0.0,0.0,0,0.0,0.334486,snapshots/table8_pair9_supernova_deepseek_llama8b/musique/coverage/cov_t0.95_s0.90_w16_0703_0100
musique,ReKV-w16 r=0.3,500,0.0,0.0,0,0.0,0.321853,snapshots/table8_pair9_supernova_deepseek_llama8b/musique/mtc_receiver/recv_w16_r0.3_0703_0022
musique,ReKV-w16 r=0.5,500,0.0,0.0,0,0.0,0.515568,snapshots/table8_pair9_supernova_deepseek_llama8b/musique/mtc_receiver/recv_w16_r0.5_0703_0030
musique,ReKV-w16 r=0.7,500,0.0,0.0,0,0.0,0.709383,snapshots/table8_pair9_supernova_deepseek_llama8b/musique/mtc_receiver/recv_w16_r0.7_0703_0037
musique,ReKV-w8 r=0.3,500,0.0,0.0,0,0.0,0.321853,snapshots/table8_pair9_supernova_deepseek_llama8b/musique/mtc_receiver/recv_w8_r0.3_0703_0000
musique,ReKV-w8 r=0.5,500,0.0,0.0,0,0.0,0.515568,snapshots/table8_pair9_supernova_deepseek_llama8b/musique/mtc_receiver/recv_w8_r0.5_0703_0007
musique,ReKV-w8 r=0.7,500,0.0,0.0,0,0.0,0.709383,snapshots/table8_pair9_supernova_deepseek_llama8b/musique/mtc_receiver/recv_w8_r0.7_0703_0015
qasper,B-ReKV t=0.95 s=0.75 w8,500,0.0,0.0,0,0.0,0.200302,snapshots/table8_pair9_supernova_deepseek_llama8b/qasper/coverage/cov_t0.95_s0.75_w8_0703_0444
qasper,B-ReKV t=0.95 s=0.85 w8,500,0.0,0.0,0,0.0,0.222455,snapshots/table8_pair9_supernova_deepseek_llama8b/qasper/coverage/cov_t0.95_s0.85_w8_0703_0505
qasper,B-ReKV t=0.95 s=0.90 w16,500,0.0,0.0,0,0.0,0.242909,snapshots/table8_pair9_supernova_deepseek_llama8b/qasper/coverage/cov_t0.95_s0.90_w16_0703_0526
qasper,ReKV-w16 r=0.3,500,0.0,0.0,0,0.0,0.321859,snapshots/table8_pair9_supernova_deepseek_llama8b/qasper/mtc_receiver/recv_w16_r0.3_0703_0331
qasper,ReKV-w16 r=0.5,500,0.002,1.0,1,0.002,0.515639,snapshots/table8_pair9_supernova_deepseek_llama8b/qasper/mtc_receiver/recv_w16_r0.5_0703_0356
qasper,ReKV-w16 r=0.7,500,0.002,1.0,1,0.002,0.709375,snapshots/table8_pair9_supernova_deepseek_llama8b/qasper/mtc_receiver/recv_w16_r0.7_0703_0421
qasper,ReKV-w8 r=0.3,500,0.002,1.0,1,0.002,0.321859,snapshots/table8_pair9_supernova_deepseek_llama8b/qasper/mtc_receiver/recv_w8_r0.3_0703_0224
