pair,pair_label,task,method,config,n,score,budget,protocol_version,source_rank,run_dir
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,countries,B-ReKV,t0.95-s0.75-w8,200,0.545,0.2749817999999998,query_sketch_bf16_v1,2,snapshots/table8_pair2_query_sketch_llama32_same/countries/coverage_main/cov_t0.95_s0.75_w8_0713_1206
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,countries,ReKV,w16-r0.3,200,0.515,0.32664266999999975,query_sketch_bf16_v1,2,snapshots/table8_pair2_query_sketch_llama32_same/countries/mtc_receiver/recv_w16_r0.3_0713_1203
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,countries,ReKV,w16-r0.5,200,0.57,0.5182822150000007,query_sketch_bf16_v1,2,snapshots/table8_pair2_query_sketch_llama32_same/countries/mtc_receiver/recv_w16_r0.5_0713_1204
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,countries,ReKV,w16-r0.7,200,0.57,0.711381369999999,query_sketch_bf16_v1,2,snapshots/table8_pair2_query_sketch_llama32_same/countries/mtc_receiver/recv_w16_r0.7_0713_1205
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,countries,ReKV,w8-r0.3,200,0.515,0.32664266999999975,query_sketch_bf16_v1,2,snapshots/table8_pair2_query_sketch_llama32_same/countries/mtc_receiver/recv_w8_r0.3_0713_1157
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,countries,ReKV,w8-r0.5,200,0.565,0.5182822150000007,query_sketch_bf16_v1,2,snapshots/table8_pair2_query_sketch_llama32_same/countries/mtc_receiver/recv_w8_r0.5_0713_1201
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,countries,ReKV,w8-r0.7,200,0.57,0.711381369999999,query_sketch_bf16_v1,2,snapshots/table8_pair2_query_sketch_llama32_same/countries/mtc_receiver/recv_w8_r0.7_0713_1202
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,hotpotqa,B-ReKV,t0.95-s0.75-w8,500,0.508,0.2562363639999999,query_sketch_bf16_v1,2,snapshots/table8_pair2_query_sketch_llama32_same/hotpotqa/coverage_main/cov_t0.95_s0.75_w8_0713_1237
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,hotpotqa,ReKV,w16-r0.3,500,0.578,0.32510808,query_sketch_bf16_v1,2,snapshots/table8_pair2_query_sketch_llama32_same/hotpotqa/mtc_receiver/recv_w16_r0.3_0713_1230
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,hotpotqa,ReKV,w16-r0.5,500,0.664,0.5180235159999989,query_sketch_bf16_v1,2,snapshots/table8_pair2_query_sketch_llama32_same/hotpotqa/mtc_receiver/recv_w16_r0.5_0713_1232
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,hotpotqa,ReKV,w16-r0.7,500,0.704,0.7107226739999981,query_sketch_bf16_v1,2,snapshots/table8_pair2_query_sketch_llama32_same/hotpotqa/mtc_receiver/recv_w16_r0.7_0713_1234
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,hotpotqa,ReKV,w8-r0.3,500,0.584,0.32510808,query_sketch_bf16_v1,2,snapshots/table8_pair2_query_sketch_llama32_same/hotpotqa/mtc_receiver/recv_w8_r0.3_0713_1222
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,hotpotqa,ReKV,w8-r0.5,500,0.672,0.5180235159999989,query_sketch_bf16_v1,2,snapshots/table8_pair2_query_sketch_llama32_same/hotpotqa/mtc_receiver/recv_w8_r0.5_0713_1225
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,hotpotqa,ReKV,w8-r0.7,500,0.698,0.7107226739999981,query_sketch_bf16_v1,2,snapshots/table8_pair2_query_sketch_llama32_same/hotpotqa/mtc_receiver/recv_w8_r0.7_0713_1227
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,multifieldqa_en,B-ReKV,t0.95-s0.75-w8,150,0.5066666666666667,0.4014232133333334,query_sketch_bf16_v1,2,snapshots/table8_pair2_query_sketch_llama32_same/multifieldqa_en/coverage_main/cov_t0.95_s0.75_w8_0713_1417
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,multifieldqa_en,ReKV,w16-r0.3,150,0.5,0.3249917533333334,query_sketch_bf16_v1,2,snapshots/table8_pair2_query_sketch_llama32_same/multifieldqa_en/mtc_receiver/recv_w16_r0.3_0713_1408
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,multifieldqa_en,ReKV,w16-r0.5,150,0.5266666666666666,0.5178454333333335,query_sketch_bf16_v1,2,snapshots/table8_pair2_query_sketch_llama32_same/multifieldqa_en/mtc_receiver/recv_w16_r0.5_0713_1411
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,multifieldqa_en,ReKV,w16-r0.7,150,0.52,0.7107070133333337,query_sketch_bf16_v1,2,snapshots/table8_pair2_query_sketch_llama32_same/multifieldqa_en/mtc_receiver/recv_w16_r0.7_0713_1414
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,multifieldqa_en,ReKV,w8-r0.3,150,0.49333333333333335,0.3249917533333334,query_sketch_bf16_v1,2,snapshots/table8_pair2_query_sketch_llama32_same/multifieldqa_en/mtc_receiver/recv_w8_r0.3_0713_1358
