pair,pair_label,task,fixed_done,fixed_complete,best_rekv_score,best_rekv_budget,best_rekv_config,brekv_done,brekv_score,brekv_budget,score_gap_brekv_minus_best,cell_complete
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,countries,6,True,0.57,0.5182822150000007,w16-r0.5,True,0.545,0.2749817999999998,-0.02499999999999991,True
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,tipsheets,6,True,0.804,0.710648317999998,w8-r0.7,True,0.414,0.2370574140000001,-0.39000000000000007,True
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,hotpotqa,6,True,0.704,0.7107226739999981,w16-r0.7,True,0.508,0.2562363639999999,-0.19599999999999995,True
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,qasper,6,True,0.334,0.7107224979999989,w16-r0.7,True,0.32,0.40682317399999995,-0.014000000000000012,True
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,musique,6,True,0.37,0.71070106,w8-r0.7,True,0.228,0.26465987399999985,-0.142,True
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,multifieldqa_en,6,True,0.5266666666666666,0.5178454333333335,w16-r0.5,True,0.5066666666666667,0.4014232133333334,-0.019999999999999907,True
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,twowikimqa,6,True,0.41,0.5178482250000007,w16-r0.5,True,0.415,0.4014125750000001,0.0050000000000000044,True
pair2,S: Llama-3.2-3B; R: Llama-3.2-3B,tmath,6,True,0.35224466999999976,0.7106738133333331,w16-r0.7,True,0.34473813333333314,0.2589645000000002,-0.007506536666666619,True
pair3,S: Qwen2.5-7B; R: Qwen2.5-7B,countries,6,True,0.38,0.7115855549999995,w16-r0.7,True,0.225,0.38533766,-0.155,True
pair3,S: Qwen2.5-7B; R: Qwen2.5-7B,tipsheets,6,True,0.95,0.7107435099999985,w16-r0.7,True,0.874,0.3699727699999998,-0.07599999999999996,True
pair3,S: Qwen2.5-7B; R: Qwen2.5-7B,hotpotqa,6,True,0.68,0.710735481999999,w8-r0.7,True,0.48,0.3614429959999999,-0.20000000000000007,True
pair3,S: Qwen2.5-7B; R: Qwen2.5-7B,qasper,6,True,0.34,0.7107121659999999,w8-r0.7,True,0.236,0.350101992,-0.10400000000000004,True
pair3,S: Qwen2.5-7B; R: Qwen2.5-7B,musique,6,True,0.434,0.7107727119999998,w8-r0.7,True,0.24,0.321245664,-0.194,True
pair3,S: Qwen2.5-7B; R: Qwen2.5-7B,multifieldqa_en,6,True,0.49333333333333335,0.5178679800000004,w8-r0.5,True,0.38666666666666666,0.33978677333333324,-0.10666666666666669,True
pair3,S: Qwen2.5-7B; R: Qwen2.5-7B,twowikimqa,6,True,0.475,0.710712895,w16-r0.7,True,0.42,0.31816295999999994,-0.05499999999999999,True
pair3,S: Qwen2.5-7B; R: Qwen2.5-7B,tmath,6,True,0.31716622333333366,0.7107159199999998,w8-r0.7,True,0.3109068666666667,0.3631623566666668,-0.006259356666666938,True
pair4,S: Falcon3-7B; R: Falcon3-7B,countries,6,True,0.455,0.5182685900000006,w16-r0.5,True,0.265,0.4357449749999999,-0.19,True
pair4,S: Falcon3-7B; R: Falcon3-7B,tipsheets,6,True,0.944,0.7105183539999983,w16-r0.7,True,0.818,0.3279165160000001,-0.126,True
pair4,S: Falcon3-7B; R: Falcon3-7B,hotpotqa,6,True,0.592,0.7104489079999976,w16-r0.7,True,0.432,0.33940051999999976,-0.15999999999999998,True
pair4,S: Falcon3-7B; R: Falcon3-7B,qasper,6,True,0.24,0.7107163559999996,w16-r0.7,True,0.158,0.2144512899999998,-0.08199999999999999,True
