pair,pair_label,task,method,score,budget,b_to_a_mb,a_to_b_mb,total_mb,t_total_s,peak_mem_gb,run_dir
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,B-ReKV,0.62,0.27359,2.0004959106445312,4.832128524780273,6.832624435424805,0.203061,30.049045,snapshots/query_sketch_cost_v1/pair1_llama31_same/hotpotqa/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0545
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,ReKV,0.72,0.322186,2.0004959106445312,5.71087646484375,7.711372375488281,0.161696,30.050216,snapshots/query_sketch_cost_v1/pair1_llama31_same/hotpotqa/rekv/rekv_bf16_w8_r0.30_0714_0544
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,multifieldqa_en,B-ReKV,0.44,0.333031,2.0004959106445312,308.9944190979004,310.9949150085449,0.75689,33.306294,snapshots/query_sketch_cost_v1/pair1_llama31_same/multifieldqa_en/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0550
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,multifieldqa_en,ReKV,0.48,0.321874,2.0004959106445312,290.0435085296631,292.0440044403076,0.750488,33.266061,snapshots/query_sketch_cost_v1/pair1_llama31_same/multifieldqa_en/rekv/rekv_bf16_w8_r0.30_0714_0549
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,musique,B-ReKV,0.42,0.273043,2.0004959106445312,11.240020751953125,13.240516662597656,0.242877,30.134113,snapshots/query_sketch_cost_v1/pair1_llama31_same/musique/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0547
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,musique,ReKV,0.44,0.321794,2.0004959106445312,13.446939468383789,15.44743537902832,0.217922,30.13878,snapshots/query_sketch_cost_v1/pair1_llama31_same/musique/rekv/rekv_bf16_w8_r0.30_0714_0546
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,hotpotqa,B-ReKV,0.62,0.251967,1.3129348754882812,3.1751232147216797,4.488058090209961,0.230257,12.045901,snapshots/query_sketch_cost_v1/pair6_llama32_abliterated_deepseek3b/hotpotqa/brekv/brekv_bf16_t0.95_s0.75_w8_0713_2106
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,hotpotqa,ReKV,0.7,0.324923,1.3129348754882812,4.149589538574219,5.4625244140625,0.214268,12.047146,snapshots/query_sketch_cost_v1/pair6_llama32_abliterated_deepseek3b/hotpotqa/rekv/rekv_bf16_w8_r0.30_0713_2105
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,multifieldqa_en,B-ReKV,0.46,0.396176,1.3129348754882812,325.43725967407227,326.75019454956055,1.077086,15.208713,snapshots/query_sketch_cost_v1/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/brekv/brekv_bf16_t0.95_s0.75_w8_0713_2109
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,multifieldqa_en,ReKV,0.48,0.324992,1.3129348754882812,255.36037635803223,256.6733112335205,1.052281,15.063583,snapshots/query_sketch_cost_v1/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/rekv/rekv_bf16_w8_r0.30_0713_2108
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,musique,B-ReKV,0.42,0.245556,1.3129348754882812,8.22504997253418,9.537984848022461,0.288557,12.123531,snapshots/query_sketch_cost_v1/pair6_llama32_abliterated_deepseek3b/musique/brekv/brekv_bf16_t0.95_s0.75_w8_0713_2107
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,musique,ReKV,0.5,0.324867,1.3129348754882812,10.990795135498047,12.303730010986328,0.224008,12.129256,snapshots/query_sketch_cost_v1/pair6_llama32_abliterated_deepseek3b/musique/rekv/rekv_bf16_w8_r0.30_0713_2106
pair7,S: Qwen2.5-7B Unc.; R: Bespoke-Stratos-7B,hotpotqa,B-ReKV,0.5,0.381993,1.5316848754882812,2.924366149902344,4.456051025390625,1.071347,28.499808,snapshots/query_sketch_cost_v1/pair7_qwen25_uncensored_bespoke/hotpotqa/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0845
pair7,S: Qwen2.5-7B Unc.; R: Bespoke-Stratos-7B,hotpotqa,ReKV,0.46,0.325085,1.5316848754882812,2.5115692901611326,4.043254165649414,0.84313,28.500436,snapshots/query_sketch_cost_v1/pair7_qwen25_uncensored_bespoke/hotpotqa/rekv/rekv_bf16_w8_r0.30_0714_0844
pair7,S: Qwen2.5-7B Unc.; R: Bespoke-Stratos-7B,multifieldqa_en,B-ReKV,0.3,0.361049,1.5316848754882812,152.61667182922363,154.14835670471192,2.613313,31.317992,snapshots/query_sketch_cost_v1/pair7_qwen25_uncensored_bespoke/multifieldqa_en/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0859
pair7,S: Qwen2.5-7B Unc.; R: Bespoke-Stratos-7B,multifieldqa_en,ReKV,0.34,0.324983,1.5316848754882812,131.9725235748291,133.50420845031738,2.285581,31.2753,snapshots/query_sketch_cost_v1/pair7_qwen25_uncensored_bespoke/multifieldqa_en/rekv/rekv_bf16_w8_r0.30_0714_0857
pair7,S: Qwen2.5-7B Unc.; R: Bespoke-Stratos-7B,musique,B-ReKV,0.24,0.346488,1.5316848754882812,6.323883514404297,7.8555683898925786,1.489809,28.576688,snapshots/query_sketch_cost_v1/pair7_qwen25_uncensored_bespoke/musique/brekv/brekv_bf16_t0.95_s0.75_w8_0714_0851
pair7,S: Qwen2.5-7B Unc.; R: Bespoke-Stratos-7B,musique,ReKV,0.22,0.324868,1.5316848754882812,6.1445886993408205,7.676273574829102,0.990293,28.574937,snapshots/query_sketch_cost_v1/pair7_qwen25_uncensored_bespoke/musique/rekv/rekv_bf16_w8_r0.30_0714_0849
