pair,pair_label,task,method,config,n,score,budget,protocol_version,source_rank,run_dir
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,hotpotqa_full,B-ReKV,t0.95-s0.75-w8,7405,0.5319378798109385,0.25401993571910925,query_sketch_bf16_v1,2,snapshots/table6_pair6_query_sketch_llama32_abliterated_deepseek3b/hotpotqa_full/coverage_main/cov_t0.95_s0.75_w8_0714_0022
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,hotpotqa_full,ReKV,w16-r0.3,7405,0.6217420661715057,0.32502541850101413,query_sketch_bf16_v1,2,snapshots/table6_pair6_query_sketch_llama32_abliterated_deepseek3b/hotpotqa_full/mtc_receiver/recv_w16_r0.3_0713_2258
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,hotpotqa_full,ReKV,w16-r0.5,7405,0.7208642808912896,0.5178237266711352,query_sketch_bf16_v1,2,snapshots/table6_pair6_query_sketch_llama32_abliterated_deepseek3b/hotpotqa_full/mtc_receiver/recv_w16_r0.5_0713_2326
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,hotpotqa_full,ReKV,w16-r0.7,7405,0.7536799459824443,0.710534212424029,query_sketch_bf16_v1,2,snapshots/table6_pair6_query_sketch_llama32_abliterated_deepseek3b/hotpotqa_full/mtc_receiver/recv_w16_r0.7_0713_2354
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,hotpotqa_full,ReKV,w8-r0.3,7405,0.6437542201215395,0.32502541850101413,query_sketch_bf16_v1,2,snapshots/table6_pair6_query_sketch_llama32_abliterated_deepseek3b/hotpotqa_full/mtc_receiver/recv_w8_r0.3_0713_2134
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,hotpotqa_full,ReKV,w8-r0.5,7405,0.724780553679946,0.5178237266711352,query_sketch_bf16_v1,2,snapshots/table6_pair6_query_sketch_llama32_abliterated_deepseek3b/hotpotqa_full/mtc_receiver/recv_w8_r0.5_0713_2205
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,hotpotqa_full,ReKV,w8-r0.7,7405,0.7540850776502364,0.710534212424029,query_sketch_bf16_v1,2,snapshots/table6_pair6_query_sketch_llama32_abliterated_deepseek3b/hotpotqa_full/mtc_receiver/recv_w8_r0.7_0713_2230
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,musique_full,B-ReKV,t0.95-s0.75-w8,2417,0.33098882912701694,0.25439453992552713,query_sketch_bf16_v1,2,snapshots/table6_pair6_query_sketch_llama32_abliterated_deepseek3b/musique_full/coverage_main/cov_t0.95_s0.75_w8_0713_1703
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,musique_full,ReKV,w16-r0.3,2417,0.33429871741828715,0.3249966115018625,query_sketch_bf16_v1,2,snapshots/table6_pair6_query_sketch_llama32_abliterated_deepseek3b/musique_full/mtc_receiver/recv_w16_r0.3_0713_1632
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,musique_full,ReKV,w16-r0.5,2417,0.39553165080678526,0.5178442114191278,query_sketch_bf16_v1,2,snapshots/table6_pair6_query_sketch_llama32_abliterated_deepseek3b/musique_full/mtc_receiver/recv_w16_r0.5_0713_1643
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,musique_full,ReKV,w16-r0.7,2417,0.42490690939180803,0.7106752594124991,query_sketch_bf16_v1,2,snapshots/table6_pair6_query_sketch_llama32_abliterated_deepseek3b/musique_full/mtc_receiver/recv_w16_r0.7_0713_1653
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,musique_full,ReKV,w8-r0.3,2417,0.3690525444766239,0.3249966115018625,query_sketch_bf16_v1,2,snapshots/table6_pair6_query_sketch_llama32_abliterated_deepseek3b/musique_full/mtc_receiver/recv_w8_r0.3_0713_1600
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,musique_full,ReKV,w8-r0.5,2417,0.41042614811750106,0.5178442114191278,query_sketch_bf16_v1,2,snapshots/table6_pair6_query_sketch_llama32_abliterated_deepseek3b/musique_full/mtc_receiver/recv_w8_r0.5_0713_1611
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,musique_full,ReKV,w8-r0.7,2417,0.4298717418287133,0.7106752594124991,query_sketch_bf16_v1,2,snapshots/table6_pair6_query_sketch_llama32_abliterated_deepseek3b/musique_full/mtc_receiver/recv_w8_r0.7_0713_1621
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,qasper_full,B-ReKV,t0.95-s0.75-w8,1726,0.3186558516801854,0.4038966877172643,query_sketch_bf16_v1,2,snapshots/table6_pair6_query_sketch_llama32_abliterated_deepseek3b/qasper_full/coverage_main/cov_t0.95_s0.75_w8_0713_1715
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,qasper_full,ReKV,w16-r0.3,1726,0.30590961761297797,0.3250010735805313,query_sketch_bf16_v1,2,snapshots/table6_pair6_query_sketch_llama32_abliterated_deepseek3b/qasper_full/mtc_receiver/recv_w16_r0.3_0713_1603
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,qasper_full,ReKV,w16-r0.5,1726,0.3325608342989571,0.5178730683661744,query_sketch_bf16_v1,2,snapshots/table6_pair6_query_sketch_llama32_abliterated_deepseek3b/qasper_full/mtc_receiver/recv_w16_r0.5_0713_1626
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,qasper_full,ReKV,w16-r0.7,1726,0.3424101969872538,0.7107045799536551,query_sketch_bf16_v1,2,snapshots/table6_pair6_query_sketch_llama32_abliterated_deepseek3b/qasper_full/mtc_receiver/recv_w16_r0.7_0713_1650
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,qasper_full,ReKV,w8-r0.3,1726,0.2966396292004635,0.3250010735805313,query_sketch_bf16_v1,2,snapshots/table6_pair6_query_sketch_llama32_abliterated_deepseek3b/qasper_full/mtc_receiver/recv_w8_r0.3_0713_1450
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,qasper_full,ReKV,w8-r0.5,1726,0.3348783314020857,0.5178730683661744,query_sketch_bf16_v1,2,snapshots/table6_pair6_query_sketch_llama32_abliterated_deepseek3b/qasper_full/mtc_receiver/recv_w8_r0.5_0713_1513
