task,config,n,score,budget,protocol_version,run_dir
hotpotqa,w16-r0.3,500,0.6,0.321730624,query_sketch_bf16_multi_source_v1,snapshots/table10_multi_source_query_sketch/hotpotqa/multi_source_rekv/ms_qs_bf16_w16_r0.3_0713_1159
hotpotqa,w16-r0.5,500,0.652,0.5156153939999998,query_sketch_bf16_multi_source_v1,snapshots/table10_multi_source_query_sketch/hotpotqa/multi_source_rekv/ms_qs_bf16_w16_r0.5_0713_1200
hotpotqa,w16-r0.7,500,0.668,0.7091016380000003,query_sketch_bf16_multi_source_v1,snapshots/table10_multi_source_query_sketch/hotpotqa/multi_source_rekv/ms_qs_bf16_w16_r0.7_0713_1203
hotpotqa,w8-r0.3,500,0.598,0.321730624,query_sketch_bf16_multi_source_v1,snapshots/table10_multi_source_query_sketch/hotpotqa/multi_source_rekv/ms_qs_bf16_w8_r0.3_0713_1153
hotpotqa,w8-r0.5,500,0.66,0.5156153939999998,query_sketch_bf16_multi_source_v1,snapshots/table10_multi_source_query_sketch/hotpotqa/multi_source_rekv/ms_qs_bf16_w8_r0.5_0713_1155
hotpotqa,w8-r0.7,500,0.662,0.7091016380000003,query_sketch_bf16_multi_source_v1,snapshots/table10_multi_source_query_sketch/hotpotqa/multi_source_rekv/ms_qs_bf16_w8_r0.7_0713_1157
musique,w16-r0.3,500,0.328,0.3217664920000006,query_sketch_bf16_multi_source_v1,snapshots/table10_multi_source_query_sketch/musique/multi_source_rekv/ms_qs_bf16_w16_r0.3_0713_1212
musique,w16-r0.5,500,0.392,0.515599448,query_sketch_bf16_multi_source_v1,snapshots/table10_multi_source_query_sketch/musique/multi_source_rekv/ms_qs_bf16_w16_r0.5_0713_1214
musique,w16-r0.7,500,0.448,0.7094588460000006,query_sketch_bf16_multi_source_v1,snapshots/table10_multi_source_query_sketch/musique/multi_source_rekv/ms_qs_bf16_w16_r0.7_0713_1217
musique,w8-r0.3,500,0.326,0.3217664920000006,query_sketch_bf16_multi_source_v1,snapshots/table10_multi_source_query_sketch/musique/multi_source_rekv/ms_qs_bf16_w8_r0.3_0713_1205
musique,w8-r0.5,500,0.404,0.515599448,query_sketch_bf16_multi_source_v1,snapshots/table10_multi_source_query_sketch/musique/multi_source_rekv/ms_qs_bf16_w8_r0.5_0713_1207
musique,w8-r0.7,500,0.45,0.7094588460000006,query_sketch_bf16_multi_source_v1,snapshots/table10_multi_source_query_sketch/musique/multi_source_rekv/ms_qs_bf16_w8_r0.7_0713_1209
twowikimqa,w16-r0.3,200,0.405,0.3218765699999998,query_sketch_bf16_multi_source_v1,snapshots/table10_multi_source_query_sketch/twowikimqa/multi_source_rekv/ms_qs_bf16_w16_r0.3_0713_1226
twowikimqa,w16-r0.5,200,0.415,0.5156261950000002,query_sketch_bf16_multi_source_v1,snapshots/table10_multi_source_query_sketch/twowikimqa/multi_source_rekv/ms_qs_bf16_w16_r0.5_0713_1229
twowikimqa,w16-r0.7,200,0.425,0.7093704499999993,query_sketch_bf16_multi_source_v1,snapshots/table10_multi_source_query_sketch/twowikimqa/multi_source_rekv/ms_qs_bf16_w16_r0.7_0713_1231
twowikimqa,w8-r0.3,200,0.38,0.3218765699999998,query_sketch_bf16_multi_source_v1,snapshots/table10_multi_source_query_sketch/twowikimqa/multi_source_rekv/ms_qs_bf16_w8_r0.3_0713_1219
twowikimqa,w8-r0.5,200,0.425,0.5156261950000002,query_sketch_bf16_multi_source_v1,snapshots/table10_multi_source_query_sketch/twowikimqa/multi_source_rekv/ms_qs_bf16_w8_r0.5_0713_1221
twowikimqa,w8-r0.7,200,0.44,0.7093704499999993,query_sketch_bf16_multi_source_v1,snapshots/table10_multi_source_query_sketch/twowikimqa/multi_source_rekv/ms_qs_bf16_w8_r0.7_0713_1224
