pair,pair_label,task,method,config,n,score,budget,protocol_version,source_rank,run_dir
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,countries,B-ReKV,t0.95-s0.75-w8,200,0.615,0.2943774550000002,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/countries/coverage_frozen/frozen_t0.95_s0.75_w8_0714_0503
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,countries,ReKV,w16-r0.3,200,0.6,0.32352516999999986,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/countries/mtc_receiver/recv_w16_r0.3_0712_2123
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,countries,ReKV,w16-r0.5,200,0.59,0.516051925,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/countries/mtc_receiver/recv_w16_r0.5_0712_2124
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,countries,ReKV,w16-r0.7,200,0.6,0.7100448899999995,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/countries/mtc_receiver/recv_w16_r0.7_0712_2126
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,countries,ReKV,w8-r0.3,200,0.605,0.32352516999999986,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/countries/mtc_receiver/recv_w8_r0.3_0712_2119
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,countries,ReKV,w8-r0.5,200,0.595,0.516051925,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/countries/mtc_receiver/recv_w8_r0.5_0712_2120
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,countries,ReKV,w8-r0.7,200,0.595,0.7100448899999995,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/countries/mtc_receiver/recv_w8_r0.7_0712_2122
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,B-ReKV,t0.95-s0.75-w8,500,0.56,0.2754482219999999,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/hotpotqa/coverage_frozen/frozen_t0.95_s0.75_w8_0714_0507
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,ReKV,w16-r0.3,500,0.622,0.3219835499999998,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/hotpotqa/mtc_receiver/recv_w16_r0.3_0712_2152
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,ReKV,w16-r0.5,500,0.716,0.5157921900000002,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/hotpotqa/mtc_receiver/recv_w16_r0.5_0712_2155
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,ReKV,w16-r0.7,500,0.728,0.7093835219999997,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/hotpotqa/mtc_receiver/recv_w16_r0.7_0712_2158
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,ReKV,w8-r0.3,500,0.622,0.3219835499999998,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/hotpotqa/mtc_receiver/recv_w8_r0.3_0712_2142
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,ReKV,w8-r0.5,500,0.708,0.5157921900000002,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/hotpotqa/mtc_receiver/recv_w8_r0.5_0712_2145
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,ReKV,w8-r0.7,500,0.732,0.7093835219999997,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/hotpotqa/mtc_receiver/recv_w8_r0.7_0712_2148
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,multifieldqa_en,B-ReKV,t0.95-s0.75-w8,150,0.5,0.33536828,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/multifieldqa_en/coverage_frozen/frozen_t0.95_s0.75_w8_0714_0518
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,multifieldqa_en,ReKV,w16-r0.3,150,0.5066666666666667,0.3218667266666666,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/multifieldqa_en/mtc_receiver/recv_w16_r0.3_0713_0013
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,multifieldqa_en,ReKV,w16-r0.5,150,0.5,0.515613286666667,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/multifieldqa_en/mtc_receiver/recv_w16_r0.5_0713_0018
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,multifieldqa_en,ReKV,w16-r0.7,150,0.5466666666666666,0.7093677,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/multifieldqa_en/mtc_receiver/recv_w16_r0.7_0713_0024
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,multifieldqa_en,ReKV,w8-r0.3,150,0.48,0.3218667266666666,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/multifieldqa_en/mtc_receiver/recv_w8_r0.3_0712_2355
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,multifieldqa_en,ReKV,w8-r0.5,150,0.5066666666666667,0.515613286666667,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/multifieldqa_en/mtc_receiver/recv_w8_r0.5_0713_0001
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,multifieldqa_en,ReKV,w8-r0.7,150,0.54,0.7093677,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/multifieldqa_en/mtc_receiver/recv_w8_r0.7_0713_0007
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,musique,B-ReKV,t0.95-s0.75-w8,500,0.304,0.27454659399999964,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/musique/coverage_frozen/frozen_t0.95_s0.75_w8_0714_0515
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,musique,ReKV,w16-r0.3,500,0.342,0.32183868800000015,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/musique/mtc_receiver/recv_w16_r0.3_0712_2342
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,musique,ReKV,w16-r0.5,500,0.398,0.515677124,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/musique/mtc_receiver/recv_w16_r0.5_0712_2347
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,musique,ReKV,w16-r0.7,500,0.46,0.7093617639999998,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/musique/mtc_receiver/recv_w16_r0.7_0712_2351
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,musique,ReKV,w8-r0.3,500,0.352,0.32183868800000015,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/musique/mtc_receiver/recv_w8_r0.3_0712_2329
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,musique,ReKV,w8-r0.5,500,0.44,0.515677124,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/musique/mtc_receiver/recv_w8_r0.5_0712_2333
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,musique,ReKV,w8-r0.7,500,0.464,0.7093617639999998,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/musique/mtc_receiver/recv_w8_r0.7_0712_2338
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,qasper,B-ReKV,t0.95-s0.75-w8,500,0.31,0.35253970199999995,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/qasper/coverage_frozen/frozen_t0.95_s0.75_w8_0714_0509
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,qasper,ReKV,w16-r0.3,500,0.296,0.3218737000000005,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/qasper/mtc_receiver/recv_w16_r0.3_0712_2245
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,qasper,ReKV,w16-r0.5,500,0.324,0.5156114960000001,query_sketch_bf16_v1,2,snapshots/table1_pair1_query_sketch_llama31_same/qasper/mtc_receiver/recv_w16_r0.5_0712_2259
