family,pair,task,setting,protocol_version,n,score,budget,run_dir
score_function,pair6,hotpotqa,random,query_agnostic_kv_v1,500,0.406,0.32493556200000007,snapshots/query_sketch_score_function_ablation/pair6_llama32_abliterated_deepseek3b/hotpotqa/mtc_random/random_r0.3_0712_2235
score_function,pair6,hotpotqa,receiver,query_sketch_bf16_v1,500,0.604,0.32493556200000007,snapshots/query_sketch_score_function_ablation/pair6_llama32_abliterated_deepseek3b/hotpotqa/mtc_receiver/receiver_w8_r0.3_0712_2237
score_function,pair6,hotpotqa,receiver_recency,query_sketch_bf16_v1,500,0.622,0.32493556200000007,snapshots/query_sketch_score_function_ablation/pair6_llama32_abliterated_deepseek3b/hotpotqa/mtc_receiver_recency/receiver_recency_w8_r0.3_0712_2241
score_function,pair6,hotpotqa,receiver_x_value_norm,query_sketch_bf16_v1,500,0.608,0.32493556200000007,snapshots/query_sketch_score_function_ablation/pair6_llama32_abliterated_deepseek3b/hotpotqa/mtc_receiver_x_value_norm/receiver_x_value_norm_w8_r0.3_0712_2239
score_function,pair6,hotpotqa,value_norm,query_agnostic_kv_v1,500,0.516,0.32493556200000007,snapshots/query_sketch_score_function_ablation/pair6_llama32_abliterated_deepseek3b/hotpotqa/mtc_value_norm/value_norm_r0.3_0712_2233
score_function,pair6,multifieldqa_en,random,query_agnostic_kv_v1,150,0.32,0.32499991999999994,snapshots/query_sketch_score_function_ablation/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/mtc_random/random_r0.3_0712_2300
score_function,pair6,multifieldqa_en,receiver,query_sketch_bf16_v1,150,0.5266666666666666,0.32499991999999994,snapshots/query_sketch_score_function_ablation/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/mtc_receiver/receiver_w8_r0.3_0712_2303
score_function,pair6,multifieldqa_en,receiver_recency,query_sketch_bf16_v1,150,0.5266666666666666,0.32499991999999994,snapshots/query_sketch_score_function_ablation/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/mtc_receiver_recency/receiver_recency_w8_r0.3_0712_2309
score_function,pair6,multifieldqa_en,receiver_x_value_norm,query_sketch_bf16_v1,150,0.49333333333333335,0.32499991999999994,snapshots/query_sketch_score_function_ablation/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/mtc_receiver_x_value_norm/receiver_x_value_norm_w8_r0.3_0712_2306
score_function,pair6,multifieldqa_en,value_norm,query_agnostic_kv_v1,150,0.32666666666666666,0.32499991999999994,snapshots/query_sketch_score_function_ablation/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/mtc_value_norm/value_norm_r0.3_0712_2257
