pair,task,method,query_score,oracle_score,score_gap_query_minus_oracle,query_total_mb,oracle_total_mb,communication_reduction_pct,query_t_total,oracle_t_total,query_peak_mem_gb,oracle_peak_mem_gb
pair1,hotpotqa,B-ReKV,0.82,0.8,0.019999999999999907,11.72364616394043,17.70811798095703,33.79507536290524,0.327288,0.323744,30.03437,30.044747
pair1,hotpotqa,ReKV,0.68,0.8,-0.12,7.711372375488281,17.70811798095703,56.45289700587639,0.318688,0.323938,30.027012,30.044617
pair1,multifieldqa_en,B-ReKV,0.58,0.54,0.039999999999999925,553.5138626098633,900.225617980957,38.513873460822566,2.073851,2.08369,33.76506,33.991054
pair1,multifieldqa_en,ReKV,0.48,0.48,0.0,292.0440044403076,900.225617980957,67.55879874921695,1.926391,2.044599,33.242706,33.859174
pair1,musique,B-ReKV,0.54,0.58,-0.039999999999999925,24.84895133972168,41.74311798095703,40.471741111774094,0.396511,0.342666,30.133924,30.150098
pair1,musique,ReKV,0.44,0.58,-0.13999999999999996,15.44743537902832,41.74311798095703,62.99405476592488,0.423622,0.425749,30.115438,30.146269
pair6,hotpotqa,B-ReKV,0.82,0.86,-0.040000000000000036,7.938846588134766,12.760229187011719,37.78445142493604,0.21981,0.237714,12.051291,12.058023
pair6,hotpotqa,ReKV,0.7,0.76,-0.06000000000000005,5.4625244140625,12.760229187011719,57.19101644645497,0.224539,0.207564,12.047146,12.057933
pair6,multifieldqa_en,B-ReKV,0.46,0.46,0.0,530.1978988647461,784.9630416870117,32.455686356230785,1.102461,1.178383,15.611675,15.766931
pair6,multifieldqa_en,ReKV,0.48,0.4,0.07999999999999996,256.6733112335205,784.9630416870117,67.30122342041884,1.053573,1.150678,15.063583,15.596296
pair6,musique,B-ReKV,0.5,0.46,0.03999999999999998,19.1400089263916,33.79085418701172,43.35742795827725,0.229507,0.28905,12.142933,12.156393
pair6,musique,ReKV,0.5,0.42,0.08000000000000002,12.303730010986328,33.79085418701172,63.58857949286305,0.231165,0.219444,12.129256,12.151331
pair7,hotpotqa,B-ReKV,0.58,0.62,-0.040000000000000036,6.343989028930664,7.7136666870117185,17.756505610844187,0.930904,1.006925,28.477491,28.481136
pair7,hotpotqa,ReKV,0.46,0.52,-0.06,4.043254165649414,7.7136666870117185,47.583239855859325,1.047463,1.070936,28.477321,28.482023
pair7,multifieldqa_en,B-ReKV,0.36,0.34,0.019999999999999962,251.13738006591797,405.2896041870117,38.035079737688925,3.675249,3.57641,31.487765,31.580267
pair7,multifieldqa_en,ReKV,0.36,0.38,-0.020000000000000018,133.50420845031738,405.2896041870117,67.05955270722541,3.165597,3.257262,31.252162,31.538933
pair7,musique,B-ReKV,0.38,0.32,0.06,12.448231887817382,18.87429168701172,34.04662758081888,1.182121,1.265607,28.556182,28.565373
pair7,musique,ReKV,0.22,0.32,-0.1,7.676273574829102,18.87429168701172,59.32947470494215,1.134939,1.235544,28.551601,28.565039
