mode,window,cells,mean_score,mean_b_to_a_kb,mean_total_mb,mean_t_total,mean_peak_mem_gb
bf16,4,6,0.47,848.4765625,97.44560464223225,0.7005746666666667,22.104216833333336
bf16,8,6,0.5466666666666666,1696.4765625,98.27372964223225,0.6914811666666667,22.104190166666665
bf16,16,6,0.51,3392.4765625,99.92997964223225,0.7197115,22.104297833333334
bf16,32,6,0.4666666666666666,6784.4765625,103.24247964223225,0.6981738333333333,22.10416916666667
int8,4,6,0.4666666666666666,424.59375,97.03165658315022,0.7073968333333333,22.104204499999998
int8,8,6,0.5499999999999999,848.59375,97.44571908315022,0.6932743333333334,22.10415933333333
int8,16,6,0.49666666666666665,1696.59375,98.27384408315022,0.7210390000000001,22.10431133333333
int8,32,6,0.47,3392.59375,99.93009408315022,0.71184,22.104165
token_ids,4,6,0.28,0.0234375,96.61703713734944,0.7582723333333333,22.496872166666666
token_ids,8,6,0.36666666666666664,0.0390625,96.6170523961385,0.7136268333333332,22.496894666666666
token_ids,16,6,0.4466666666666666,0.0703125,96.61708291371663,0.717343,22.4970265
token_ids,32,6,0.43999999999999995,0.1328125,96.61714394887288,0.6924608333333332,22.4978345
