pair,pair_label,task,method,config,primary,protocol_version,protocol_source,n,score,budget,run_dir
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,countries,ReKV,recv_w16_r0.3,True,query_sketch_bf16_v1,recorded,200,0.6,0.32352516999999986,snapshots/table1_pair1_query_sketch_llama31_same/countries/mtc_receiver/recv_w16_r0.3_0712_2123
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,countries,ReKV,recv_w16_r0.5,True,query_sketch_bf16_v1,recorded,200,0.59,0.516051925,snapshots/table1_pair1_query_sketch_llama31_same/countries/mtc_receiver/recv_w16_r0.5_0712_2124
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,countries,ReKV,recv_w16_r0.7,True,query_sketch_bf16_v1,recorded,200,0.6,0.7100448899999995,snapshots/table1_pair1_query_sketch_llama31_same/countries/mtc_receiver/recv_w16_r0.7_0712_2126
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,countries,ReKV,recv_w8_r0.3,True,query_sketch_bf16_v1,recorded,200,0.605,0.32352516999999986,snapshots/table1_pair1_query_sketch_llama31_same/countries/mtc_receiver/recv_w8_r0.3_0712_2119
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,countries,ReKV,recv_w8_r0.5,True,query_sketch_bf16_v1,recorded,200,0.595,0.516051925,snapshots/table1_pair1_query_sketch_llama31_same/countries/mtc_receiver/recv_w8_r0.5_0712_2120
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,countries,ReKV,recv_w8_r0.7,True,query_sketch_bf16_v1,recorded,200,0.595,0.7100448899999995,snapshots/table1_pair1_query_sketch_llama31_same/countries/mtc_receiver/recv_w8_r0.7_0712_2122
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,ReKV,recv_w16_r0.3,True,query_sketch_bf16_v1,recorded,500,0.622,0.3219835499999998,snapshots/table1_pair1_query_sketch_llama31_same/hotpotqa/mtc_receiver/recv_w16_r0.3_0712_2152
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,ReKV,recv_w16_r0.5,True,query_sketch_bf16_v1,recorded,500,0.716,0.5157921900000002,snapshots/table1_pair1_query_sketch_llama31_same/hotpotqa/mtc_receiver/recv_w16_r0.5_0712_2155
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,ReKV,recv_w16_r0.7,True,query_sketch_bf16_v1,recorded,500,0.728,0.7093835219999997,snapshots/table1_pair1_query_sketch_llama31_same/hotpotqa/mtc_receiver/recv_w16_r0.7_0712_2158
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,ReKV,recv_w8_r0.3,True,query_sketch_bf16_v1,recorded,500,0.622,0.3219835499999998,snapshots/table1_pair1_query_sketch_llama31_same/hotpotqa/mtc_receiver/recv_w8_r0.3_0712_2142
