pair,task,family,win,ratio,coverage_tau,scale,n,score_mean,acc_tau0.5,avg_budget
pair6,hotpotqa,fixed_rekv,8,0.3,,,500,0.646,0.646,0.3
pair6,hotpotqa,fixed_rekv,8,0.5,,,500,0.702,0.702,0.5
pair6,hotpotqa,fixed_rekv,8,0.7,,,500,0.718,0.718,0.7
pair6,hotpotqa,fixed_rekv,16,0.3,,,500,0.668,0.668,0.3
pair6,hotpotqa,fixed_rekv,16,0.5,,,500,0.694,0.694,0.5
pair6,hotpotqa,fixed_rekv,16,0.7,,,500,0.716,0.716,0.7
pair6,hotpotqa,brekv,8,,0.9,0.65,500,0.464,0.464,0.174395752
pair6,hotpotqa,brekv,16,,0.9,0.65,500,0.506,0.506,0.194323834
pair6,hotpotqa,brekv,8,,0.9,0.75,500,0.48,0.48,0.185608992
pair6,hotpotqa,brekv,16,,0.9,0.75,500,0.542,0.542,0.210817872
pair6,hotpotqa,brekv,8,,0.9,0.85,500,0.518,0.518,0.197476608
pair6,hotpotqa,brekv,16,,0.9,0.85,500,0.588,0.588,0.22799819
pair6,hotpotqa,brekv,8,,0.95,0.65,500,0.624,0.624,0.24338318
pair6,hotpotqa,brekv,16,,0.95,0.65,500,0.65,0.65,0.279040804
pair6,hotpotqa,brekv,8,,0.95,0.75,500,0.642,0.642,0.271505842
pair6,hotpotqa,brekv,16,,0.95,0.75,500,0.654,0.654,0.31413147199999997
pair6,hotpotqa,brekv,8,,0.95,0.85,500,0.64,0.64,0.30037971599999996
pair6,hotpotqa,brekv,16,,0.95,0.85,500,0.662,0.662,0.34973384199999996
pair6,hotpotqa,brekv,16,,0.95,0.9,500,0.674,0.674,0.367717466
pair6,hotpotqa,brekv,8,,0.98,0.65,500,0.686,0.686,0.386727284
pair6,hotpotqa,brekv,16,,0.98,0.65,500,0.672,0.672,0.41898794
pair6,hotpotqa,brekv,8,,0.98,0.75,500,0.706,0.706,0.440608956
pair6,hotpotqa,brekv,16,,0.98,0.75,500,0.7,0.7,0.477872824
pair6,hotpotqa,brekv,8,,0.98,0.85,500,0.712,0.712,0.494548084
pair6,hotpotqa,brekv,16,,0.98,0.85,500,0.722,0.722,0.536790754
