pair,task,family,win,ratio,coverage_tau,scale,n,score_mean,acc_tau0.5,avg_budget
pair6,musique,fixed_rekv,8,0.3,,,500,0.362,0.362,0.3
pair6,musique,fixed_rekv,8,0.5,,,500,0.384,0.384,0.5
pair6,musique,fixed_rekv,8,0.7,,,500,0.384,0.384,0.7
pair6,musique,fixed_rekv,16,0.3,,,500,0.354,0.354,0.3
pair6,musique,fixed_rekv,16,0.5,,,500,0.39,0.39,0.5
pair6,musique,fixed_rekv,16,0.7,,,500,0.396,0.396,0.7
pair6,musique,brekv,8,,0.9,0.65,500,0.324,0.324,0.132286112
pair6,musique,brekv,16,,0.9,0.65,500,0.324,0.324,0.163868516
pair6,musique,brekv,8,,0.9,0.75,500,0.33,0.33,0.14374061800000001
pair6,musique,brekv,16,,0.9,0.75,500,0.338,0.338,0.181306266
pair6,musique,brekv,8,,0.9,0.85,500,0.344,0.344,0.15543880799999998
pair6,musique,brekv,16,,0.9,0.85,500,0.348,0.348,0.198929692
pair6,musique,brekv,8,,0.95,0.65,500,0.376,0.376,0.222277308
pair6,musique,brekv,16,,0.95,0.65,500,0.36,0.36,0.270280684
pair6,musique,brekv,8,,0.95,0.75,500,0.384,0.384,0.250506002
pair6,musique,brekv,16,,0.95,0.75,500,0.358,0.358,0.30624572
pair6,musique,brekv,8,,0.95,0.85,500,0.37,0.37,0.278840034
pair6,musique,brekv,16,,0.95,0.85,500,0.362,0.362,0.342258614
pair6,musique,brekv,16,,0.95,0.9,500,0.368,0.368,0.360301522
pair6,musique,brekv,8,,0.98,0.65,500,0.378,0.378,0.375119056
pair6,musique,brekv,16,,0.98,0.65,500,0.38,0.38,0.418500046
pair6,musique,brekv,8,,0.98,0.75,500,0.374,0.374,0.427293208
pair6,musique,brekv,16,,0.98,0.75,500,0.392,0.392,0.477401702
pair6,musique,brekv,8,,0.98,0.85,500,0.388,0.388,0.479497514
pair6,musique,brekv,16,,0.98,0.85,500,0.394,0.394,0.53624748
