pair,task_type,dataset,method,n,score_mean,run_dir
table1_pair6_llama32_abliterated_deepseek3b,math_reasoning,tmath,ReKV-w16 r=0.5,300,0.321302,snapshots/table1_pair6_llama32_abliterated_deepseek3b/tmath/mtc_receiver/recv_w16_r0.5_0625_2136
table1_pair6_llama32_abliterated_deepseek3b,math_reasoning,tmath,ReKV-w8 r=0.3,300,0.317707,snapshots/table1_pair6_llama32_abliterated_deepseek3b/tmath/mtc_receiver/recv_w8_r0.3_0625_1815
table1_pair6_llama32_abliterated_deepseek3b,math_reasoning,tmath,ReKV-w16 r=0.3,300,0.316694,snapshots/table1_pair6_llama32_abliterated_deepseek3b/tmath/mtc_receiver/recv_w16_r0.3_0625_2051
table1_pair6_llama32_abliterated_deepseek3b,math_reasoning,tmath,ReKV-w8 r=0.7,300,0.32322,snapshots/table1_pair6_llama32_abliterated_deepseek3b/tmath/mtc_receiver/recv_w8_r0.7_0625_2006
table1_pair6_llama32_abliterated_deepseek3b,math_reasoning,tmath,ReKV-w16 r=0.7,300,0.320187,snapshots/table1_pair6_llama32_abliterated_deepseek3b/tmath/mtc_receiver/recv_w16_r0.7_0625_2222
table1_pair6_llama32_abliterated_deepseek3b,math_reasoning,tmath,ReKV-w8 r=0.5,300,0.320868,snapshots/table1_pair6_llama32_abliterated_deepseek3b/tmath/mtc_receiver/recv_w8_r0.5_0625_1910
table1_pair6_llama32_abliterated_deepseek3b,math_reasoning,tmath,B-ReKV t=0.95 s=0.90 w16,300,0.317368,snapshots/table1_pair6_llama32_abliterated_deepseek3b/tmath/coverage/cov_t0.95_s0.90_w16_0626_0036
table1_pair6_llama32_abliterated_deepseek3b,math_reasoning,tmath,B-ReKV t=0.95 s=0.85 w8,300,0.319325,snapshots/table1_pair6_llama32_abliterated_deepseek3b/tmath/coverage/cov_t0.95_s0.85_w8_0625_2351
table1_pair6_llama32_abliterated_deepseek3b,math_reasoning,tmath,B-ReKV t=0.95 s=0.75 w8,300,0.316796,snapshots/table1_pair6_llama32_abliterated_deepseek3b/tmath/coverage/cov_t0.95_s0.75_w8_0625_2307
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,twowikimqa,ReKV-w8 r=0.7,200,0.42,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w8_r0.7_0625_1617
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,twowikimqa,ReKV-w16 r=0.5,200,0.42,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w16_r0.5_0625_1626
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,twowikimqa,ReKV-w16 r=0.3,200,0.41,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w16_r0.3_0625_1621
table1_pair6_llama32_abliterated_deepseek3b,multi_hop,twowikimqa,ReKV-w8 r=0.3,200,0.395,snapshots/table1_pair6_llama32_abliterated_deepseek3b/twowikimqa/mtc_receiver/recv_w8_r0.3_0625_1609
