dataset,method,n,score,budget,kv_byte_ratio,kv_mb_sent,ctx_tokens_A,query_tokens_B,output_tokens,t_a_prefill,t_receiver_score,t_generate_total,t_total,peak_mem_gb,run_dir
countries,B-ReKV t=0.95 s=0.75 w8,195,0.605128,0.32729,0.32729,2.69,65.748718,74.230769,2.687179,0.040462,0.064747,0.12403,0.230679,30.004532,snapshots/cost_profile/pair1_llama31_same_all8_full/countries/coverage/cov_t0.95_s0.75_w8_cost_0630_1744
countries,B-ReKV t=0.95 s=0.85 w8,195,0.605128,0.364244,0.364244,2.994,65.748718,74.230769,2.676923,0.040484,0.065466,0.123494,0.230854,30.004532,snapshots/cost_profile/pair1_llama31_same_all8_full/countries/coverage/cov_t0.95_s0.85_w8_cost_0630_1746
countries,KVComm top=0.3,195,0.497436,0.322983,0.322983,2.654,65.748718,74.230769,3.235897,0.039214,0.0,0.132463,0.173126,29.994816,snapshots/cost_profile/pair1_llama31_same_all8_full/countries/kvcomm/kvcomm_top0.3_cost_0630_1730
countries,KVComm top=0.5,195,0.610256,0.507624,0.507624,4.172,65.748718,74.230769,3.010256,0.038855,0.0,0.121765,0.162121,29.996301,snapshots/cost_profile/pair1_llama31_same_all8_full/countries/kvcomm/kvcomm_top0.5_cost_0630_1735
countries,KVComm top=0.7,195,0.610256,0.692265,0.692265,5.689,65.748718,74.230769,3.025641,0.038778,0.0,0.124267,0.164399,29.997796,snapshots/cost_profile/pair1_llama31_same_all8_full/countries/kvcomm/kvcomm_top0.7_cost_0630_1740
countries,ReKV-w16 r=0.3,195,0.594872,0.323506,0.323506,2.658,65.748718,74.230769,2.712821,0.039753,0.055786,0.122585,0.219605,30.004532,snapshots/cost_profile/pair1_llama31_same_all8_full/countries/mtc_receiver/recv_w16_r0.3_cost_0630_1734
countries,ReKV-w16 r=0.5,195,0.579487,0.516059,0.516059,4.241,65.748718,74.230769,2.892308,0.038913,0.055352,0.129245,0.22485,30.004532,snapshots/cost_profile/pair1_llama31_same_all8_full/countries/mtc_receiver/recv_w16_r0.5_cost_0630_1738
countries,ReKV-w16 r=0.7,195,0.6,0.710123,0.710123,5.836,65.748718,74.230769,2.871795,0.040503,0.057055,0.131521,0.230718,30.004532,snapshots/cost_profile/pair1_llama31_same_all8_full/countries/mtc_receiver/recv_w16_r0.7_cost_0630_1743
countries,ReKV-w8 r=0.3,195,0.589744,0.323506,0.323506,2.658,65.748718,74.230769,2.748718,0.041288,0.058947,0.128613,0.23069,30.004532,snapshots/cost_profile/pair1_llama31_same_all8_full/countries/mtc_receiver/recv_w8_r0.3_cost_0630_1732
countries,ReKV-w8 r=0.5,195,0.589744,0.516059,0.516059,4.241,65.748718,74.230769,2.85641,0.040575,0.05692,0.131583,0.230538,30.004532,snapshots/cost_profile/pair1_llama31_same_all8_full/countries/mtc_receiver/recv_w8_r0.5_cost_0630_1737
countries,ReKV-w8 r=0.7,195,0.594872,0.710123,0.710123,5.836,65.748718,74.230769,2.897436,0.038638,0.054857,0.127515,0.222496,30.004532,snapshots/cost_profile/pair1_llama31_same_all8_full/countries/mtc_receiver/recv_w8_r0.7_cost_0630_1741
hotpotqa,B-ReKV t=0.95 s=0.75 w8,495,0.707071,0.306235,0.306235,5.344,140.579798,75.145455,6.494949,0.05128,0.078982,0.331677,0.463914,30.043951,snapshots/cost_profile/pair1_llama31_same_all8_full/hotpotqa/coverage/cov_t0.95_s0.75_w8_cost_0630_1905
hotpotqa,B-ReKV t=0.95 s=0.85 w8,495,0.715152,0.342557,0.342557,5.978,140.579798,75.145455,6.751515,0.051741,0.081749,0.344954,0.480384,30.043952,snapshots/cost_profile/pair1_llama31_same_all8_full/hotpotqa/coverage/cov_t0.95_s0.85_w8_cost_0630_1910
hotpotqa,KVComm top=0.3,495,0.335354,0.286618,0.286618,5.032,140.579798,75.145455,12.2,0.044215,0.0,0.506936,0.553029,30.026174,snapshots/cost_profile/pair1_llama31_same_all8_full/hotpotqa/kvcomm/kvcomm_top0.3_cost_0630_1823
hotpotqa,KVComm top=0.5,495,0.60404,0.503734,0.503734,8.849,140.579798,75.145455,8.00404,0.0494,0.0,0.368195,0.419577,30.032527,snapshots/cost_profile/pair1_llama31_same_all8_full/hotpotqa/kvcomm/kvcomm_top0.5_cost_0630_1838
hotpotqa,KVComm top=0.7,495,0.690909,0.689834,0.689834,12.12,140.579798,75.145455,6.779798,0.050534,0.0,0.326097,0.378568,30.03874,snapshots/cost_profile/pair1_llama31_same_all8_full/hotpotqa/kvcomm/kvcomm_top0.7_cost_0630_1852
hotpotqa,ReKV-w16 r=0.3,495,0.69899,0.321983,0.321983,5.658,140.579798,75.145455,6.925253,0.053807,0.074694,0.363252,0.494088,30.043952,snapshots/cost_profile/pair1_llama31_same_all8_full/hotpotqa/mtc_receiver/recv_w16_r0.3_cost_0630_1833
hotpotqa,ReKV-w16 r=0.5,495,0.745455,0.5158,0.5158,9.064,140.579798,75.145455,5.955556,0.046973,0.063026,0.280542,0.392504,30.044027,snapshots/cost_profile/pair1_llama31_same_all8_full/hotpotqa/mtc_receiver/recv_w16_r0.5_cost_0630_1847
hotpotqa,ReKV-w16 r=0.7,495,0.747475,0.709385,0.709385,12.465,140.579798,75.145455,5.953535,0.050003,0.068375,0.299473,0.419866,30.044373,snapshots/cost_profile/pair1_llama31_same_all8_full/hotpotqa/mtc_receiver/recv_w16_r0.7_cost_0630_1900
hotpotqa,ReKV-w8 r=0.3,495,0.694949,0.321983,0.321983,5.658,140.579798,75.145455,6.339394,0.043637,0.059967,0.275522,0.381009,30.043952,snapshots/cost_profile/pair1_llama31_same_all8_full/hotpotqa/mtc_receiver/recv_w8_r0.3_cost_0630_1829
hotpotqa,ReKV-w8 r=0.5,495,0.725253,0.5158,0.5158,9.064,140.579798,75.145455,6.191919,0.050578,0.068408,0.306956,0.428059,30.044027,snapshots/cost_profile/pair1_llama31_same_all8_full/hotpotqa/mtc_receiver/recv_w8_r0.5_cost_0630_1842
hotpotqa,ReKV-w8 r=0.7,495,0.735354,0.709385,0.709385,12.465,140.579798,75.145455,6.030303,0.050707,0.069077,0.300323,0.422098,30.044373,snapshots/cost_profile/pair1_llama31_same_all8_full/hotpotqa/mtc_receiver/recv_w8_r0.7_cost_0630_1856
multifieldqa_en,B-ReKV t=0.95 s=0.75 w8,145,0.517241,0.198187,0.198187,170.782,6937.158621,70.275862,18.282759,1.233705,0.149758,0.99818,2.421604,33.596928,snapshots/cost_profile/pair1_llama31_same_all8_full/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_cost_0701_0033
multifieldqa_en,B-ReKV t=0.95 s=0.85 w8,145,0.524138,0.220239,0.220239,189.766,6937.158621,70.275862,18.517241,1.234367,0.141539,0.96198,2.374571,33.618336,snapshots/cost_profile/pair1_llama31_same_all8_full/multifieldqa_en/coverage/cov_t0.95_s0.85_w8_cost_0701_0040
multifieldqa_en,KVComm top=0.3,145,0.193103,0.281395,0.281395,243.974,6937.158621,70.275862,25.42069,1.234256,0.0,1.267887,2.538782,33.060106,snapshots/cost_profile/pair1_llama31_same_all8_full/multifieldqa_en/kvcomm/kvcomm_top0.3_cost_0630_2332
multifieldqa_en,KVComm top=0.5,145,0.489655,0.500101,0.500101,433.635,6937.158621,70.275862,20.055172,1.236526,0.0,1.188109,2.466621,33.441777,snapshots/cost_profile/pair1_llama31_same_all8_full/multifieldqa_en/kvcomm/kvcomm_top0.5_cost_0630_2353
multifieldqa_en,KVComm top=0.7,145,0.544828,0.687563,0.687563,596.201,6937.158621,70.275862,19.986207,1.237728,0.0,0.93913,2.205146,33.769298,snapshots/cost_profile/pair1_llama31_same_all8_full/multifieldqa_en/kvcomm/kvcomm_top0.7_cost_0701_0013
multifieldqa_en,ReKV-w16 r=0.3,145,0.510345,0.321865,0.321865,279.108,6937.158621,70.275862,18.37931,1.236626,0.127354,0.865587,2.262495,33.720061,snapshots/cost_profile/pair1_llama31_same_all8_full/multifieldqa_en/mtc_receiver/recv_w16_r0.3_cost_0630_2346
multifieldqa_en,ReKV-w16 r=0.5,145,0.517241,0.515615,0.515615,447.119,6937.158621,70.275862,18.848276,1.237386,0.120065,0.798816,2.184014,33.924983,snapshots/cost_profile/pair1_llama31_same_all8_full/multifieldqa_en/mtc_receiver/recv_w16_r0.5_cost_0701_0007
multifieldqa_en,ReKV-w16 r=0.7,145,0.537931,0.709368,0.709368,615.129,6937.158621,70.275862,18.572414,1.237511,0.121929,0.882576,2.271651,34.12991,snapshots/cost_profile/pair1_llama31_same_all8_full/multifieldqa_en/mtc_receiver/recv_w16_r0.7_cost_0701_0027
multifieldqa_en,ReKV-w8 r=0.3,145,0.503448,0.321865,0.321865,279.108,6937.158621,70.275862,18.427586,1.235947,0.144454,1.000118,2.421453,33.720061,snapshots/cost_profile/pair1_llama31_same_all8_full/multifieldqa_en/mtc_receiver/recv_w8_r0.3_cost_0630_2339
multifieldqa_en,ReKV-w8 r=0.5,145,0.524138,0.515615,0.515615,447.119,6937.158621,70.275862,18.289655,1.23634,0.130801,0.949955,2.351448,33.924983,snapshots/cost_profile/pair1_llama31_same_all8_full/multifieldqa_en/mtc_receiver/recv_w8_r0.5_cost_0701_0000
multifieldqa_en,ReKV-w8 r=0.7,145,0.531034,0.709368,0.709368,615.129,6937.158621,70.275862,18.537931,1.237903,0.120636,0.906379,2.293782,34.12991,snapshots/cost_profile/pair1_llama31_same_all8_full/multifieldqa_en/mtc_receiver/recv_w8_r0.7_cost_0701_0020
musique,B-ReKV t=0.95 s=0.75 w8,495,0.478788,0.279525,0.279525,12.864,378.458586,76.591919,9.046465,0.083729,0.078088,0.437493,0.602934,30.168863,snapshots/cost_profile/pair1_llama31_same_all8_full/musique/coverage/cov_t0.95_s0.75_w8_cost_0630_2319
musique,B-ReKV t=0.95 s=0.85 w8,495,0.488889,0.312601,0.312601,14.381,378.458586,76.591919,8.666667,0.08409,0.079711,0.44471,0.61238,30.169077,snapshots/cost_profile/pair1_llama31_same_all8_full/musique/coverage/cov_t0.95_s0.85_w8_cost_0630_2325
musique,KVComm top=0.3,495,0.109091,0.283496,0.283496,13.395,378.458586,76.591919,15.822222,0.081458,0.0,0.669651,0.753853,30.132606,snapshots/cost_profile/pair1_llama31_same_all8_full/musique/kvcomm/kvcomm_top0.3_cost_0630_2224
musique,KVComm top=0.5,495,0.337374,0.501562,0.501562,23.716,378.458586,76.591919,12.191919,0.081487,0.0,0.531227,0.616126,30.153092,snapshots/cost_profile/pair1_llama31_same_all8_full/musique/kvcomm/kvcomm_top0.5_cost_0630_2243
musique,KVComm top=0.7,495,0.385859,0.688477,0.688477,32.563,378.458586,76.591919,10.810101,0.087108,0.0,0.579067,0.669629,30.170571,snapshots/cost_profile/pair1_llama31_same_all8_full/musique/kvcomm/kvcomm_top0.7_cost_0630_2301
musique,ReKV-w16 r=0.3,495,0.460606,0.321837,0.321837,15.227,378.458586,76.591919,8.656566,0.082036,0.062607,0.394426,0.54229,30.1694,snapshots/cost_profile/pair1_llama31_same_all8_full/musique/mtc_receiver/recv_w16_r0.3_cost_0630_2238
musique,ReKV-w16 r=0.5,495,0.474747,0.515678,0.515678,24.395,378.458586,76.591919,8.377778,0.082411,0.066332,0.407167,0.559129,30.173973,snapshots/cost_profile/pair1_llama31_same_all8_full/musique/mtc_receiver/recv_w16_r0.5_cost_0630_2255
musique,ReKV-w16 r=0.7,495,0.478788,0.709363,0.709363,33.557,378.458586,76.591919,8.672727,0.083988,0.069058,0.438478,0.594895,30.183581,snapshots/cost_profile/pair1_llama31_same_all8_full/musique/mtc_receiver/recv_w16_r0.7_cost_0630_2313
musique,ReKV-w8 r=0.3,495,0.478788,0.321837,0.321837,15.227,378.458586,76.591919,9.179798,0.082152,0.066588,0.441668,0.593774,30.1694,snapshots/cost_profile/pair1_llama31_same_all8_full/musique/mtc_receiver/recv_w8_r0.3_cost_0630_2232
musique,ReKV-w8 r=0.5,495,0.482828,0.515678,0.515678,24.395,378.458586,76.591919,8.820202,0.083653,0.068338,0.426407,0.581451,30.173973,snapshots/cost_profile/pair1_llama31_same_all8_full/musique/mtc_receiver/recv_w8_r0.5_cost_0630_2249
musique,ReKV-w8 r=0.7,495,0.480808,0.709363,0.709363,33.557,378.458586,76.591919,8.438384,0.085103,0.070528,0.423033,0.582068,30.183576,snapshots/cost_profile/pair1_llama31_same_all8_full/musique/mtc_receiver/recv_w8_r0.7_cost_0630_2307
qasper,B-ReKV t=0.95 s=0.75 w8,495,0.333333,0.231755,0.231755,137.141,4879.242424,64.452525,22.660606,0.846223,0.094547,0.751226,1.707381,32.522615,snapshots/cost_profile/pair1_llama31_same_all8_full/qasper/coverage/cov_t0.95_s0.75_w8_cost_0630_2152
qasper,B-ReKV t=0.95 s=0.85 w8,495,0.327273,0.258448,0.258448,152.852,4879.242424,64.452525,23.09899,0.844545,0.109082,1.027583,2.002579,32.540842,snapshots/cost_profile/pair1_llama31_same_all8_full/qasper/coverage/cov_t0.95_s0.85_w8_cost_0630_2207
qasper,KVComm top=0.3,495,0.072727,0.281426,0.281426,171.626,4879.242424,64.452525,53.668687,0.84254,0.0,2.490528,3.358038,32.140929,snapshots/cost_profile/pair1_llama31_same_all8_full/qasper/kvcomm/kvcomm_top0.3_cost_0630_1914
qasper,KVComm top=0.5,495,0.282828,0.500122,0.500122,305.015,4879.242424,64.452525,28.933333,0.847189,0.0,1.093692,1.95916,32.405678,snapshots/cost_profile/pair1_llama31_same_all8_full/qasper/kvcomm/kvcomm_top0.5_cost_0630_2016
qasper,KVComm top=0.7,495,0.288889,0.687576,0.687576,419.349,4879.242424,64.452525,26.345455,0.847943,0.0,0.988764,1.852403,32.634955,snapshots/cost_profile/pair1_llama31_same_all8_full/qasper/kvcomm/kvcomm_top0.7_cost_0630_2104
qasper,ReKV-w16 r=0.3,495,0.337374,0.321874,0.321874,196.314,4879.242424,64.452525,22.456566,0.846727,0.089147,0.793577,1.746378,32.596906,snapshots/cost_profile/pair1_llama31_same_all8_full/qasper/mtc_receiver/recv_w16_r0.3_cost_0630_2000
qasper,ReKV-w16 r=0.5,495,0.349495,0.515612,0.515612,314.477,4879.242424,64.452525,21.860606,0.847417,0.088144,0.789966,1.741121,32.739378,snapshots/cost_profile/pair1_llama31_same_all8_full/qasper/mtc_receiver/recv_w16_r0.5_cost_0630_2048
qasper,ReKV-w16 r=0.7,495,0.343434,0.709383,0.709383,432.654,4879.242424,64.452525,22.745455,0.847504,0.088111,0.834551,1.785718,32.88186,snapshots/cost_profile/pair1_llama31_same_all8_full/qasper/mtc_receiver/recv_w16_r0.7_cost_0630_2136
qasper,ReKV-w8 r=0.3,495,0.345455,0.321874,0.321874,196.314,4879.242424,64.452525,22.379798,0.846551,0.096947,0.93025,1.893137,32.596906,snapshots/cost_profile/pair1_llama31_same_all8_full/qasper/mtc_receiver/recv_w8_r0.3_cost_0630_1944
qasper,ReKV-w8 r=0.5,495,0.343434,0.515612,0.515612,314.477,4879.242424,64.452525,22.793939,0.847585,0.087946,0.796218,1.746994,32.739378,snapshots/cost_profile/pair1_llama31_same_all8_full/qasper/mtc_receiver/recv_w8_r0.5_cost_0630_2033
qasper,ReKV-w8 r=0.7,495,0.345455,0.709383,0.709383,432.654,4879.242424,64.452525,23.080808,0.847124,0.090257,0.882667,1.839573,32.88186,snapshots/cost_profile/pair1_llama31_same_all8_full/qasper/mtc_receiver/recv_w8_r0.7_cost_0630_2120
tipsheets,B-ReKV t=0.95 s=0.75 w8,495,0.876768,0.272274,0.272274,3.973,117.030303,92.969697,3.959596,0.047672,0.075082,0.206113,0.330754,30.044485,snapshots/cost_profile/pair1_llama31_same_all8_full/tipsheets/coverage/cov_t0.95_s0.75_w8_cost_0630_1816
tipsheets,B-ReKV t=0.95 s=0.85 w8,495,0.876768,0.303846,0.303846,4.434,117.030303,92.969697,3.973737,0.040407,0.064587,0.174223,0.281092,30.044485,snapshots/cost_profile/pair1_llama31_same_all8_full/tipsheets/coverage/cov_t0.95_s0.85_w8_cost_0630_1820
tipsheets,KVComm top=0.3,495,0.919192,0.287435,0.287435,4.204,117.030303,92.969697,3.967677,0.037937,0.0,0.154041,0.193609,30.026331,snapshots/cost_profile/pair1_llama31_same_all8_full/tipsheets/kvcomm/kvcomm_top0.3_cost_0630_1748
tipsheets,KVComm top=0.5,495,0.945455,0.504303,0.504303,7.377,117.030303,92.969697,3.969697,0.039196,0.0,0.159077,0.199801,30.029643,snapshots/cost_profile/pair1_llama31_same_all8_full/tipsheets/kvcomm/kvcomm_top0.5_cost_0630_1757
tipsheets,KVComm top=0.7,495,0.951515,0.690189,0.690189,10.096,117.030303,92.969697,3.963636,0.045284,0.0,0.186178,0.233034,30.034534,snapshots/cost_profile/pair1_llama31_same_all8_full/tipsheets/kvcomm/kvcomm_top0.7_cost_0630_1806
tipsheets,ReKV-w16 r=0.3,495,0.872727,0.321869,0.321869,4.709,117.030303,92.969697,3.957576,0.03997,0.056374,0.169259,0.267246,30.044485,snapshots/cost_profile/pair1_llama31_same_all8_full/tipsheets/mtc_receiver/recv_w16_r0.3_cost_0630_1754
tipsheets,ReKV-w16 r=0.5,495,0.886869,0.515614,0.515614,7.543,117.030303,92.969697,3.967677,0.045347,0.065871,0.199227,0.312322,30.044485,snapshots/cost_profile/pair1_llama31_same_all8_full/tipsheets/mtc_receiver/recv_w16_r0.5_cost_0630_1802
tipsheets,ReKV-w16 r=0.7,495,0.892929,0.709298,0.709298,10.376,117.030303,92.969697,3.969697,0.046035,0.064856,0.199145,0.311782,30.044485,snapshots/cost_profile/pair1_llama31_same_all8_full/tipsheets/mtc_receiver/recv_w16_r0.7_cost_0630_1813
tipsheets,ReKV-w8 r=0.3,495,0.868687,0.321869,0.321869,4.709,117.030303,92.969697,3.965657,0.041272,0.057975,0.176355,0.277404,30.044485,snapshots/cost_profile/pair1_llama31_same_all8_full/tipsheets/mtc_receiver/recv_w8_r0.3_cost_0630_1750
tipsheets,ReKV-w8 r=0.5,495,0.874747,0.515614,0.515614,7.543,117.030303,92.969697,3.955556,0.040931,0.055968,0.171919,0.270426,30.044485,snapshots/cost_profile/pair1_llama31_same_all8_full/tipsheets/mtc_receiver/recv_w8_r0.5_cost_0630_1759
