dataset,method,n,score,budget,kv_byte_ratio,kv_mb_sent,ctx_tokens_A,query_tokens_B,output_tokens,t_a_prefill,t_receiver_score,t_generate_total,t_total,peak_mem_gb,run_dir
countries,B-ReKV t=0.95 s=0.75 w8,195,0.487179,0.354485,0.354485,1.574,40.748718,49.230769,2.794872,0.038425,0.065308,0.127599,0.232705,12.021447,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/countries/coverage/cov_t0.95_s0.75_w8_cost_0702_1304
countries,B-ReKV t=0.95 s=0.85 w8,195,0.502564,0.373545,0.373545,1.66,40.748718,49.230769,2.723077,0.036925,0.063432,0.12676,0.228431,12.021447,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/countries/coverage/cov_t0.95_s0.85_w8_cost_0702_1306
countries,B-ReKV t=0.95 s=0.90 w16,195,0.497436,0.390537,0.390537,1.735,40.748718,49.230769,2.74359,0.036783,0.064401,0.125032,0.227629,12.021447,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/countries/coverage/cov_t0.95_s0.90_w16_cost_0702_1307
countries,KVComm top=0.3,195,0.45641,0.338183,0.338183,1.507,40.748718,49.230769,2.466667,0.03202,0.0,0.087909,0.121095,12.017317,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/countries/kvcomm/kvcomm_top0.3_cost_0702_1256
countries,KVComm top=0.5,195,0.558974,0.547178,0.547178,2.438,40.748718,49.230769,2.6,0.046887,0.0,0.137701,0.186134,12.018227,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/countries/kvcomm/kvcomm_top0.5_cost_0702_1257
countries,KVComm top=0.7,195,0.574359,0.686508,0.686508,3.059,40.748718,49.230769,2.579487,0.040688,0.0,0.115635,0.157665,12.018836,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/countries/kvcomm/kvcomm_top0.7_cost_0702_1258
countries,ReKV-w16 r=0.3,195,0.369231,0.330868,0.330868,1.473,40.748718,49.230769,2.661538,0.038216,0.057534,0.124562,0.221575,12.021447,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/countries/mtc_receiver/recv_w16_r0.3_cost_0702_1303
countries,ReKV-w8 r=0.3,195,0.374359,0.330868,0.330868,1.473,40.748718,49.230769,2.641026,0.037918,0.0575,0.123936,0.220625,12.021447,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/countries/mtc_receiver/recv_w8_r0.3_cost_0702_1302
countries,evict_r0.3_cost_0702_1300,195,0.348718,0.330868,0.330868,1.473,40.748718,49.230769,2.666667,0.03437,0.0,0.11015,0.146049,12.009392,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/countries/mtc_evict/evict_r0.3_cost_0702_1300
countries,random_r0.3_cost_0702_1301,195,0.358974,0.330868,0.330868,1.473,40.748718,49.230769,2.641026,0.03888,0.0,0.127128,0.167284,12.009392,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/countries/mtc_random/random_r0.3_cost_0702_1301
hotpotqa,B-ReKV t=0.95 s=0.75 w8,495,0.640404,0.271589,0.271589,3.384,115.579798,50.145455,4.971717,0.036136,0.060217,0.200664,0.29878,12.057302,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/hotpotqa/coverage/cov_t0.95_s0.75_w8_cost_0702_1356
hotpotqa,B-ReKV t=0.95 s=0.85 w8,495,0.638384,0.300467,0.300467,3.747,115.579798,50.145455,4.915152,0.040866,0.06652,0.217777,0.326973,12.057305,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/hotpotqa/coverage/cov_t0.95_s0.85_w8_cost_0702_1400
hotpotqa,B-ReKV t=0.95 s=0.90 w16,495,0.672727,0.367843,0.367843,4.626,115.579798,50.145455,4.921212,0.040536,0.065842,0.219522,0.327668,12.057313,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/hotpotqa/coverage/cov_t0.95_s0.90_w16_cost_0702_1403
hotpotqa,KVComm top=0.3,495,0.468687,0.327742,0.327742,4.138,115.579798,50.145455,5.860606,0.036076,0.0,0.22331,0.261024,12.046853,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/hotpotqa/kvcomm/kvcomm_top0.3_cost_0702_1336
hotpotqa,KVComm top=0.5,495,0.559596,0.504652,0.504652,6.375,115.579798,50.145455,5.555556,0.038292,0.0,0.221254,0.261219,12.050604,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/hotpotqa/kvcomm/kvcomm_top0.5_cost_0702_1339
hotpotqa,KVComm top=0.7,495,0.638384,0.681562,0.681562,8.613,115.579798,50.145455,5.329293,0.040527,0.0,0.224349,0.266854,12.054836,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/hotpotqa/kvcomm/kvcomm_top0.7_cost_0702_1341
hotpotqa,ReKV-w16 r=0.3,495,0.670707,0.324944,0.324944,4.107,115.579798,50.145455,4.709091,0.034925,0.05127,0.18301,0.270817,12.057314,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/hotpotqa/mtc_receiver/recv_w16_r0.3_cost_0702_1353
hotpotqa,ReKV-w8 r=0.3,495,0.646465,0.324944,0.324944,4.107,115.579798,50.145455,4.844444,0.037456,0.054171,0.207522,0.300986,12.057314,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/hotpotqa/mtc_receiver/recv_w8_r0.3_cost_0702_1350
hotpotqa,evict_r0.3_cost_0702_1344,495,0.517172,0.324944,0.324944,4.107,115.579798,50.145455,5.072727,0.035521,0.0,0.19667,0.233815,12.038151,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/hotpotqa/mtc_evict/evict_r0.3_cost_0702_1344
hotpotqa,random_r0.3_cost_0702_1347,495,0.406061,0.324944,0.324944,4.107,115.579798,50.145455,6.381818,0.042839,0.0,0.294059,0.338715,12.038151,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/hotpotqa/mtc_random/random_r0.3_cost_0702_1347
multifieldqa_en,B-ReKV t=0.95 s=0.75 w8,145,0.462069,0.231209,0.231209,179.223,6912.158621,45.275862,15.641379,0.611629,0.076463,0.538866,1.251497,15.394221,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_cost_0702_1659
multifieldqa_en,B-ReKV t=0.95 s=0.85 w8,145,0.482759,0.257113,0.257113,199.439,6912.158621,45.275862,15.641379,0.611223,0.079257,0.553759,1.268707,15.42,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/multifieldqa_en/coverage/cov_t0.95_s0.85_w8_cost_0702_1703
multifieldqa_en,B-ReKV t=0.95 s=0.90 w16,145,0.489655,0.328689,0.328689,252.066,6912.158621,45.275862,15.855172,0.611172,0.07955,0.549817,1.265695,15.481605,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/multifieldqa_en/coverage/cov_t0.95_s0.90_w16_cost_0702_1707
multifieldqa_en,KVComm top=0.3,145,0.144828,0.285859,0.285859,216.083,6912.158621,45.275862,14.206897,0.610534,0.0,0.482504,1.116138,14.897389,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/multifieldqa_en/kvcomm/kvcomm_top0.3_cost_0702_1633
multifieldqa_en,KVComm top=0.5,145,0.503448,0.500101,0.500101,378.063,6912.158621,45.275862,18.268966,0.612644,0.0,0.640819,1.279272,15.224255,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/multifieldqa_en/kvcomm/kvcomm_top0.5_cost_0702_1636
multifieldqa_en,KVComm top=0.7,145,0.482759,0.678637,0.678637,513.047,6912.158621,45.275862,17.951724,0.612573,0.0,0.616256,1.252918,15.496379,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/multifieldqa_en/kvcomm/kvcomm_top0.7_cost_0702_1640
multifieldqa_en,ReKV-w16 r=0.3,145,0.462069,0.325,0.325,245.706,6912.158621,45.275862,15.503448,0.611638,0.074311,0.541734,1.251776,15.467569,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/multifieldqa_en/mtc_receiver/recv_w16_r0.3_cost_0702_1656
multifieldqa_en,ReKV-w8 r=0.3,145,0.462069,0.325,0.325,245.706,6912.158621,45.275862,15.875862,0.611279,0.071245,0.554264,1.261509,15.467569,snapshots/cost_profile/table1_pair6_llama32_abliterated_deepseek3b_full/multifieldqa_en/mtc_receiver/recv_w8_r0.3_cost_0702_1652
