dataset,method,n,score,budget,kv_byte_ratio,kv_mb_sent,ctx_tokens_A,query_tokens_B,output_tokens,t_a_prefill,t_receiver_score,t_generate_total,t_total,peak_mem_gb,run_dir
countries,B-ReKV t=0.95 s=0.75 w8,195,0.358974,0.341178,0.341178,1.118,59.917949,68.230769,3.753846,0.031913,0.051413,0.178458,0.263162,28.441066,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/countries/coverage/cov_t0.95_s0.75_w8_cost_0703_0137
countries,B-ReKV t=0.95 s=0.85 w8,195,0.451282,0.378387,0.378387,1.239,59.917949,68.230769,3.528205,0.033244,0.053392,0.17015,0.258241,28.441066,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/countries/coverage/cov_t0.95_s0.85_w8_cost_0703_0138
countries,B-ReKV t=0.95 s=0.90 w16,195,0.415385,0.374511,0.374511,1.227,59.917949,68.230769,3.579487,0.032123,0.051673,0.17066,0.255803,28.441066,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/countries/coverage/cov_t0.95_s0.90_w16_cost_0703_0140
countries,KVComm top=0.3,195,0.066667,0.332788,0.332788,1.09,59.917949,68.230769,4.420513,0.032917,0.0,0.176317,0.210761,28.438221,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/countries/kvcomm/kvcomm_top0.3_cost_0703_0125
countries,KVComm top=0.5,195,0.087179,0.543487,0.543487,1.781,59.917949,68.230769,4.794872,0.033615,0.0,0.19054,0.225649,28.439091,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/countries/kvcomm/kvcomm_top0.5_cost_0703_0127
countries,KVComm top=0.7,195,0.312821,0.719069,0.719069,2.356,59.917949,68.230769,4.128205,0.032474,0.0,0.157955,0.191886,28.439304,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/countries/kvcomm/kvcomm_top0.7_cost_0703_0129
countries,ReKV-w16 r=0.3,195,0.179487,0.324911,0.324911,1.065,59.917949,68.230769,4.2,0.031659,0.044667,0.19485,0.272616,28.441066,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/countries/mtc_receiver/recv_w16_r0.3_cost_0703_0135
countries,ReKV-w8 r=0.3,195,0.2,0.324911,0.324911,1.065,59.917949,68.230769,4.010256,0.035595,0.051099,0.211821,0.300048,28.441066,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/countries/mtc_receiver/recv_w8_r0.3_cost_0703_0133
countries,evict_r0.3_cost_0703_0130,195,0.010256,0.324911,0.324911,1.065,59.917949,68.230769,4.984615,0.03303,0.0,0.247607,0.282048,28.424898,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/countries/mtc_evict/evict_r0.3_cost_0703_0130
countries,random_r0.3_cost_0703_0132,195,0.071795,0.324911,0.324911,1.065,59.917949,68.230769,4.733333,0.034464,0.0,0.231684,0.267701,28.424811,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/countries/mtc_random/random_r0.3_cost_0703_0132
hotpotqa,B-ReKV t=0.95 s=0.75 w8,495,0.414141,0.330799,0.330799,2.509,139.909091,69.694949,21.884848,0.03553,0.053316,1.050311,1.141072,28.481021,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/hotpotqa/coverage/cov_t0.95_s0.75_w8_cost_0703_0345
hotpotqa,B-ReKV t=0.95 s=0.85 w8,495,0.446465,0.369068,0.369068,2.799,139.909091,69.694949,20.911111,0.035735,0.053306,1.015666,1.106694,28.48078,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/hotpotqa/coverage/cov_t0.95_s0.85_w8_cost_0703_0355
hotpotqa,B-ReKV t=0.95 s=0.90 w16,495,0.40202,0.435637,0.435637,3.331,139.909091,69.694949,22.250505,0.045476,0.065977,1.328614,1.443708,28.481444,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/hotpotqa/coverage/cov_t0.95_s0.90_w16_cost_0703_0405
hotpotqa,KVComm top=0.3,495,0.006061,0.326564,0.326564,2.496,139.909091,69.694949,36.628283,0.036204,0.0,1.437998,1.476218,28.484319,snapshots/cost_profile/table1_pair7_qwen25_uncensored_bespoke_full/hotpotqa/kvcomm/kvcomm_top0.3_cost_0703_0217
