pair,task,window,tau,scale,score,actual_budget,on_pareto_front,path
pair1_llama31_same,countries,8,0.95,0.75,0.615,0.2943774550000002,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/coverage/cov_t0.95_s0.75_w8_0715_1356
pair1_llama31_same,hotpotqa,8,0.95,0.75,0.56,0.2754482219999999,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/coverage/cov_t0.95_s0.75_w8_0715_1455
pair1_llama31_same,multifieldqa_en,8,0.95,0.75,0.5,0.33536828,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_0715_1812
pair1_llama31_same,musique,8,0.95,0.75,0.304,0.27454659399999964,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/musique/coverage/cov_t0.95_s0.75_w8_0715_1604
pair1_llama31_same,qasper,8,0.95,0.75,0.31,0.35253970199999995,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/qasper/coverage/cov_t0.95_s0.75_w8_0715_1706
pair1_llama31_same,tipsheets,8,0.95,0.75,0.712,0.278143484,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/coverage/cov_t0.95_s0.75_w8_0715_1411
pair1_llama31_same,tmath,8,0.95,0.75,0.35593849666666655,0.2648429900000001,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tmath/coverage/cov_t0.95_s0.75_w8_0716_0340
pair1_llama31_same,twowikimqa,8,0.95,0.75,0.43,0.3396907650000001,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/twowikimqa/coverage/cov_t0.95_s0.75_w8_0715_1708
pair2_llama32_same,countries,8,0.95,0.75,0.53,0.27457085,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair2_llama32_same/countries/coverage/cov_t0.95_s0.75_w8_0715_1725
pair2_llama32_same,hotpotqa,8,0.95,0.75,0.498,0.25603113600000005,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair2_llama32_same/hotpotqa/coverage/cov_t0.95_s0.75_w8_0715_1801
pair2_llama32_same,multifieldqa_en,8,0.95,0.75,0.5066666666666667,0.4014879733333332,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair2_llama32_same/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_0716_0820
pair2_llama32_same,musique,8,0.95,0.75,0.232,0.26483521600000004,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair2_llama32_same/musique/coverage/cov_t0.95_s0.75_w8_0715_1848
pair2_llama32_same,qasper,8,0.95,0.75,0.316,0.4067565699999998,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair2_llama32_same/qasper/coverage/cov_t0.95_s0.75_w8_0716_0740
pair2_llama32_same,tipsheets,8,0.95,0.75,0.42,0.23684930000000012,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair2_llama32_same/tipsheets/coverage/cov_t0.95_s0.75_w8_0716_0539
pair2_llama32_same,tmath,8,0.95,0.75,0.3497881966666668,0.25761217333333336,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair2_llama32_same/tmath/coverage/cov_t0.95_s0.75_w8_0716_1623
pair2_llama32_same,twowikimqa,8,0.95,0.75,0.415,0.40148981499999997,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair2_llama32_same/twowikimqa/coverage/cov_t0.95_s0.75_w8_0715_1926
pair3_qwen25_7b_same,countries,8,0.95,0.75,0.23,0.38494854499999986,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair3_qwen25_7b_same/countries/coverage/cov_t0.95_s0.75_w8_0715_1947
pair3_qwen25_7b_same,hotpotqa,8,0.95,0.75,0.49,0.36186102599999986,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair3_qwen25_7b_same/hotpotqa/coverage/cov_t0.95_s0.75_w8_0715_2050
pair3_qwen25_7b_same,multifieldqa_en,8,0.95,0.75,0.41333333333333333,0.33988730000000017,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair3_qwen25_7b_same/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_0716_2103
pair3_qwen25_7b_same,musique,8,0.95,0.75,0.234,0.3209176740000004,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair3_qwen25_7b_same/musique/coverage/cov_t0.95_s0.75_w8_0715_2209
pair3_qwen25_7b_same,qasper,8,0.95,0.75,0.236,0.35022945199999994,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair3_qwen25_7b_same/qasper/coverage/cov_t0.95_s0.75_w8_0716_1958
pair3_qwen25_7b_same,tipsheets,8,0.95,0.75,0.87,0.37128636200000026,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair3_qwen25_7b_same/tipsheets/coverage/cov_t0.95_s0.75_w8_0716_1711
pair3_qwen25_7b_same,tmath,8,0.95,0.75,0.3040080766666669,0.3630525066666668,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair3_qwen25_7b_same/tmath/coverage/cov_t0.95_s0.75_w8_0717_0548
pair3_qwen25_7b_same,twowikimqa,8,0.95,0.75,0.405,0.31823836499999986,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair3_qwen25_7b_same/twowikimqa/coverage/cov_t0.95_s0.75_w8_0715_2310
pair4_falcon3_7b_same,countries,8,0.95,0.75,0.25,0.43569405999999977,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair4_falcon3_7b_same/countries/coverage/cov_t0.95_s0.75_w8_0715_2331
pair4_falcon3_7b_same,hotpotqa,8,0.95,0.75,0.426,0.3392620719999996,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair4_falcon3_7b_same/hotpotqa/coverage/cov_t0.95_s0.75_w8_0716_0030
pair4_falcon3_7b_same,multifieldqa_en,8,0.95,0.75,0.26666666666666666,0.15248373333333334,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair4_falcon3_7b_same/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_0717_1123
pair4_falcon3_7b_same,musique,8,0.95,0.75,0.256,0.2592135399999999,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair4_falcon3_7b_same/musique/coverage/cov_t0.95_s0.75_w8_0716_0151
pair4_falcon3_7b_same,qasper,8,0.95,0.75,0.146,0.21430740199999987,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair4_falcon3_7b_same/qasper/coverage/cov_t0.95_s0.75_w8_0717_1011
pair4_falcon3_7b_same,tipsheets,8,0.95,0.75,0.818,0.3280979540000002,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair4_falcon3_7b_same/tipsheets/coverage/cov_t0.95_s0.75_w8_0717_0637
pair4_falcon3_7b_same,tmath,8,0.95,0.75,0.2966910866666668,0.2963569766666667,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair4_falcon3_7b_same/tmath/coverage/cov_t0.95_s0.75_w8_0717_1957
pair4_falcon3_7b_same,twowikimqa,8,0.95,0.75,0.31,0.14895055500000004,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair4_falcon3_7b_same/twowikimqa/coverage/cov_t0.95_s0.75_w8_0716_0255
pair5_evolcodellama_toolace,countries,8,0.95,0.75,0.27,0.29510624999999996,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair5_evolcodellama_toolace/countries/coverage/cov_t0.95_s0.75_w8_0716_0320
pair5_evolcodellama_toolace,hotpotqa,8,0.95,0.75,0.41,0.28858004399999987,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair5_evolcodellama_toolace/hotpotqa/coverage/cov_t0.95_s0.75_w8_0716_0541
pair5_evolcodellama_toolace,multifieldqa_en,8,0.95,0.75,0.54,0.35942132666666665,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair5_evolcodellama_toolace/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_0718_0132
pair5_evolcodellama_toolace,musique,8,0.95,0.75,0.25,0.3020290919999999,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair5_evolcodellama_toolace/musique/coverage/cov_t0.95_s0.75_w8_0716_0737
pair5_evolcodellama_toolace,qasper,8,0.95,0.75,0.222,0.38363950800000024,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair5_evolcodellama_toolace/qasper/coverage/cov_t0.95_s0.75_w8_0718_0019
pair5_evolcodellama_toolace,tipsheets,8,0.95,0.75,0.824,0.28952167600000006,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair5_evolcodellama_toolace/tipsheets/coverage/cov_t0.95_s0.75_w8_0717_2051
pair5_evolcodellama_toolace,tmath,8,0.95,0.75,0.3561504766666666,0.2803039199999999,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair5_evolcodellama_toolace/tmath/coverage/cov_t0.95_s0.75_w8_0718_1040
pair5_evolcodellama_toolace,twowikimqa,8,0.95,0.75,0.335,0.37488859999999996,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair5_evolcodellama_toolace/twowikimqa/coverage/cov_t0.95_s0.75_w8_0716_0847
pair6_llama32_abliterated_deepseek3b,countries,8,0.95,0.75,0.515,0.35294440500000007,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair6_llama32_abliterated_deepseek3b/countries/coverage/cov_t0.95_s0.75_w8_0716_0904
pair6_llama32_abliterated_deepseek3b,hotpotqa,8,0.95,0.75,0.484,0.2530156239999998,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.95_s0.75_w8_0716_0937
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,8,0.95,0.75,0.5066666666666667,0.3948470466666666,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_0718_1333
pair6_llama32_abliterated_deepseek3b,musique,8,0.95,0.75,0.314,0.2518589280000003,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair6_llama32_abliterated_deepseek3b/musique/coverage/cov_t0.95_s0.75_w8_0716_1018
pair6_llama32_abliterated_deepseek3b,qasper,8,0.95,0.75,0.302,0.40393804800000005,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair6_llama32_abliterated_deepseek3b/qasper/coverage/cov_t0.95_s0.75_w8_0718_1253
pair6_llama32_abliterated_deepseek3b,tipsheets,8,0.95,0.75,0.43,0.23698031599999972,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair6_llama32_abliterated_deepseek3b/tipsheets/coverage/cov_t0.95_s0.75_w8_0718_1128
pair6_llama32_abliterated_deepseek3b,twowikimqa,8,0.95,0.75,0.395,0.39988733500000007,True,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair6_llama32_abliterated_deepseek3b/twowikimqa/coverage/cov_t0.95_s0.75_w8_0716_1056
