pair,task,n,mean,std,min,p10,p25,p50,p75,p90,max,unique_budgets,path
pair1_llama31_same,countries,200,0.2943774550000002,0.005680821319341636,0.265625,0.288942,0.291667,0.294355,0.297852,0.30084,0.309896,133,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/countries/coverage/cov_t0.95_s0.75_w8_0715_1356
pair1_llama31_same,hotpotqa,500,0.2754482219999999,0.020190071576426823,0.219236,0.248667,0.263112,0.27527,0.290039,0.299953,0.340153,486,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/hotpotqa/coverage/cov_t0.95_s0.75_w8_0715_1455
pair1_llama31_same,multifieldqa_en,150,0.33536828,0.033103406742123934,0.214824,0.292807,0.314397,0.341648,0.358312,0.373663,0.412965,149,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_0715_1812
pair1_llama31_same,musique,500,0.27454659399999964,0.0243468739807482,0.159103,0.242654,0.260096,0.275591,0.290774,0.302802,0.337604,500,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/musique/coverage/cov_t0.95_s0.75_w8_0715_1604
pair1_llama31_same,qasper,500,0.35253970199999995,0.022801905493213474,0.289626,0.321734,0.335914,0.353635,0.370385,0.381292,0.412444,434,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/qasper/coverage/cov_t0.95_s0.75_w8_0715_1706
pair1_llama31_same,tipsheets,500,0.278143484,0.007375321737470607,0.255704,0.267562,0.273601,0.278602,0.283152,0.286957,0.297305,451,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/coverage/cov_t0.95_s0.75_w8_0715_1411
pair1_llama31_same,tmath,300,0.2648429900000001,0.024051898118726767,0.199191,0.232105,0.247226,0.267508,0.281803,0.294698,0.327313,297,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tmath/coverage/cov_t0.95_s0.75_w8_0716_0340
pair1_llama31_same,twowikimqa,200,0.3396907650000001,0.02540266925098917,0.274465,0.308791,0.324248,0.340786,0.355141,0.371206,0.400573,200,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/twowikimqa/coverage/cov_t0.95_s0.75_w8_0715_1708
pair2_llama32_same,countries,200,0.27457085,0.0035509916086246406,0.249271,0.271322,0.273109,0.275112,0.276644,0.277902,0.281573,108,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair2_llama32_same/countries/coverage/cov_t0.95_s0.75_w8_0715_1725
pair2_llama32_same,hotpotqa,500,0.25603113600000005,0.017594168820677065,0.205985,0.233221,0.245489,0.256198,0.267857,0.276786,0.315776,485,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair2_llama32_same/hotpotqa/coverage/cov_t0.95_s0.75_w8_0715_1801
pair2_llama32_same,multifieldqa_en,150,0.4014879733333332,0.04467844716421996,0.238495,0.344468,0.375645,0.414454,0.432601,0.449694,0.470731,149,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair2_llama32_same/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_0716_0820
pair2_llama32_same,musique,500,0.26483521600000004,0.024837921285907845,0.151294,0.232639,0.250893,0.267255,0.280394,0.293858,0.338414,498,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair2_llama32_same/musique/coverage/cov_t0.95_s0.75_w8_0715_1848
pair2_llama32_same,qasper,500,0.4067565699999998,0.027624251046442037,0.334275,0.370122,0.387058,0.408678,0.427366,0.440701,0.473259,434,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair2_llama32_same/qasper/coverage/cov_t0.95_s0.75_w8_0716_0740
pair2_llama32_same,tipsheets,500,0.23684930000000012,0.005855495395494157,0.219988,0.229044,0.233051,0.236917,0.240669,0.24443,0.252976,443,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair2_llama32_same/tipsheets/coverage/cov_t0.95_s0.75_w8_0716_0539
pair2_llama32_same,tmath,300,0.25761217333333336,0.023144174450025208,0.183973,0.225626,0.240541,0.259943,0.274725,0.285395,0.315863,297,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair2_llama32_same/tmath/coverage/cov_t0.95_s0.75_w8_0716_1623
pair2_llama32_same,twowikimqa,200,0.40148981499999997,0.03275142510476055,0.27683,0.363973,0.384989,0.405305,0.423307,0.438202,0.475643,200,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair2_llama32_same/twowikimqa/coverage/cov_t0.95_s0.75_w8_0715_1926
