pair,task,brekv_score,brekv_budget,best_rekv_score,best_rekv_budget,best_rekv_ratio,delta_vs_best,nearest_rekv_score,nearest_rekv_budget,nearest_ratio,delta_vs_nearest
pair1_llama31_same,countries,0.615,0.2943774550000002,0.605,0.32352516999999986,0.3,0.010000000000000009,0.585,0.2736311349999994,0.25,0.030000000000000027
pair1_llama31_same,hotpotqa,0.56,0.2754482219999999,0.718,0.6126319660000008,0.6,-0.15799999999999992,0.57,0.2736553139999998,0.25,-0.009999999999999898
pair1_llama31_same,multifieldqa_en,0.5,0.33536828,0.5466666666666666,0.612487893333333,0.6,-0.046666666666666634,0.49333333333333335,0.3218667266666666,0.3,0.006666666666666654
pair1_llama31_same,musique,0.304,0.27454659399999964,0.454,0.6124955300000012,0.6,-0.15000000000000002,0.338,0.2734137259999997,0.25,-0.03400000000000003
pair1_llama31_same,qasper,0.31,0.35253970199999995,0.324,0.5156114960000001,0.5,-0.014000000000000012,0.32,0.3703066080000003,0.35,-0.010000000000000009
pair1_llama31_same,tipsheets,0.712,0.278143484,0.902,0.6124680340000002,0.6,-0.19000000000000006,0.524,0.2734495499999996,0.25,0.18799999999999994
pair1_llama31_same,tmath,0.35593849666666655,0.2648429900000001,0.36328120000000036,0.5156143666666663,0.5,-0.007342703333333811,0.3488883133333335,0.273445753333333,0.25,0.007050183333333071
pair1_llama31_same,twowikimqa,0.43,0.3396907650000001,0.43,0.3703149049999999,0.35,0.0,0.41,0.32187672000000006,0.3,0.020000000000000018
pair2_llama32_same,countries,0.53,0.27457085,0.58,0.614028295000001,0.6,-0.04999999999999993,0.49,0.27697837,0.25,0.040000000000000036
pair2_llama32_same,hotpotqa,0.498,0.25603113600000005,0.682,0.6144171079999997,0.6,-0.18400000000000005,0.518,0.2770024880000001,0.25,-0.020000000000000018
pair2_llama32_same,multifieldqa_en,0.5066666666666667,0.4014879733333332,0.5333333333333333,0.3732060066666668,0.35,-0.026666666666666616,0.52,0.4214407666666668,0.4,-0.013333333333333308
pair2_llama32_same,musique,0.232,0.26483521600000004,0.342,0.6142813059999989,0.6,-0.11000000000000001,0.228,0.27676200599999984,0.25,0.0040000000000000036
pair2_llama32_same,qasper,0.316,0.4067565699999998,0.324,0.5178436419999992,0.5,-0.008000000000000007,0.312,0.42142598599999886,0.4,0.0040000000000000036
pair2_llama32_same,tipsheets,0.42,0.23684930000000012,0.714,0.6142539040000006,0.6,-0.294,0.372,0.22866915800000012,0.2,0.04799999999999999
pair2_llama32_same,tmath,0.3497881966666668,0.25761217333333336,0.36018941333333315,0.6142958833333334,0.6,-0.01040121666666638,0.3426109866666666,0.2767939033333334,0.25,0.007177210000000156
pair2_llama32_same,twowikimqa,0.415,0.40148981499999997,0.42,0.228565815,0.2,-0.0050000000000000044,0.395,0.42143406500000025,0.4,0.019999999999999962
