pair,task,brekv_score,global_rekv_score,delta,brekv_budget,global_budget,global_ratio
pair1_llama31_same,countries,0.615,0.585,0.030000000000000027,0.2943774550000002,0.6122411499999991,0.6
pair1_llama31_same,hotpotqa,0.56,0.718,-0.15799999999999992,0.2754482219999999,0.6126319660000008,0.6
pair1_llama31_same,multifieldqa_en,0.5,0.5466666666666666,-0.046666666666666634,0.33536828,0.612487893333333,0.6
pair1_llama31_same,musique,0.304,0.454,-0.15000000000000002,0.27454659399999964,0.6124955300000012,0.6
pair1_llama31_same,qasper,0.31,0.316,-0.006000000000000005,0.35253970199999995,0.612502688000002,0.6
pair1_llama31_same,tipsheets,0.712,0.902,-0.19000000000000006,0.278143484,0.6124680340000002,0.6
pair1_llama31_same,tmath,0.35593849666666655,0.3608801166666668,-0.0049416200000002575,0.2648429900000001,0.612510206666667,0.6
pair1_llama31_same,twowikimqa,0.43,0.415,0.015000000000000013,0.3396907650000001,0.6124945549999999,0.6
pair2_llama32_same,countries,0.53,0.58,-0.04999999999999993,0.27457085,0.614028295000001,0.6
pair2_llama32_same,hotpotqa,0.498,0.682,-0.18400000000000005,0.25603113600000005,0.6144171079999997,0.6
pair2_llama32_same,multifieldqa_en,0.5066666666666667,0.5,0.00666666666666671,0.4014879733333332,0.6142736866666674,0.6
pair2_llama32_same,musique,0.232,0.342,-0.11000000000000001,0.26483521600000004,0.6142813059999989,0.6
pair2_llama32_same,qasper,0.316,0.324,-0.008000000000000007,0.4067565699999998,0.6142884179999998,0.6
pair2_llama32_same,tipsheets,0.42,0.714,-0.294,0.23684930000000012,0.6142539040000006,0.6
pair2_llama32_same,tmath,0.3497881966666668,0.36018941333333315,-0.01040121666666638,0.25761217333333336,0.6142958833333334,0.6
pair2_llama32_same,twowikimqa,0.415,0.4,0.014999999999999958,0.40148981499999997,0.6142803250000004,0.6
pair3_qwen25_7b_same,countries,0.23,0.365,-0.13499999999999998,0.38494854499999986,0.6140593000000003,0.6
pair3_qwen25_7b_same,hotpotqa,0.49,0.652,-0.16200000000000003,0.36186102599999986,0.6143471200000005,0.6
pair3_qwen25_7b_same,multifieldqa_en,0.41333333333333333,0.4666666666666667,-0.053333333333333344,0.33988730000000017,0.6142888400000002,0.6
pair3_qwen25_7b_same,musique,0.234,0.372,-0.13799999999999998,0.3209176740000004,0.6142829579999993,0.6
pair3_qwen25_7b_same,qasper,0.236,0.336,-0.10000000000000003,0.35022945199999994,0.614291873999999,0.6
pair3_qwen25_7b_same,tipsheets,0.87,0.934,-0.06400000000000006,0.37128636200000026,0.6143386320000007,0.6
pair3_qwen25_7b_same,tmath,0.3040080766666669,0.3214439000000001,-0.01743582333333321,0.3630525066666668,0.6143839933333337,0.6
pair3_qwen25_7b_same,twowikimqa,0.405,0.46,-0.05499999999999999,0.31823836499999986,0.6142742800000004,0.6
pair4_falcon3_7b_same,countries,0.25,0.405,-0.15500000000000003,0.43569405999999977,0.6139609100000001,0.6
pair4_falcon3_7b_same,hotpotqa,0.426,0.6,-0.174,0.3392620719999996,0.6141236979999998,0.6
pair4_falcon3_7b_same,multifieldqa_en,0.26666666666666666,0.4533333333333333,-0.18666666666666665,0.15248373333333334,0.6142905333333338,0.6
pair4_falcon3_7b_same,musique,0.256,0.402,-0.14600000000000002,0.2592135399999999,0.614252,0.6
pair4_falcon3_7b_same,qasper,0.146,0.238,-0.092,0.21430740199999987,0.6142873359999992,0.6
pair4_falcon3_7b_same,tipsheets,0.818,0.928,-0.1100000000000001,0.3280979540000002,0.6141721279999994,0.6
pair4_falcon3_7b_same,tmath,0.2966910866666668,0.30103693999999975,-0.0043458533333329274,0.2963569766666667,0.61428933,0.6
pair4_falcon3_7b_same,twowikimqa,0.31,0.4,-0.09000000000000002,0.14895055500000004,0.6142794250000003,0.6
pair5_evolcodellama_toolace,countries,0.27,0.59,-0.31999999999999995,0.29510624999999996,0.6122411499999991,0.6
pair5_evolcodellama_toolace,hotpotqa,0.41,0.608,-0.198,0.28858004399999987,0.6126319660000008,0.6
pair5_evolcodellama_toolace,multifieldqa_en,0.54,0.5466666666666666,-0.006666666666666599,0.35942132666666665,0.612487893333333,0.6
pair5_evolcodellama_toolace,musique,0.25,0.338,-0.08800000000000002,0.3020290919999999,0.6124955300000012,0.6
pair5_evolcodellama_toolace,qasper,0.222,0.24,-0.017999999999999988,0.38363950800000024,0.612502688000002,0.6
pair5_evolcodellama_toolace,tipsheets,0.824,0.916,-0.09200000000000008,0.28952167600000006,0.6124680340000002,0.6
pair5_evolcodellama_toolace,tmath,0.3561504766666666,0.3709790066666667,-0.014828530000000117,0.2803039199999999,0.612510206666667,0.6
pair5_evolcodellama_toolace,twowikimqa,0.335,0.39,-0.05499999999999999,0.37488859999999996,0.6124945549999999,0.6
pair6_llama32_abliterated_deepseek3b,countries,0.515,0.545,-0.030000000000000027,0.35294440500000007,0.6138358500000007,0.6
pair6_llama32_abliterated_deepseek3b,hotpotqa,0.484,0.696,-0.21199999999999997,0.2530156239999998,0.6144441159999993,0.6
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,0.5066666666666667,0.49333333333333335,0.013333333333333364,0.3948470466666666,0.6142735466666672,0.6
pair6_llama32_abliterated_deepseek3b,musique,0.314,0.404,-0.09000000000000002,0.2518589280000003,0.6142847919999999,0.6
pair6_llama32_abliterated_deepseek3b,qasper,0.302,0.302,0.0,0.40393804800000005,0.614288486,0.6
pair6_llama32_abliterated_deepseek3b,tipsheets,0.43,0.694,-0.26399999999999996,0.23698031599999972,0.6142487740000001,0.6
pair6_llama32_abliterated_deepseek3b,twowikimqa,0.395,0.41,-0.014999999999999958,0.39988733500000007,0.6142802600000005,0.6
pair7_qwen25_uncensored_bespoke,countries,0.485,0.495,-0.010000000000000009,0.4008138700000001,0.6140593000000003,0.6
pair7_qwen25_uncensored_bespoke,hotpotqa,0.352,0.466,-0.11400000000000005,0.38534502800000026,0.6143471200000005,0.6
pair7_qwen25_uncensored_bespoke,musique,0.224,0.332,-0.10800000000000001,0.34411705199999976,0.6142829579999993,0.6
pair7_qwen25_uncensored_bespoke,twowikimqa,0.17,0.175,-0.004999999999999977,0.3416963749999999,0.6142742800000004,0.6
