pair,task,target_method,target_score,target_actual_budget,baseline_method,matched_baseline_score,score_delta,match_status,fixed_ratio_bracket
pair1_llama31_same,countries,B-ReKV,0.615,0.2943774550000002,ReKV,0.5933161524218278,0.02168384757817221,matched,0.25..0.3
pair1_llama31_same,countries,B-ReKV,0.615,0.2943774550000002,ValueNorm/Evict,0.5737628856836291,0.04123711431637089,matched,0.25..0.3
pair1_llama31_same,countries,B-ReKV,0.615,0.2943774550000002,Random,0.34405499074188073,0.27094500925811926,matched,0.25..0.3
pair1_llama31_same,hotpotqa,B-ReKV,0.56,0.2754482219999999,ReKV,0.5722259136460103,-0.012225913646010222,matched,0.25..0.3
pair1_llama31_same,hotpotqa,B-ReKV,0.56,0.2754482219999999,ValueNorm/Evict,0.5233355481876062,0.03666445181239386,matched,0.25..0.3
pair1_llama31_same,hotpotqa,B-ReKV,0.56,0.2754482219999999,Random,0.36081949061827967,0.19918050938172038,matched,0.25..0.3
pair1_llama31_same,multifieldqa_en,B-ReKV,0.5,0.33536828,ReKV,0.49333333333333335,0.006666666666666654,matched,0.3..0.35
pair1_llama31_same,multifieldqa_en,B-ReKV,0.5,0.33536828,ValueNorm/Evict,0.3285249442076216,0.17147505579237837,matched,0.3..0.35
pair1_llama31_same,multifieldqa_en,B-ReKV,0.5,0.33536828,Random,0.3996746094533513,0.10032539054664869,matched,0.3..0.35
pair1_llama31_same,musique,B-ReKV,0.304,0.27454659399999964,ReKV,0.3385146745597859,-0.03451467455978591,matched,0.25..0.3
pair1_llama31_same,musique,B-ReKV,0.304,0.27454659399999964,ValueNorm/Evict,0.2806082517524743,0.023391748247525712,matched,0.25..0.3
pair1_llama31_same,musique,B-ReKV,0.304,0.27454659399999964,Random,0.14460825175247424,0.15939174824752575,matched,0.25..0.3
pair1_llama31_same,qasper,B-ReKV,0.31,0.35253970199999995,ReKV,0.31119594999333905,-0.0011959499933390516,matched,0.3..0.35
pair1_llama31_same,qasper,B-ReKV,0.31,0.35253970199999995,ValueNorm/Evict,0.27479392499000854,0.035206075009991455,matched,0.3..0.35
pair1_llama31_same,qasper,B-ReKV,0.31,0.35253970199999995,Random,0.23039189998667806,0.07960810001332194,matched,0.3..0.35
pair1_llama31_same,tipsheets,B-ReKV,0.712,0.278143484,ReKV,0.5286542829995564,0.18334571700044355,matched,0.25..0.3
pair1_llama31_same,tipsheets,B-ReKV,0.712,0.278143484,ValueNorm/Evict,0.6268482114578713,0.08515178854212868,matched,0.25..0.3
pair1_llama31_same,tipsheets,B-ReKV,0.712,0.278143484,Random,0.601042139916186,0.11095786008381392,matched,0.25..0.3
pair1_llama31_same,tmath,B-ReKV,0.35593849666666655,0.2648429900000001,ReKV,0.34912731834733496,0.00681117831933159,matched,0.2..0.25
pair1_llama31_same,tmath,B-ReKV,0.35593849666666655,0.2648429900000001,ValueNorm/Evict,0.3488898145590344,0.007048682107632154,matched,0.2..0.25
pair1_llama31_same,tmath,B-ReKV,0.35593849666666655,0.2648429900000001,Random,0.34135486219627315,0.014583634470393403,matched,0.2..0.25
pair1_llama31_same,twowikimqa,B-ReKV,0.43,0.3396907650000001,ReKV,0.4173553726259562,0.012644627374043815,matched,0.3..0.35
pair1_llama31_same,twowikimqa,B-ReKV,0.43,0.3396907650000001,ValueNorm/Evict,0.33419421578244524,0.09580578421755476,matched,0.3..0.35
pair1_llama31_same,twowikimqa,B-ReKV,0.43,0.3396907650000001,Random,0.3081611568435109,0.12183884315648907,matched,0.3..0.35
pair2_llama32_same,countries,B-ReKV,0.53,0.27457085,ReKV,0.48975054325683876,0.04024945674316127,matched,0.2..0.25
pair2_llama32_same,countries,B-ReKV,0.53,0.27457085,ValueNorm/Evict,0.4692516297705162,0.06074837022948382,matched,0.2..0.25
