idx,rasc_recall,evict_recall,random_recall,query_tokens,sketch_tokens,sketch_query_ratio,sketch_token_id_bytes,sketch_hidden_bytes
0,0.0,0.0,0.0,68,8,0.117647,32,65536
1,0.0,0.0,0.0,74,8,0.108108,32,65536
2,0.0,0.0,0.0,76,8,0.105263,32,65536
3,0.0,0.5,0.5,74,8,0.108108,32,65536
4,0.5,0.5,0.0,70,8,0.114286,32,65536
5,0.0,0.0,0.0,71,8,0.112676,32,65536
6,0.666667,0.0,0.0,86,8,0.093023,32,65536
7,0.0,0.5,0.0,86,8,0.093023,32,65536
8,1.0,0.5,1.0,72,8,0.111111,32,65536
9,0.0,0.0,0.0,84,8,0.095238,32,65536
10,0.5,0.0,0.0,72,8,0.111111,32,65536
11,1.0,0.75,0.0,70,8,0.114286,32,65536
12,0.5,0.5,0.5,69,8,0.115942,32,65536
13,0.666667,0.666667,0.0,69,8,0.115942,32,65536
14,0.5,0.0,0.5,79,8,0.101266,32,65536
15,0.0,0.153846,0.192308,80,8,0.1,32,65536
16,0.0,0.0,0.0,72,8,0.111111,32,65536
17,0.5,0.0,0.0,63,8,0.126984,32,65536
18,0.666667,0.0,0.0,77,8,0.103896,32,65536
19,0.0,0.0,0.0,71,8,0.112676,32,65536
20,0.25,0.25,0.5,71,8,0.112676,32,65536
21,0.0,0.0,0.0,77,8,0.103896,32,65536
22,0.333333,0.333333,0.0,69,8,0.115942,32,65536
23,0.0,0.0,0.0,69,8,0.115942,32,65536
24,0.0,0.0,0.0,73,8,0.109589,32,65536
25,0.0,0.0,0.0,77,8,0.103896,32,65536
26,0.0,0.0,0.333333,96,8,0.083333,32,65536
27,0.0,0.0,0.0,68,8,0.117647,32,65536
28,0.333333,0.166667,0.333333,75,8,0.106667,32,65536
29,0.0,0.0,0.0,72,8,0.111111,32,65536
30,0.5,0.5,0.5,76,8,0.105263,32,65536
31,0.0,0.0,0.0,75,8,0.106667,32,65536
32,0.333333,0.333333,0.0,83,8,0.096386,32,65536
33,0.0,0.0,0.0,72,8,0.111111,32,65536
34,0.25,0.0,0.25,68,8,0.117647,32,65536
35,1.0,0.0,0.0,69,8,0.115942,32,65536
36,0.0,0.0,0.0,68,8,0.117647,32,65536
37,0.0,0.0,0.0,72,8,0.111111,32,65536
38,1.0,0.0,0.0,74,8,0.108108,32,65536
39,0.666667,0.333333,0.333333,100,8,0.08,32,65536
40,0.4,0.0,0.3,77,8,0.103896,32,65536
41,0.0,0.333333,0.111111,75,8,0.106667,32,65536
42,0.0,0.0,0.0,70,8,0.114286,32,65536
43,1.0,0.0,0.0,69,8,0.115942,32,65536
44,0.666667,0.0,0.333333,78,8,0.102564,32,65536
45,1.0,0.333333,0.333333,70,8,0.114286,32,65536
46,1.0,0.0,1.0,72,8,0.111111,32,65536
47,0.0,0.0,0.0,72,8,0.111111,32,65536
48,0.0,0.0,0.0,81,8,0.098765,32,65536
49,1.0,0.0,0.333333,76,8,0.105263,32,65536
