idx,rekv_recall,evict_recall,random_recall,query_tokens,sketch_tokens,sketch_query_ratio,sketch_token_id_bytes,sketch_hidden_bytes
0,0.4,0.2,0.2,68,8,0.117647,32,65536
1,0.0,0.0,0.0,67,8,0.119403,32,65536
2,0.222222,0.0,0.111111,72,8,0.111111,32,65536
3,0.125,0.0,0.125,66,8,0.121212,32,65536
4,0.0,0.0,0.214286,77,8,0.103896,32,65536
5,0.142857,0.0,0.0,74,8,0.108108,32,65536
6,0.1,0.0,0.2,65,8,0.123077,32,65536
7,1.0,0.0,0.0,72,8,0.111111,32,65536
8,0.181818,0.0,0.0,72,8,0.111111,32,65536
9,0.4,0.0,0.0,67,8,0.119403,32,65536
10,0.04,0.0,0.16,81,8,0.098765,32,65536
11,1.0,0.0,0.166667,66,8,0.121212,32,65536
12,0.571429,0.142857,0.0,72,8,0.111111,32,65536
13,0.2,0.0,0.0,65,8,0.123077,32,65536
14,1.0,0.0,0.0,71,8,0.112676,32,65536
15,0.333333,0.0,0.0,66,8,0.121212,32,65536
16,0.090909,0.0,0.0,67,8,0.119403,32,65536
17,0.222222,0.0,0.222222,69,8,0.115942,32,65536
18,0.363636,0.0,0.181818,70,8,0.114286,32,65536
19,0.666667,0.0,0.333333,65,8,0.123077,32,65536
20,0.272727,0.090909,0.181818,68,8,0.117647,32,65536
21,0.25,0.0,0.0,67,8,0.119403,32,65536
22,1.0,0.0,0.0,70,8,0.114286,32,65536
23,0.25,0.0,0.0,70,8,0.114286,32,65536
24,0.058824,0.0,0.176471,77,8,0.103896,32,65536
25,0.083333,0.083333,0.083333,74,8,0.108108,32,65536
26,0.076923,0.0,0.153846,73,8,0.109589,32,65536
27,1.0,0.0,0.0,76,8,0.105263,32,65536
28,1.0,0.0,0.0,70,8,0.114286,32,65536
29,0.2,0.0,0.4,64,8,0.125,32,65536
30,0.0,0.0,0.0,67,8,0.119403,32,65536
31,0.333333,0.083333,0.25,69,8,0.115942,32,65536
32,0.0,0.0,0.066667,69,8,0.115942,32,65536
33,0.384615,0.0,0.076923,67,8,0.119403,32,65536
34,0.0,0.0,0.307692,72,8,0.111111,32,65536
35,0.263158,0.0,0.105263,75,8,0.106667,32,65536
36,1.0,0.0,0.0,67,8,0.119403,32,65536
37,0.0,0.0,0.1,75,8,0.106667,32,65536
38,0.142857,0.0,0.142857,70,8,0.114286,32,65536
39,0.428571,0.0,0.142857,72,8,0.111111,32,65536
40,0.0,0.0,0.166667,66,8,0.121212,32,65536
41,0.125,0.0,0.0,67,8,0.119403,32,65536
42,0.0,0.111111,0.111111,74,8,0.108108,32,65536
43,0.230769,0.0,0.153846,65,8,0.123077,32,65536
44,0.12,0.0,0.04,69,8,0.115942,32,65536
45,0.0,0.0,0.1,75,8,0.106667,32,65536
46,0.166667,0.0,0.166667,69,8,0.115942,32,65536
47,0.090909,0.0,0.090909,69,8,0.115942,32,65536
48,0.125,0.125,0.0,67,8,0.119403,32,65536
49,0.0,0.0,0.0,80,8,0.1,32,65536
