task,method_a,method_b,fraction,n,mean_diff,ci_low,ci_high,wins,losses,ties,bytes_a_mb,bytes_b_mb
hotpotqa,rekv,recv_layer,0.1,200,0.005,-0.06,0.07,23,22,155,4.502,4.512
hotpotqa,rekv,recv_layer,0.3,200,0.3,0.225,0.375,69,9,122,8.021,7.936
hotpotqa,rekv,recv_layer,0.5,200,0.41,0.34,0.485,88,6,106,11.585,11.93
hotpotqa,rekv,kvcomm,0.1,200,-0.055,-0.12,0.01,16,27,157,4.502,2.414
hotpotqa,rekv,kvcomm,0.3,200,0.255,0.175,0.335,65,14,121,8.021,5.268
hotpotqa,rekv,kvcomm,0.5,200,0.08,0.02,0.145,29,13,158,11.585,9.262
hotpotqa,rekv,evict,0.1,200,0.045,0.0,0.09,14,5,181,4.502,2.404
hotpotqa,rekv,evict,0.3,200,0.01,-0.065,0.085,28,26,146,8.021,5.923
hotpotqa,rekv,evict,0.5,200,0.035,-0.02,0.09,18,11,171,11.585,9.488
hotpotqa,recv_layer,kvcomm,0.1,200,-0.06,-0.115,-0.005,10,22,168,4.512,2.414
hotpotqa,recv_layer,kvcomm,0.3,200,-0.045,-0.115,0.025,21,30,149,7.936,5.268
hotpotqa,recv_layer,kvcomm,0.5,200,-0.33,-0.405,-0.26,5,71,124,11.93,9.262
hotpotqa,recv_layer,random_layer,0.1,200,0.18,0.125,0.24,38,2,160,4.512,2.414
hotpotqa,recv_layer,random_layer,0.3,200,0.06,0.01,0.11,19,7,174,7.936,5.268
hotpotqa,recv_layer,random_layer,0.5,200,-0.28,-0.35,-0.21,6,62,132,11.93,9.262
hotpotqa,kvcomm,random_layer,0.1,200,0.24,0.18,0.3,49,1,150,2.414,2.414
hotpotqa,kvcomm,random_layer,0.3,200,0.105,0.04,0.175,33,12,155,5.268,5.268
hotpotqa,kvcomm,random_layer,0.5,200,0.05,-0.015,0.12,31,21,148,9.262,9.262
hotpotqa,rekv,rekv_shuffled,0.1,200,0.035,0.0,0.07,10,3,187,4.502,4.502
hotpotqa,rekv,rekv_shuffled,0.3,200,0.165,0.1,0.235,42,9,149,8.021,8.021
hotpotqa,rekv,rekv_shuffled,0.5,200,0.11,0.055,0.165,28,6,166,11.585,11.585
multifieldqa_en,rekv,recv_layer,0.1,145,0.3172,0.2276,0.4069,51,5,89,119.184,116.444
multifieldqa_en,rekv,recv_layer,0.3,145,0.4276,0.3379,0.5172,67,5,73,296.237,287.765
multifieldqa_en,rekv,recv_layer,0.5,145,0.4069,0.3103,0.5034,66,7,72,473.295,487.639
