task,method,fraction,n,score,skyline,recovered_skyline,bytes_mean,bytes_mb,a2b_mb,budget_mean,run_dir
hotpotqa,full_kv,,200,0.735,0.7,1.05,18392264.0,18.3923,18.3923,1.0,snapshots/layer_vs_token_v1/pair1_llama31_same/hotpotqa/full_kv/full_kv_0729_1328
hotpotqa,kvcomm,0.1,200,0.25,0.7,0.3571,2414400.0,2.4144,2.4144,0.13157008999999986,snapshots/layer_vs_token_v1/pair1_llama31_same/hotpotqa/kvcomm/kvcomm_top0.1_0729_1329
hotpotqa,kvcomm,0.3,200,0.335,0.7,0.4786,5267590.0,5.2676,5.2676,0.286646825,snapshots/layer_vs_token_v1/pair1_llama31_same/hotpotqa/kvcomm/kvcomm_top0.3_0729_1345
hotpotqa,kvcomm,0.5,200,0.635,0.7,0.9071,9262056.0,9.2621,9.2621,0.5037543049999994,snapshots/layer_vs_token_v1/pair1_llama31_same/hotpotqa/kvcomm/kvcomm_top0.5_0729_1354
hotpotqa,random_layer,0.1,200,0.01,0.7,0.0143,2414400.0,2.4144,2.4144,0.13157008999999986,snapshots/layer_vs_token_v1/pair1_llama31_same/hotpotqa/random_layer/random_layer_top0.1_0729_1331
hotpotqa,random_layer,0.3,200,0.23,0.7,0.3286,5267590.0,5.2676,5.2676,0.286646825,snapshots/layer_vs_token_v1/pair1_llama31_same/hotpotqa/random_layer/random_layer_top0.3_0729_1347
hotpotqa,random_layer,0.5,200,0.585,0.7,0.8357,9262056.0,9.2621,9.2621,0.5037543049999994,snapshots/layer_vs_token_v1/pair1_llama31_same/hotpotqa/random_layer/random_layer_top0.5_0729_1356
hotpotqa,recv_layer,0.1,200,0.19,0.7,0.2714,4512072.0,4.5121,2.4144,0.13157008999999986,snapshots/layer_vs_token_v1/pair1_llama31_same/hotpotqa/recv_layer/recv_layer_f0.1_0729_1336
hotpotqa,recv_layer,0.3,200,0.29,0.7,0.4143,7935900.0,7.9359,5.8382,0.31766215500000006,snapshots/layer_vs_token_v1/pair1_llama31_same/hotpotqa/recv_layer/recv_layer_f0.3_0729_1349
hotpotqa,recv_layer,0.5,200,0.305,0.7,0.4357,11930366.0,11.9304,9.8327,0.5347696550000001,snapshots/layer_vs_token_v1/pair1_llama31_same/hotpotqa/recv_layer/recv_layer_f0.5_0729_1357
hotpotqa,evict,0.1,200,0.15,0.7,0.2143,2404355.0,2.4044,2.4044,0.13182442500000013,snapshots/layer_vs_token_v1/pair1_llama31_same/hotpotqa/evict/evict_r0.1_0729_1339
hotpotqa,evict,0.3,200,0.58,0.7,0.8286,5923118.5,5.9231,5.9231,0.32196913499999996,snapshots/layer_vs_token_v1/pair1_llama31_same/hotpotqa/evict/evict_r0.3_0729_1351
hotpotqa,evict,0.5,200,0.68,0.7,0.9714,9487638.0,9.4876,9.4876,0.515814675,snapshots/layer_vs_token_v1/pair1_llama31_same/hotpotqa/evict/evict_r0.5_0729_1359
hotpotqa,rekv,0.1,200,0.195,0.7,0.2786,4502027.0,4.502,2.4044,0.13182442500000013,snapshots/layer_vs_token_v1/pair1_llama31_same/hotpotqa/rekv/rekv_w8_r0.1_0729_1342
hotpotqa,rekv,0.3,200,0.59,0.7,0.8429,8020790.5,8.0208,5.9231,0.32196913499999996,snapshots/layer_vs_token_v1/pair1_llama31_same/hotpotqa/rekv/rekv_w8_r0.3_0729_1353
hotpotqa,rekv,0.5,200,0.715,0.7,1.0214,11585310.0,11.5853,9.4876,0.515814675,snapshots/layer_vs_token_v1/pair1_llama31_same/hotpotqa/rekv/rekv_w8_r0.5_0729_1401
