task,method,recv_window,ratio,sketch_tokens,n,score,budget,run_dir,query_tokens_mean,query_tokens_min,query_tokens_max,query_tokens_n,sketch_tokens_mean,sketch_query_ratio,sketch_token_id_bytes,sketch_hidden_bytes
hotpotqa,Evict/ValueNorm,,0.3,0,500,0.568,0.321984,snapshots/query_fairness/pair1_llama31_same/hotpotqa/mtc_evict/evict_r0.3_0701_1314,75.118,63,100,500,0.0,0.0,0.0,0.0
hotpotqa,ReKV,0,0.3,all,500,0.588,0.321984,snapshots/query_fairness/pair1_llama31_same/hotpotqa/mtc_receiver/recv_w0_r0.3_0701_1342,75.118,63,100,500,75.118,1.0,300.472,615366.656
hotpotqa,ReKV,16,0.3,16,500,0.7,0.321984,snapshots/query_fairness/pair1_llama31_same/hotpotqa/mtc_receiver/recv_w16_r0.3_0701_1333,75.118,63,100,500,16.0,0.212998,64.0,131072.0
hotpotqa,ReKV,32,0.3,32,500,0.67,0.321984,snapshots/query_fairness/pair1_llama31_same/hotpotqa/mtc_receiver/recv_w32_r0.3_0701_1337,75.118,63,100,500,32.0,0.425996,128.0,262144.0
hotpotqa,ReKV,4,0.3,4,500,0.654,0.321984,snapshots/query_fairness/pair1_llama31_same/hotpotqa/mtc_receiver/recv_w4_r0.3_0701_1323,75.118,63,100,500,4.0,0.05325,16.0,32768.0
hotpotqa,ReKV,8,0.3,8,500,0.696,0.321984,snapshots/query_fairness/pair1_llama31_same/hotpotqa/mtc_receiver/recv_w8_r0.3_0701_1328,75.118,63,100,500,8.0,0.106499,32.0,65536.0
hotpotqa,Random-token,,0.3,0,500,0.432,0.321984,snapshots/query_fairness/pair1_llama31_same/hotpotqa/mtc_random/random_r0.3_0701_1318,75.118,63,100,500,0.0,0.0,0.0,0.0
multifieldqa_en,Evict/ValueNorm,,0.3,0,150,0.333333,0.321867,snapshots/query_fairness/pair1_llama31_same/multifieldqa_en/mtc_evict/evict_r0.3_0701_1354,70.26666666666667,63,83,150,0.0,0.0,0.0,0.0
multifieldqa_en,ReKV,0,0.3,all,150,0.513333,0.321867,snapshots/query_fairness/pair1_llama31_same/multifieldqa_en/mtc_receiver/recv_w0_r0.3_0701_1433,70.26666666666667,63,83,150,70.266667,1.0,281.067,575624.533
multifieldqa_en,ReKV,16,0.3,16,150,0.513333,0.321867,snapshots/query_fairness/pair1_llama31_same/multifieldqa_en/mtc_receiver/recv_w16_r0.3_0701_1419,70.26666666666667,63,83,150,16.0,0.227704,64.0,131072.0
multifieldqa_en,ReKV,32,0.3,32,150,0.5,0.321867,snapshots/query_fairness/pair1_llama31_same/multifieldqa_en/mtc_receiver/recv_w32_r0.3_0701_1426,70.26666666666667,63,83,150,32.0,0.455408,128.0,262144.0
multifieldqa_en,ReKV,4,0.3,4,150,0.513333,0.321867,snapshots/query_fairness/pair1_llama31_same/multifieldqa_en/mtc_receiver/recv_w4_r0.3_0701_1406,70.26666666666667,63,83,150,4.0,0.056926,16.0,32768.0
multifieldqa_en,ReKV,8,0.3,8,150,0.506667,0.321867,snapshots/query_fairness/pair1_llama31_same/multifieldqa_en/mtc_receiver/recv_w8_r0.3_0701_1413,70.26666666666667,63,83,150,8.0,0.113852,32.0,65536.0
multifieldqa_en,Random-token,,0.3,0,150,0.386667,0.321867,snapshots/query_fairness/pair1_llama31_same/multifieldqa_en/mtc_random/random_r0.3_0701_1400,70.26666666666667,63,83,150,0.0,0.0,0.0,0.0
musique,Evict/ValueNorm,,0.3,0,500,0.322,0.321839,snapshots/query_fairness/pair1_llama31_same/musique/mtc_evict/evict_r0.3_0701_1314,76.586,62,107,500,0.0,0.0,0.0,0.0
musique,ReKV,0,0.3,all,500,0.43,0.321839,snapshots/query_fairness/pair1_llama31_same/musique/mtc_receiver/recv_w0_r0.3_0701_1349,76.586,62,107,500,76.586,1.0,306.344,627392.512
musique,ReKV,16,0.3,16,500,0.462,0.321839,snapshots/query_fairness/pair1_llama31_same/musique/mtc_receiver/recv_w16_r0.3_0701_1338,76.586,62,107,500,16.0,0.208915,64.0,131072.0
musique,ReKV,32,0.3,32,500,0.464,0.321839,snapshots/query_fairness/pair1_llama31_same/musique/mtc_receiver/recv_w32_r0.3_0701_1343,76.586,62,107,500,32.0,0.417831,128.0,262144.0
musique,ReKV,4,0.3,4,500,0.464,0.321839,snapshots/query_fairness/pair1_llama31_same/musique/mtc_receiver/recv_w4_r0.3_0701_1326,76.586,62,107,500,4.0,0.052229,16.0,32768.0
musique,ReKV,8,0.3,8,500,0.48,0.321839,snapshots/query_fairness/pair1_llama31_same/musique/mtc_receiver/recv_w8_r0.3_0701_1332,76.586,62,107,500,8.0,0.104458,32.0,65536.0
musique,Random-token,,0.3,0,500,0.166,0.321839,snapshots/query_fairness/pair1_llama31_same/musique/mtc_random/random_r0.3_0701_1319,76.586,62,107,500,0.0,0.0,0.0,0.0
