pair,task,method,config,window,ratio,tau,scale,n,score,budget,protocol_version,path
pair6_llama32_abliterated_deepseek3b,musique,fixed,ReKV-w8-r0.20,8,0.2,,,100,0.28,0.22852,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/musique/fixed/rekv_w8_r0.20_0712_2122
pair6_llama32_abliterated_deepseek3b,musique,fixed,ReKV-w8-r0.25,8,0.25,,,100,0.33,0.27655549999999995,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/musique/fixed/rekv_w8_r0.25_0712_2123
pair6_llama32_abliterated_deepseek3b,musique,fixed,ReKV-w8-r0.30,8,0.3,,,100,0.43,0.32497463000000004,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/musique/fixed/rekv_w8_r0.30_0712_2124
pair6_llama32_abliterated_deepseek3b,musique,fixed,ReKV-w8-r0.35,8,0.35,,,100,0.39,0.37332496,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/musique/fixed/rekv_w8_r0.35_0712_2125
pair6_llama32_abliterated_deepseek3b,musique,fixed,ReKV-w8-r0.40,8,0.4,,,100,0.41,0.42145309,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/musique/fixed/rekv_w8_r0.40_0712_2126
pair6_llama32_abliterated_deepseek3b,musique,coverage,B-ReKV-t0.90-s0.95-w8,8,,0.9,0.95,100,0.24,0.15984315999999998,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/musique/coverage/brekv_t0.90_s0.95_w8_0712_2239
pair6_llama32_abliterated_deepseek3b,musique,coverage,B-ReKV-t0.95-s0.85-w8,8,,0.95,0.85,100,0.39,0.27765921,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/musique/coverage/brekv_t0.95_s0.85_w8_0712_2240
pair6_llama32_abliterated_deepseek3b,musique,coverage,B-ReKV-t0.95-s0.95-w8,8,,0.95,0.95,100,0.43,0.30569886,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/musique/coverage/brekv_t0.95_s0.95_w8_0712_2240
pair6_llama32_abliterated_deepseek3b,musique,coverage,B-ReKV-t0.95-s1.00-w8,8,,0.95,1.0,100,0.41,0.31977675,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/musique/coverage/brekv_t0.95_s1.00_w8_0712_2241
pair6_llama32_abliterated_deepseek3b,musique,coverage,B-ReKV-t0.98-s0.95-w8,8,,0.98,0.95,100,0.45,0.53597492,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/musique/coverage/brekv_t0.98_s0.95_w8_0712_2241
pair6_llama32_abliterated_deepseek3b,musique,coverage,B-ReKV-t0.98-s1.00-w8,8,,0.98,1.0,100,0.43,0.55968304,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/musique/coverage/brekv_t0.98_s1.00_w8_0712_2242
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,fixed,ReKV-w8-r0.20,8,0.2,,,100,0.45,0.22858369,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/fixed/rekv_w8_r0.20_0712_2132
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,fixed,ReKV-w8-r0.25,8,0.25,,,100,0.51,0.27678226,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/fixed/rekv_w8_r0.25_0712_2135
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,fixed,ReKV-w8-r0.30,8,0.3,,,100,0.52,0.32499941,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/fixed/rekv_w8_r0.30_0712_2137
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,fixed,ReKV-w8-r0.35,8,0.35,,,100,0.52,0.37320127999999997,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/fixed/rekv_w8_r0.35_0712_2139
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,fixed,ReKV-w8-r0.40,8,0.4,,,100,0.48,0.42144159000000003,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/fixed/rekv_w8_r0.40_0712_2141
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,coverage,B-ReKV-t0.90-s0.95-w8,8,,0.9,0.95,100,0.44,0.31254424000000003,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/coverage/brekv_t0.90_s0.95_w8_0712_2248
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,coverage,B-ReKV-t0.95-s0.85-w8,8,,0.95,0.85,100,0.51,0.43884153,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/coverage/brekv_t0.95_s0.85_w8_0712_2249
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,coverage,B-ReKV-t0.95-s0.95-w8,8,,0.95,0.95,100,0.51,0.48626015,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/coverage/brekv_t0.95_s0.95_w8_0712_2250
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,coverage,B-ReKV-t0.95-s1.00-w8,8,,0.95,1.0,100,0.52,0.50995659,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/coverage/brekv_t0.95_s1.00_w8_0712_2251
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,coverage,B-ReKV-t0.98-s0.95-w8,8,,0.98,0.95,100,0.49,0.65596129,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/coverage/brekv_t0.98_s0.95_w8_0712_2252
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,coverage,B-ReKV-t0.98-s1.00-w8,8,,0.98,1.0,100,0.49,0.67250934,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/multifieldqa_en/coverage/brekv_t0.98_s1.00_w8_0712_2253
pair6_llama32_abliterated_deepseek3b,hotpotqa,fixed,ReKV-w8-r0.20,8,0.2,,,100,0.53,0.22892573,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/hotpotqa/fixed/rekv_w8_r0.20_0712_2113
pair6_llama32_abliterated_deepseek3b,hotpotqa,fixed,ReKV-w8-r0.25,8,0.25,,,100,0.56,0.27661924,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/hotpotqa/fixed/rekv_w8_r0.25_0712_2114
pair6_llama32_abliterated_deepseek3b,hotpotqa,fixed,ReKV-w8-r0.30,8,0.3,,,100,0.64,0.32489943000000004,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/hotpotqa/fixed/rekv_w8_r0.30_0712_2115
pair6_llama32_abliterated_deepseek3b,hotpotqa,fixed,ReKV-w8-r0.35,8,0.35,,,100,0.66,0.37308610000000003,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/hotpotqa/fixed/rekv_w8_r0.35_0712_2116
pair6_llama32_abliterated_deepseek3b,hotpotqa,fixed,ReKV-w8-r0.40,8,0.4,,,100,0.7,0.42158642,query_sketch_bf16_v1,/home/xay/KVMergeComm/snapshots/query_sketch_config_freeze/pair6_llama32_abliterated_deepseek3b/hotpotqa/fixed/rekv_w8_r0.40_0712_2117
