pair,task,comparison,baseline,n,correct_score,baseline_score,mean_delta,ci_low,ci_high,p_delta_gt_zero,correct_budget,baseline_budget,mean_abs_replay_error,max_abs_replay_error,sketch_bytes_delta
pair1_llama31_same,hotpotqa,correct - shuffled,shuffled,500,0.574,0.386,0.188,0.148,0.23,1.0,0.27544822199999996,0.27544822199999996,0.0,0.0,0.0
pair1_llama31_same,hotpotqa,correct - unrelated,unrelated,500,0.574,0.366,0.208,0.166,0.25,1.0,0.27544822199999996,0.27544822199999996,0.0,0.0,0.0
pair1_llama31_same,hotpotqa,correct - sender_text_receiver_encoder,sender_text_receiver_encoder,500,0.574,0.432,0.142,0.1,0.184,1.0,0.27544822199999996,0.27544822199999996,0.0,0.0,0.0
pair1_llama31_same,hotpotqa,correct - sender_context_q,sender_context_q,500,0.574,0.428,0.146,0.104,0.188,1.0,0.27544822199999996,0.27544822199999996,0.0,0.0,2097152.0
pair1_llama31_same,hotpotqa,correct - query_free,query_free,500,0.574,0.528,0.046,0.002,0.09,0.9774,0.27544822199999996,0.27544822199999996,0.0,0.0,2097152.0
pair1_llama31_same,multifieldqa_en,correct - shuffled,shuffled,150,0.5,0.36666666666666664,0.13333333333333333,0.06,0.20666666666666667,0.9998,0.33536828,0.33536828,0.0,0.0,0.0
pair1_llama31_same,multifieldqa_en,correct - unrelated,unrelated,150,0.5,0.42,0.08,0.02,0.14666666666666667,0.9934,0.33536828,0.33536828,0.0,0.0,0.0
pair1_llama31_same,multifieldqa_en,correct - sender_text_receiver_encoder,sender_text_receiver_encoder,150,0.5,0.44,0.06,-0.006666666666666667,0.12666666666666668,0.9583,0.33536828,0.33536828,0.0,0.0,0.0
pair1_llama31_same,multifieldqa_en,correct - sender_context_q,sender_context_q,150,0.5,0.3933333333333333,0.10666666666666667,0.03333333333333333,0.18,0.9981,0.33536828,0.33536828,0.0,0.0,2097152.0
pair1_llama31_same,multifieldqa_en,correct - query_free,query_free,150,0.5,0.32,0.18,0.1,0.25333333333333335,1.0,0.33536828,0.33536828,0.0,0.0,2097152.0
pair1_llama31_same,musique,correct - shuffled,shuffled,500,0.33,0.206,0.124,0.088,0.164,1.0,0.274546594,0.274546594,0.0,0.0,0.0
pair1_llama31_same,musique,correct - unrelated,unrelated,500,0.33,0.192,0.138,0.098,0.178,1.0,0.274546594,0.274546594,0.0,0.0,0.0
pair1_llama31_same,musique,correct - sender_text_receiver_encoder,sender_text_receiver_encoder,500,0.33,0.184,0.146,0.106,0.188,1.0,0.274546594,0.274546594,0.0,0.0,0.0
pair1_llama31_same,musique,correct - sender_context_q,sender_context_q,500,0.33,0.16,0.17,0.126,0.214,1.0,0.274546594,0.274546594,0.0,0.0,2097152.0
pair1_llama31_same,musique,correct - query_free,query_free,500,0.33,0.282,0.048,0.004,0.092,0.981,0.274546594,0.274546594,0.0,0.0,2097152.0
pair6_llama32_abliterated_deepseek3b,hotpotqa,correct - shuffled,shuffled,500,0.542,0.396,0.146,0.106,0.188,1.0,0.253015624,0.253015624,0.0,0.0,0.0
pair6_llama32_abliterated_deepseek3b,hotpotqa,correct - unrelated,unrelated,500,0.542,0.378,0.164,0.124,0.206,1.0,0.253015624,0.253015624,0.0,0.0,0.0
pair6_llama32_abliterated_deepseek3b,hotpotqa,correct - sender_text_receiver_encoder,sender_text_receiver_encoder,500,0.542,0.426,0.116,0.072,0.16,1.0,0.253015624,0.253015624,0.0,0.0,0.0
pair6_llama32_abliterated_deepseek3b,hotpotqa,correct - sender_context_q,sender_context_q,500,0.542,0.414,0.128,0.084,0.172,1.0,0.253015624,0.253015624,0.0,0.0,1376256.0
pair6_llama32_abliterated_deepseek3b,hotpotqa,correct - query_free,query_free,500,0.542,0.45,0.092,0.05,0.134,1.0,0.253015624,0.253015624,0.0,0.0,1376256.0
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,correct - shuffled,shuffled,150,0.5133333333333333,0.3933333333333333,0.12,0.04666666666666667,0.19333333333333333,0.9988,0.3948470466666667,0.3948470466666667,0.0,0.0,0.0
