pair,task,kind,method,ratio,n,score,actual_budget,budget_std,protocol_version,query_sketch_mode,path,coverage_achieved,coverage_satisfied_layer_ratio
pair1_llama31_same,hotpotqa,fairness_evict,ValueNorm/Evict,0.15,500,0.366,0.17648963400000012,0.0021757624365736253,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/fairness_evict/evict_r0.15_0712_2223,nan,nan
pair1_llama31_same,hotpotqa,fairness_evict,ValueNorm/Evict,0.2,500,0.446,0.22499850799999954,0.002044124704010761,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/fairness_evict/evict_r0.20_0712_2225,nan,nan
pair1_llama31_same,hotpotqa,fairness_evict,ValueNorm/Evict,0.25,500,0.522,0.2736553139999998,0.0022039953726378817,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/fairness_evict/evict_r0.25_0712_2227,nan,nan
pair1_llama31_same,hotpotqa,fairness_evict,ValueNorm/Evict,0.3,500,0.558,0.3219835499999998,0.002114029949825103,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/fairness_evict/evict_r0.30_0712_2228,nan,nan
pair1_llama31_same,hotpotqa,fairness_evict,ValueNorm/Evict,0.35,500,0.606,0.3703660780000002,0.002187033183151188,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/fairness_evict/evict_r0.35_0712_2230,nan,nan
pair1_llama31_same,hotpotqa,fairness_evict,ValueNorm/Evict,0.4,500,0.652,0.4186180339999993,0.0020998723266953253,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/fairness_evict/evict_r0.40_0712_2231,nan,nan
pair1_llama31_same,hotpotqa,fairness_evict,ValueNorm/Evict,0.5,500,0.67,0.5157921900000002,0.0026760725098651738,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/fairness_evict/evict_r0.50_0712_2233,nan,nan
pair1_llama31_same,hotpotqa,fairness_random,Random,0.15,500,0.152,0.17648963400000012,0.0021757624365736253,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/fairness_random/random_r0.15_0712_2234,nan,nan
pair1_llama31_same,hotpotqa,fairness_random,Random,0.2,500,0.264,0.22499850799999954,0.002044124704010761,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/fairness_random/random_r0.20_0712_2238,nan,nan
pair1_llama31_same,hotpotqa,fairness_random,Random,0.25,500,0.358,0.2736553139999998,0.0022039953726378817,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/fairness_random/random_r0.25_0712_2241,nan,nan
pair1_llama31_same,hotpotqa,fairness_random,Random,0.3,500,0.434,0.3219835499999998,0.002114029949825103,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/fairness_random/random_r0.30_0712_2244,nan,nan
pair1_llama31_same,hotpotqa,fairness_random,Random,0.35,500,0.526,0.3703660780000002,0.002187033183151188,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/fairness_random/random_r0.35_0712_2246,nan,nan
pair1_llama31_same,hotpotqa,fairness_random,Random,0.4,500,0.59,0.4186180339999993,0.0020998723266953253,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/fairness_random/random_r0.40_0712_2248,nan,nan
pair1_llama31_same,hotpotqa,fairness_random,Random,0.5,500,0.642,0.5157921900000002,0.0026760725098651738,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/fairness_random/random_r0.50_0712_2250,nan,nan
