pair,task,window,tau,scale,score,actual_budget,on_pareto_front,path
pair1_llama31_same,hotpotqa,8,0.9,0.65,0.346,0.16290621399999988,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/coverage/cov_t0.90_s0.65_w8_0712_2305
pair1_llama31_same,hotpotqa,16,0.9,0.65,0.362,0.1646531959999999,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/coverage/cov_t0.90_s0.65_w16_0712_2324
pair1_llama31_same,hotpotqa,8,0.9,0.75,0.37,0.1759753120000001,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/coverage/cov_t0.90_s0.75_w8_0712_2307
pair1_llama31_same,hotpotqa,16,0.9,0.75,0.368,0.178185142,False,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/coverage/cov_t0.90_s0.75_w16_0712_2327
pair1_llama31_same,hotpotqa,8,0.9,0.85,0.378,0.18962274200000012,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/coverage/cov_t0.90_s0.85_w8_0712_2310
pair1_llama31_same,hotpotqa,16,0.9,0.85,0.42,0.1922259900000003,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/coverage/cov_t0.90_s0.85_w16_0712_2329
pair1_llama31_same,hotpotqa,8,0.95,0.65,0.52,0.24429297600000002,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/coverage/cov_t0.95_s0.65_w8_0712_2312
pair1_llama31_same,hotpotqa,16,0.95,0.65,0.534,0.24819838799999988,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/coverage/cov_t0.95_s0.65_w16_0712_2332
pair1_llama31_same,hotpotqa,8,0.95,0.75,0.56,0.2754482219999999,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/coverage/cov_t0.95_s0.75_w8_0712_2314
pair1_llama31_same,hotpotqa,16,0.95,0.75,0.574,0.280022014,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/coverage/cov_t0.95_s0.75_w16_0712_2334
pair1_llama31_same,hotpotqa,8,0.95,0.85,0.57,0.3069724719999999,False,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/coverage/cov_t0.95_s0.85_w8_0712_2316
pair1_llama31_same,hotpotqa,16,0.95,0.85,0.582,0.31217507799999994,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/coverage/cov_t0.95_s0.85_w16_0712_2336
pair1_llama31_same,hotpotqa,8,0.98,0.65,0.654,0.3890641500000004,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/coverage/cov_t0.98_s0.65_w8_0712_2318
pair1_llama31_same,hotpotqa,16,0.98,0.65,0.666,0.3928264559999999,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/coverage/cov_t0.98_s0.65_w16_0712_2338
pair1_llama31_same,hotpotqa,8,0.98,0.75,0.7,0.4440840400000001,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/coverage/cov_t0.98_s0.75_w8_0712_2320
pair1_llama31_same,hotpotqa,16,0.98,0.75,0.69,0.44831528999999976,False,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/coverage/cov_t0.98_s0.75_w16_0712_2340
pair1_llama31_same,hotpotqa,8,0.98,0.85,0.704,0.4990563619999995,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/coverage/cov_t0.98_s0.85_w8_0712_2322
pair1_llama31_same,hotpotqa,16,0.98,0.85,0.686,0.5039214799999996,False,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/hotpotqa/coverage/cov_t0.98_s0.85_w16_0712_2341
pair1_llama31_same,multifieldqa_en,8,0.9,0.65,0.4866666666666667,0.18227032,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.90_s0.65_w8_0713_0224
pair1_llama31_same,multifieldqa_en,8,0.9,0.75,0.44666666666666666,0.20506367333333336,False,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.90_s0.75_w8_0713_0226
pair1_llama31_same,multifieldqa_en,16,0.9,0.65,0.4866666666666667,0.21001331999999992,False,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.90_s0.65_w16_0713_0245
pair1_llama31_same,multifieldqa_en,8,0.9,0.85,0.4666666666666667,0.22792911333333332,False,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.90_s0.85_w8_0713_0228
pair1_llama31_same,multifieldqa_en,16,0.9,0.75,0.4866666666666667,0.23741894000000008,False,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.90_s0.75_w16_0713_0247
pair1_llama31_same,multifieldqa_en,16,0.9,0.85,0.48,0.26484263999999996,False,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.90_s0.85_w16_0713_0249
pair1_llama31_same,multifieldqa_en,8,0.95,0.65,0.49333333333333335,0.2948276266666668,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.95_s0.65_w8_0713_0230
pair1_llama31_same,multifieldqa_en,16,0.95,0.65,0.48,0.3254647933333335,False,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.95_s0.65_w16_0713_0251
pair1_llama31_same,multifieldqa_en,8,0.95,0.75,0.5,0.33536828,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_0713_0233
pair1_llama31_same,multifieldqa_en,16,0.95,0.75,0.5,0.37072986,False,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.95_s0.75_w16_0713_0254
pair1_llama31_same,multifieldqa_en,8,0.95,0.85,0.5,0.3759138866666666,False,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.95_s0.85_w8_0713_0235
pair1_llama31_same,multifieldqa_en,16,0.95,0.85,0.5066666666666667,0.41599002666666657,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.95_s0.85_w16_0713_0256
pair1_llama31_same,multifieldqa_en,8,0.98,0.65,0.49333333333333335,0.4259861533333333,False,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.98_s0.65_w8_0713_0237
pair1_llama31_same,multifieldqa_en,16,0.98,0.65,0.5066666666666667,0.45117297999999995,False,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.98_s0.65_w16_0713_0258
pair1_llama31_same,multifieldqa_en,8,0.98,0.75,0.49333333333333335,0.48671391999999986,False,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.98_s0.75_w8_0713_0240
pair1_llama31_same,multifieldqa_en,16,0.98,0.75,0.5333333333333333,0.5157758000000002,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.98_s0.75_w16_0713_0301
pair1_llama31_same,multifieldqa_en,8,0.98,0.85,0.52,0.5474400866666667,False,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.98_s0.85_w8_0713_0242
pair1_llama31_same,multifieldqa_en,16,0.98,0.85,0.5333333333333333,0.5803587466666668,False,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.98_s0.85_w16_0713_0303
pair1_llama31_same,musique,8,0.9,0.65,0.166,0.13969793000000005,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/musique/coverage/cov_t0.90_s0.65_w8_0713_0042
pair1_llama31_same,musique,8,0.9,0.75,0.184,0.15360171800000014,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/musique/coverage/cov_t0.90_s0.75_w8_0713_0045
pair1_llama31_same,musique,16,0.9,0.65,0.164,0.1565081660000002,False,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/musique/coverage/cov_t0.90_s0.65_w16_0713_0105
pair1_llama31_same,musique,8,0.9,0.85,0.188,0.16780559000000003,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/musique/coverage/cov_t0.90_s0.85_w8_0713_0048
pair1_llama31_same,musique,16,0.9,0.75,0.18,0.17380973600000016,False,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/musique/coverage/cov_t0.90_s0.75_w16_0713_0108
pair1_llama31_same,musique,16,0.9,0.85,0.202,0.19134583800000007,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/musique/coverage/cov_t0.90_s0.85_w16_0713_0111
pair1_llama31_same,musique,8,0.95,0.65,0.29,0.24239159799999996,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/musique/coverage/cov_t0.95_s0.65_w8_0713_0051
pair1_llama31_same,musique,16,0.95,0.65,0.304,0.2711369560000002,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/musique/coverage/cov_t0.95_s0.65_w16_0713_0114
pair1_llama31_same,musique,8,0.95,0.75,0.304,0.27454659399999964,False,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/musique/coverage/cov_t0.95_s0.75_w8_0713_0053
pair1_llama31_same,musique,8,0.95,0.85,0.324,0.30674495200000024,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/musique/coverage/cov_t0.95_s0.85_w8_0713_0056
pair1_llama31_same,musique,16,0.95,0.75,0.318,0.3078873659999998,False,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/musique/coverage/cov_t0.95_s0.75_w16_0713_0116
pair1_llama31_same,musique,16,0.95,0.85,0.334,0.3446597319999999,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/musique/coverage/cov_t0.95_s0.85_w16_0713_0119
pair1_llama31_same,musique,8,0.98,0.65,0.37,0.3911312959999999,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/musique/coverage/cov_t0.98_s0.65_w8_0713_0058
pair1_llama31_same,musique,16,0.98,0.65,0.384,0.4192695080000004,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/musique/coverage/cov_t0.98_s0.65_w16_0713_0121
pair1_llama31_same,musique,8,0.98,0.75,0.402,0.44646043800000007,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/musique/coverage/cov_t0.98_s0.75_w8_0713_0101
pair1_llama31_same,musique,16,0.98,0.75,0.386,0.47894378800000054,False,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/musique/coverage/cov_t0.98_s0.75_w16_0713_0123
pair1_llama31_same,musique,8,0.98,0.85,0.428,0.5018262179999994,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/musique/coverage/cov_t0.98_s0.85_w8_0713_0103
pair1_llama31_same,musique,16,0.98,0.85,0.42,0.5386201260000005,False,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair1_llama31_same/musique/coverage/cov_t0.98_s0.85_w16_0713_0126
pair6_llama32_abliterated_deepseek3b,hotpotqa,8,0.9,0.65,0.298,0.16937794200000011,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.90_s0.65_w8_0712_2250
pair6_llama32_abliterated_deepseek3b,hotpotqa,16,0.9,0.65,0.308,0.17294251400000016,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.90_s0.65_w16_0712_2303
pair6_llama32_abliterated_deepseek3b,hotpotqa,8,0.9,0.75,0.318,0.17870181200000002,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.90_s0.75_w8_0712_2251
pair6_llama32_abliterated_deepseek3b,hotpotqa,16,0.9,0.75,0.34,0.183000858,True,/home/xay/KVMergeComm/snapshots/stage3_core_reviewer_query_sketch/pair6_llama32_abliterated_deepseek3b/hotpotqa/coverage/cov_t0.90_s0.75_w16_0712_2304
