pair,task,target_method,target_score,target_actual_budget,baseline_method,matched_baseline_score,score_delta,match_status,fixed_ratio_bracket
pair1_llama31_same,hotpotqa,B-ReKV,0.56,0.2754482219999999,ReKV,0.5722259136460103,-0.012225913646010222,matched,0.25..0.3
pair1_llama31_same,hotpotqa,B-ReKV,0.56,0.2754482219999999,ValueNorm/Evict,0.5233355481876062,0.03666445181239386,matched,0.25..0.3
pair1_llama31_same,hotpotqa,B-ReKV,0.56,0.2754482219999999,Random,0.36081949061827967,0.19918050938172038,matched,0.25..0.3
pair1_llama31_same,multifieldqa_en,B-ReKV,0.5,0.33536828,ReKV,0.49333333333333335,0.006666666666666654,matched,0.3..0.35
pair1_llama31_same,multifieldqa_en,B-ReKV,0.5,0.33536828,ValueNorm/Evict,0.3285249442076216,0.17147505579237837,matched,0.3..0.35
pair1_llama31_same,multifieldqa_en,B-ReKV,0.5,0.33536828,Random,0.3996746094533513,0.10032539054664869,matched,0.3..0.35
pair1_llama31_same,musique,B-ReKV,0.304,0.27454659399999964,ReKV,0.3385146745597859,-0.03451467455978591,matched,0.25..0.3
pair1_llama31_same,musique,B-ReKV,0.304,0.27454659399999964,ValueNorm/Evict,0.2806082517524743,0.023391748247525712,matched,0.25..0.3
pair1_llama31_same,musique,B-ReKV,0.304,0.27454659399999964,Random,0.14460825175247424,0.15939174824752575,matched,0.25..0.3
pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV,0.484,0.2530156239999998,ReKV,0.5312472560492151,-0.04724725604921509,matched,0.2..0.25
pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV,0.484,0.2530156239999998,ValueNorm/Evict,0.4265160126244488,0.05748398737555116,matched,0.2..0.25
pair6_llama32_abliterated_deepseek3b,hotpotqa,B-ReKV,0.484,0.2530156239999998,Random,0.3361935047341683,0.14780649526583167,matched,0.2..0.25
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,B-ReKV,0.5066666666666667,0.3948470466666666,ReKV,0.5043586199462705,0.002308046720396195,matched,0.35..0.4
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,B-ReKV,0.5066666666666667,0.3948470466666666,ValueNorm/Evict,0.39359080682785513,0.11307585983881158,matched,0.35..0.4
pair6_llama32_abliterated_deepseek3b,multifieldqa_en,B-ReKV,0.5066666666666667,0.3948470466666666,Random,0.40367509553764575,0.10299157112902096,matched,0.35..0.4
pair6_llama32_abliterated_deepseek3b,musique,B-ReKV,0.314,0.2518589280000003,ReKV,0.28772005962080144,0.026279940379198563,matched,0.2..0.25
pair6_llama32_abliterated_deepseek3b,musique,B-ReKV,0.314,0.2518589280000003,ValueNorm/Evict,0.20254509688380237,0.11145490311619763,matched,0.2..0.25
pair6_llama32_abliterated_deepseek3b,musique,B-ReKV,0.314,0.2518589280000003,Random,0.14151010433640254,0.17248989566359746,matched,0.2..0.25
pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV,0.352,0.38534502800000026,ReKV,0.38461656351772694,-0.03261656351772696,matched,0.35..0.4
pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV,0.352,0.38534502800000026,ValueNorm/Evict,0.1693407241287402,0.18265927587125977,matched,0.35..0.4
pair7_qwen25_uncensored_bespoke,hotpotqa,B-ReKV,0.352,0.38534502800000026,Random,0.14614346279104853,0.20585653720895145,matched,0.35..0.4
pair7_qwen25_uncensored_bespoke,multifieldqa_en,B-ReKV,0.31333333333333335,0.35847211333333345,ReKV,0.3892543125742141,-0.07592097924088076,matched,0.3..0.35
pair7_qwen25_uncensored_bespoke,multifieldqa_en,B-ReKV,0.31333333333333335,0.35847211333333345,ValueNorm/Evict,0.09442960438930903,0.21890372894402432,matched,0.3..0.35
pair7_qwen25_uncensored_bespoke,multifieldqa_en,B-ReKV,0.31333333333333335,0.35847211333333345,Random,0.15646911476886863,0.15686421856446472,matched,0.3..0.35
pair7_qwen25_uncensored_bespoke,musique,B-ReKV,0.224,0.34411705199999976,ReKV,0.24270467752001407,-0.018704677520014062,matched,0.3..0.35
pair7_qwen25_uncensored_bespoke,musique,B-ReKV,0.224,0.34411705199999976,ValueNorm/Evict,0.15393191251429572,0.07006808748570428,matched,0.3..0.35
pair7_qwen25_uncensored_bespoke,musique,B-ReKV,0.224,0.34411705199999976,Random,0.09438638250285915,0.12961361749714084,matched,0.3..0.35
